entity_name,entity_id,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_splitter,active_spin_curve,active_spin_slider,active_spin_sweeper,active_spin_slurve
"Watson, Tony",453265,L,,95.3,,99.6,,,17,,
"Elledge, Seth",676220,R,,98.1,,,,,52,,
"Hader, Josh",623352,L,,97.8,,,,,36.9,,
"Borucki, Ryan",621366,L,,96.4,,92.9,,,22.2,,
"Smyly, Drew",592767,L,,98.5,58.3,,,37.8,,,
"Murphy, Patrick",641907,R,,88.5,,,,78.8,,,
"Zeuch, T.J.",643615,R,,80.4,38.9,97.2,,,29.5,,
"Hartlieb, Geoff",664129,R,,78.5,,,,,42.7,,
"Loup, Aaron",571901,L,,96.4,14.6,99.3,,72,,,
"Graterol, Brusdar",660813,R,,91.7,,,,,29.3,,
"Melancon, Mark",453343,R,,,60.9,,76.1,81,,,
"Santana, Dennis",642701,R,,83.5,,82.9,,,25.2,,
"Tinoco, Jesus",622786,R,,89.7,,,,34.2,21.1,,
"Wood, Alex",622072,L,,97.6,,94.7,,,14.3,,
"Harris, Will",501789,R,,,64,,,90.5,,,
"Hernández, Jonathan",642546,R,,99.2,,95.3,,,29.1,,
"Alexander, Scott",518397,L,,81,,,,,23.9,,
"Greene, Shane",572888,R,,85,45.3,89,,,,52.1,
"Jansen, Kenley",445276,R,,87.1,70.8,,,,50.4,,
"King, John",667463,L,,83.2,,97,,,41.8,,
"Singer, Brady",663903,R,,87.1,,97.1,,,34.7,,
"Roe, Chaz",475054,R,,73.4,38.9,,,,,73.5,
"Hahn, Jesse",534910,R,,99.2,,,,94.5,,75.5,
"Kittredge, Andrew",552640,R,,83.5,,,,,40,,
"Smith, Riley",642092,R,,86.1,,,,72.9,29.5,,
"Sherriff, Ryan",595411,L,,83.1,,,,,29.9,,
"Crichton, Stefan",592233,R,,97.2,,,,79.6,,,
"Brewer, Colten",605155,R,,,63.8,,,82.8,39.8,,
"Castro, Miguel",612434,R,,96.2,,91,,,33.3,,
"Matz, Steven",571927,L,,99.4,,85.4,,86.1,39.9,,
"Cobb, Alex",502171,R,,97.3,,,79.9,65.7,,,
"Ramírez, Erasmo",541640,R,,84.2,61.8,84.4,,38.1,,,
"Britton, Zack",502154,L,,81.3,,,,,55.4,,
"Avilán, Luis",501593,L,,90.9,,74.8,,,,,
"Ottavino, Adam",493603,R,,77.1,29.7,74.1,,,,63.6,
"Sneed, Cy",605482,R,,,88.6,,,73.6,36.2,,
"Triggs, Andrew",592811,R,,70.7,,,,66.8,23.7,,
"Valdez, Phillips",570488,R,,95,,80.4,,,39.9,,
"McCullers Jr., Lance",621121,R,,79.4,49,89.4,,71.5,,,
"Weber, Ryan",543901,R,,93.2,47.1,96.2,,96.6,78,,
"Tarpley, Stephen",605501,L,,78.9,,,,50.1,,,
"Fleming, Josh",676596,L,,91.1,40.3,76.2,,,,,
"Perdomo, Luis",606131,R,,91.9,,,95.4,,13.8,,
"Pazos, James",572021,L,,91.4,,,,,40.5,,
"Scrubb, Andre",668687,R,,,74.1,,,92.6,,,
"Poppen, Sean",664092,R,,97.2,,,,,50.1,,
"Guerra, Javy",642770,R,,93.9,,,,,33.1,,
"Bleier, Richard",542947,L,,84.8,55.2,97.6,,,45,,
"Kintzler, Brandon",445213,R,,86.4,,96.9,,,14.8,,
"McFarland, T.J.",519008,L,,87,,92.7,,,54.5,55.2,
"Bacus, Dakota",621290,R,,61.3,,,,84.4,18.8,,
"Fletcher, Aaron",667465,L,,98.2,,89.8,,,33.1,,
"Grotz, Zac",665093,R,,94.4,,,94.3,36.3,11.2,,
"Sheffield, Justus",656954,L,,87.5,,83,,,34.7,,
"Yardley, Eric",642233,R,,99.1,,,,77.9,,,
"Arrieta, Jake",453562,R,,85.8,,90.8,,76.5,44.4,,
"Rogers, Taylor",573124,L,,93.1,,,,,,55.1,
"Manaea, Sean",640455,L,,92.2,49.5,84,,,39.7,40,
"Hunter, Tommy",488984,R,,80.9,56.1,,,54.6,,,
"Guilbeau, Taylor",607555,L,,78.5,,95.9,,,8.6,,
"Sadler, Casey",594987,R,,86.2,31.1,87.1,,58,,,
