Pitcher,PitcherTeam,PitcherHeight,PitcherThrows,PitcherId,school,year,pitches
"Muirhead, Adam",TEX_ISL,75,RIGHT,1000093874,A&M-Corpus Christi,2025,18
"Huerta, Aiden",TEX_ISL,71,Right,1000118454,A&M-Corpus Christi,2024,28
"Santos IV, Alberto",TEX_ISL,74,,1000304235,A&M-Corpus Christi,2025,84
"Sendejas, Anthony",TEX_ISL,74,Left,1000136361,A&M-Corpus Christi,2024,9
"Dean, Austin",TEX_ISL,72,Right,1000101602,A&M-Corpus Christi,2023,59
"Dean, Austin",TEX_ISL,72,Right,1000101602,A&M-Corpus Christi,2024,69
"LaRusso, Braden",TEX_ISL,73,RIGHT,1000162891,A&M-Corpus Christi,2025,165
"Shea, Bryson",TEX_ISL,74,RIGHT,10313326,A&M-Corpus Christi,2025,190
"Burdick, Gage",TEX_ISL,71,LEFT,1000093913,A&M-Corpus Christi,2025,169
"Soliz, Cam",TEX_ISL,70,Right,1000275382,A&M-Corpus Christi,2024,85
"Soliz, Cam",TEX_ISL,70,RIGHT,1000275382,A&M-Corpus Christi,2025,104
"Cano, Dante",TEX_ISL,76,LEFT,1000196148,A&M-Corpus Christi,2025,44
"Purcell, Colin",TEX_ISL,76,Right,1000098345,A&M-Corpus Christi,2023,108
"Crane, Tristan",TEX_ISL,72,RIGHT,1000307773,A&M-Corpus Christi,2025,73
"LeBlanc, Dalton",TEX_ISL,72,Left,1000213830,A&M-Corpus Christi,2023,10
"Darden, Nathan",TEX_ISL,72,RIGHT,10297033,A&M-Corpus Christi,2025,107
"Dean, David",TEX_ISL,76,LEFT,822037,A&M-Corpus Christi,2025,136
"Dickey, Kyle",TEX_ISL,73,Left,1000119862,A&M-Corpus Christi,2023,49
"Dove, Kendall",TEX_ISL,77,Right,1000304267,A&M-Corpus Christi,2024,109
"Hill, Dylan",TEX_ISL,75,RIGHT,1000304240,A&M-Corpus Christi,2025,36
"Smith, Easten",TEX_ISL,71,RIGHT,1000261621,A&M-Corpus Christi,2025,146
"Hendricks, Evans",TEX_ISL,72,Left,1000127332,A&M-Corpus Christi,2023,103
"Hendricks, Evans",TEX_ISL,72,Left,1000127332,A&M-Corpus Christi,2024,38
"Feltz, Samuel",TEX_ISL,73,Right,287874,A&M-Corpus Christi,2023,37
"Feltz, Samuel",TEX_ISL,73,Right,10279464,A&M-Corpus Christi,2024,46
"Garcia, Zach",TEX_ISL,74,Left,1000119864,A&M-Corpus Christi,2023,128
"Garcia, Zach",TEX_ISL,74,Left,1000119864,A&M-Corpus Christi,2024,189
"Garcia, Zach",TEX_ISL,74,LEFT,1000119864,A&M-Corpus Christi,2025,424
"Gibbs, Kody",TEX_ISL,74,Right,10061994,A&M-Corpus Christi,2023,27
"Gutierrez, Marco",TEX_ISL,70,Right,1000119863,A&M-Corpus Christi,2023,60
"Thomas, Hayden",TEX_ISL,73,Right,8899081,A&M-Corpus Christi,2023,58
"Hill, Jack",TEX_ISL,76,Right,1000232004,A&M-Corpus Christi,2024,103
"Hunsaker, Riely",TEX_ISL,75,Right,1000304273,A&M-Corpus Christi,2024,110
"Infranca, Michael",TEX_ISL,69,LEFT,1000332398,A&M-Corpus Christi,2025,78
"Ramirez Jr., Jaime ",TEX_ISL,70,Left,1000056779,A&M-Corpus Christi,2023,31
"Trimble, James",TEX_ISL,72,Right,1000213826,A&M-Corpus Christi,2023,47
"Munoz, Joshua",TEX_ISL,69,Right,1000304264,A&M-Corpus Christi,2024,12
"Robertson, Luke",TEX_ISL,77,RIGHT,1000089651,A&M-Corpus Christi,2025,37
"Singleton, Luke",TEX_ISL,75,LEFT,1000136340,A&M-Corpus Christi,2025,155
"Thornton, Maddox",TEX_ISL,74,Right,1000304270,A&M-Corpus Christi,2024,83
"Molina, Matthew",TEX_ISL,72,RIGHT,10316027,A&M-Corpus Christi,2025,112
"Watson, Matthew",TEX_ISL,77,Right,1000213825,A&M-Corpus Christi,2023,86
"Watson, Matthew",TEX_ISL,77,Right,1000213825,A&M-Corpus Christi,2024,212
"Villegas, Nash",TEX_ISL,78,Right,1000213828,A&M-Corpus Christi,2023,33
"Watkins, Preston",TEX_ISL,75,RIGHT,1000188594,A&M-Corpus Christi,2025,93
"Santos, Tito",TEX_ISL,74,RIGHT,1000275373,A&M-Corpus Christi,2025,33
"Byrd, Adam",ABI_WIL,71,Left,1000112228,Abilene Christian,2023,232
"Stephenson, Adam",ABI_WIL,73,Left,1000012643,Abilene Christian,2023,633
"Albus, Dash",ABI_WIL,71,Left,1000231953,Abilene Christian,2024,237
"Anderson, Blake",ABI_WIL,71,Right,1000080527,Abilene Christian,2023,654
"Guardino, Andrew",ABI_WIL,76,Right,1000132290,Abilene Christian,2025,175
"Glaze, Austin",ABI_WIL,73,Right,1000078238,Abilene Christian,2023,865
"Glaze, Austin",ABI_WIL,74,Right,809495,Abilene Christian,2024,484
"Leisure, Beau",ABI_WIL,76,Right,806478,Abilene Christian,2024,45
"Benson, Chandler",ABI_WIL,71,Left,801206,Abilene Christian,2024,481
"Benson, Chandler",ABI_WIL,71,Left,801206,Abilene Christian,2025,413
"Berberich, Sam",ABI_WIL,71,Right,1000080963,Abilene Christian,2023,390
"palmer, blaine",ABI_WIL,71,Right,1000138166,Abilene Christian,2023,37
"Palmer, Blaine",ABI_WIL,71,Right,809493,Abilene Christian,2024,316
"Palmer, Blaine",ABI_WIL,71,Right,809493,Abilene Christian,2025,348
"Boggan, Drake",ABI_WIL,72,Right,1000112230,Abilene Christian,2023,466
"Coe, Brady",ABI_WIL,69,Right,830786,Abilene Christian,2025,259
"Eichelberger, Breck",ABI_WIL,76,Right,1000063433,Abilene Christian,2023,890
"Garcia, Brett",ABI_WIL,74,Right,1000056258,Abilene Christian,2024,430
"Lanman, Brett",ABI_WIL,76,Left,822843,Abilene Christian,2024,711
"Lanman, Brett",ABI_WIL,77,Left,822843,Abilene Christian,2025,797
"Gay, Brooks",ABI_WIL,74,Right,10020749,Abilene Christian,2023,179
"Greanead, Caden",ABI_WIL,75,Right,822831,Abilene Christian,2024,465
"Greanead, Caden",ABI_WIL,75,Right,822831,Abilene Christian,2025,318
"McGarrh, Cade",ABI_WIL,75,Right,1000107414,Abilene Christian,2024,397
"McGarrh, Cade",ABI_WIL,75,Right,1000107414,Abilene Christian,2025,819
"Callaway, Stetson",ABI_WIL,76,Right,1000364892,Abilene Christian,2025,38
"Campa, Iain",ABI_WIL,75,Right,822837,Abilene Christian,2024,698
"Campa, Iain",ABI_WIL,75,Right,822837,Abilene Christian,2025,186
"Carbone, Joseph",ABI_WIL,72,Left,822842,Abilene Christian,2024,24
"Carbone, Joseph",ABI_WIL,72,Left,822842,Abilene Christian,2025,10
"Freeman, Chandler",ABI_WIL,71,Right,683158,Abilene Christian,2024,265
"Freeman, Chandler",ABI_WIL,71,Right,683158,Abilene Christian,2025,80
"Huspen, Colin",ABI_WIL,74,Right,830792,Abilene Christian,2025,29
"Cone, Henry",ABI_WIL,73,Right,1000213562,Abilene Christian,2025,156
"Hrbacek, Cooper",ABI_WIL,72,Right,1000115965,Abilene Christian,2025,148
"De La Cruz, Rolando",ABI_WIL,72,Right,1000070152,Abilene Christian,2023,237
"De La Cruz, Rolando",ABI_WIL,73,Right,809504,Abilene Christian,2024,462
"Jeon, David",ABI_WIL,72,Right,1000250430,Abilene Christian,2025,188
"Reid, Dominick",ABI_WIL,75,Right,805255,Abilene Christian,2025,915
"Foster, Nolan",ABI_WIL,74,Right,809724,Abilene Christian,2024,114
"Foster, Nolan",ABI_WIL,74,Right,809724,Abilene Christian,2025,163
"Galvan, Noah",ABI_WIL,71,Right,822833,Abilene Christian,2025,142
"Gibson, Holt",ABI_WIL,74,Right,10033650,Abilene Christian,2023,22
"Gonzalez, Oj",ABI_WIL,72,Right,10086533,Abilene Christian,2024,76
"Gonzalez, Oj",ABI_WIL,72,Right,10086533,Abilene Christian,2025,199
"Huffling, Max",ABI_WIL,81,Left,1000092505,Abilene Christian,2023,653
"Krkovski, Luke",ABI_WIL,76,Left,1000050065,Abilene Christian,2023,450
"Krkovski, Luke",ABI_WIL,77,Left,1000050065,Abilene Christian,2024,85
"Matthews, Parker",ABI_WIL,77,Right,1000138176,Abilene Christian,2023,53
"Matthews, Parker",ABI_WIL,77,Right,809490,Abilene Christian,2024,136
"McKenna, Miles",ABI_WIL,76,Left,1000138173,Abilene Christian,2023,41
"Meyer, Nick",ABI_WIL,79,Left,1000138175,Abilene Christian,2023,56
"Meyer, Nick",ABI_WIL,79,Left,809503,Abilene Christian,2024,45
"Morgan, Tyler",ABI_WIL,72,Right,1000050253,Abilene Christian,2023,1106
"Smith, Zach",ABI_WIL,70,Right,1000028528,Abilene Christian,2023,502
"Bello, Jack",AIR_FOR,75,LEFT,1000116126,Air Force,2024,105
"Benge, Duke",AIR_FOR,71,Right,1000097888,Air Force,2023,424
"Weber, Ben",AIR_FOR,73,Right,1000112504,Air Force,2023,633
