team_id,team_name,conference,year,season_team_id
26172,A&M-Corpus Christi,Southland,2025,596471
26172,A&M-Corpus Christi,Southland,2024,573989
26172,A&M-Corpus Christi,Southland,2023,548068
2,Abilene Christian,WAC,2025,596477
2,Abilene Christian,WAC,2024,573995
2,Abilene Christian,WAC,2023,548074
721,Air Force,Mountain West,2025,596430
721,Air Force,Mountain West,2024,573924
721,Air Force,Mountain West,2023,547889
5,Akron,MAC,2025,596419
5,Akron,MAC,2024,573912
5,Akron,MAC,2023,547860
8,Alabama,SEC,2025,596480
8,Alabama,SEC,2024,573998
8,Alabama,SEC,2023,548077
6,Alabama A&M,SWAC,2025,596478
6,Alabama A&M,SWAC,2024,573996
6,Alabama A&M,SWAC,2023,548075
7,Alabama St.,SWAC,2025,596479
7,Alabama St.,SWAC,2024,573997
7,Alabama St.,SWAC,2023,548076
17,Alcorn,SWAC,2025,596483
17,Alcorn,SWAC,2024,574001
17,Alcorn,SWAC,2023,548080
27,App State,Sun Belt,2025,596484
27,App State,Sun Belt,2024,574002
27,App State,Sun Belt,2023,548081
29,Arizona,Big 12,2025,596706
29,Arizona,Pac-12,2024,574004
29,Arizona,Pac-12,2023,548083
28,Arizona St.,Big 12,2025,596485
28,Arizona St.,Pac-12,2024,574003
28,Arizona St.,Pac-12,2023,548082
2678,Ark.-Pine Bluff,SWAC,2025,596466
2678,Ark.-Pine Bluff,SWAC,2024,573982
2678,Ark.-Pine Bluff,SWAC,2023,548061
31,Arkansas,SEC,2025,596487
31,Arkansas,SEC,2024,574006
31,Arkansas,SEC,2023,548085
30,Arkansas St.,Sun Belt,2025,596486
30,Arkansas St.,Sun Belt,2024,574005
30,Arkansas St.,Sun Belt,2023,548084
725,Army West Point,Patriot,2025,596702
725,Army West Point,Patriot,2024,573925
725,Army West Point,Patriot,2023,547902
37,Auburn,SEC,2025,596489
37,Auburn,SEC,2024,574008
37,Auburn,SEC,2023,548087
43,Austin Peay,ASUN,2025,596490
43,Austin Peay,ASUN,2024,574009
43,Austin Peay,ASUN,2023,548088
77,BYU,Big 12,2025,596499
77,BYU,Big 12,2024,574018
77,BYU,WCC,2023,548097
47,Ball St.,MAC,2025,596491
47,Ball St.,MAC,2024,574010
47,Ball St.,MAC,2023,548089
51,Baylor,Big 12,2025,596493
51,Baylor,Big 12,2024,574012
51,Baylor,Big 12,2023,548091
52,Bellarmine,ASUN,2025,596693
52,Bellarmine,ASUN,2024,574228
52,Bellarmine,ASUN,2023,548307
14927,Belmont,MVC,2025,596470
14927,Belmont,MVC,2024,573987
14927,Belmont,MVC,2023,548066
61,Bethune-Cookman,SWAC,2025,596494
61,Bethune-Cookman,SWAC,2024,574013
61,Bethune-Cookman,SWAC,2023,548092
62,Binghamton,America East,2025,596495
62,Binghamton,America East,2024,574014
62,Binghamton,America East,2023,548093
67,Boston College,ACC,2025,596496
67,Boston College,ACC,2024,574015
67,Boston College,ACC,2023,548094
71,Bowling Green,MAC,2025,596497
71,Bowling Green,MAC,2024,574016
71,Bowling Green,MAC,2023,548095
72,Bradley,MVC,2025,596498
72,Bradley,MVC,2024,574017
72,Bradley,MVC,2023,548096
80,Brown,Ivy League,2025,596500
80,Brown,Ivy League,2024,574019
80,Brown,Ivy League,2023,548098
81,Bryant,America East,2025,596501
81,Bryant,America East,2024,574020
81,Bryant,America East,2023,548099
83,Bucknell,Patriot,2025,596502
83,Bucknell,Patriot,2024,574021
83,Bucknell,Patriot,2023,548100
87,Butler,Big East,2025,596503
87,Butler,Big East,2024,574022
87,Butler,Big East,2023,548101
94,CSU Bakersfield,Big West,2025,596505
94,CSU Bakersfield,Big West,2024,574024
94,CSU Bakersfield,Big West,2023,548103
101,CSUN,Big West,2025,596508
101,CSUN,Big West,2024,574028
101,CSUN,Big West,2023,548107
90,Cal Poly,Big West,2025,596504
90,Cal Poly,Big West,2024,574023
90,Cal Poly,Big West,2023,548102
97,Cal St. Fullerton,Big West,2025,596506
97,Cal St. Fullerton,Big West,2024,574026
97,Cal St. Fullerton,Big West,2023,548105
107,California,ACC,2025,596511
107,California,Pac-12,2024,574031
107,California,Pac-12,2023,548110
30135,California Baptist,WAC,2025,596476
30135,California Baptist,WAC,2024,573994
30135,California Baptist,WAC,2023,548073
115,Campbell,CAA,2025,596516
115,Campbell,CAA,2024,574036
115,Campbell,Big South,2023,548115
116,Canisius,MAAC,2025,596517
116,Canisius,MAAC,2024,574037
116,Canisius,MAAC,2023,548116
1004,Central Ark.,ASUN,2025,596457
1004,Central Ark.,ASUN,2024,573972
1004,Central Ark.,ASUN,2023,548051
127,Central Conn. St.,NEC,2025,596518
127,Central Conn. St.,NEC,2024,574038
127,Central Conn. St.,NEC,2023,548117
129,Central Mich.,MAC,2025,596520
129,Central Mich.,MAC,2024,574040
129,Central Mich.,MAC,2023,548119
48,Charleston So.,Big South,2025,596492
48,Charleston So.,Big South,2024,574011
48,Charleston So.,Big South,2023,548090
458,Charlotte,American,2025,596615
458,Charlotte,AAC,2024,574140
458,Charlotte,C-USA,2023,548219
140,Cincinnati,Big 12,2025,596521
140,Cincinnati,Big 12,2024,574041
140,Cincinnati,AAC,2023,548120
147,Clemson,ACC,2025,596523
147,Clemson,ACC,2024,574043
147,Clemson,ACC,2023,548122
149,Coastal Carolina,Sun Belt,2025,596524
149,Coastal Carolina,Sun Belt,2024,574044
149,Coastal Carolina,Sun Belt,2023,548123
1014,Col. of Charleston,CAA,2025,596459
1014,Col. of Charleston,CAA,2024,573974
1014,Col. of Charleston,CAA,2023,548053
158,Columbia,Ivy League,2025,596525
158,Columbia,Ivy League,2024,574045
158,Columbia,Ivy League,2023,548124
165,Coppin St.,NEC,2025,596527
165,Coppin St.,NEC,2024,574047
165,Coppin St.,NEC,2023,548126
167,Cornell,Ivy League,2025,596528
167,Cornell,Ivy League,2024,574048
167,Cornell,Ivy League,2023,548127
169,Creighton,Big East,2025,596529
169,Creighton,Big East,2024,574049
169,Creighton,Big East,2023,548128
1045,DBU,CUSA,2025,596703
1045,DBU,CUSA,2024,573975
1045,DBU,C-USA,2023,548054
172,Dartmouth,Ivy League,2025,596530
172,Dartmouth,Ivy League,2024,574050
172,Dartmouth,Ivy League,2023,548129
173,Davidson,Atlantic 10,2025,596531
173,Davidson,Atlantic 10,2024,574051
173,Davidson,Atlantic 10,2023,548130
175,Dayton,Atlantic 10,2025,596532
175,Dayton,Atlantic 10,2024,574052
175,Dayton,Atlantic 10,2023,548131
180,Delaware,CAA,2025,596534
180,Delaware,CAA,2024,574054
180,Delaware,CAA,2023,548133
178,Delaware St.,NEC,2025,596533
178,Delaware St.,NEC,2024,574053
178,Delaware St.,NEC,2023,548132
193,Duke,ACC,2025,596708
193,Duke,ACC,2024,574055
193,Duke,ACC,2023,548134
198,ETSU,SoCon,2025,596536
198,ETSU,SoCon,2024,574057
198,ETSU,SoCon,2023,548136
196,East Carolina,American,2025,596535
196,East Carolina,AAC,2024,574056
196,East Carolina,AAC,2023,548135
201,Eastern Ill.,OVC,2025,596537
201,Eastern Ill.,OVC,2024,574058
201,Eastern Ill.,OVC,2023,548137
202,Eastern Ky.,ASUN,2025,596538
202,Eastern Ky.,ASUN,2024,574059
202,Eastern Ky.,ASUN,2023,548138
204,Eastern Mich.,MAC,2025,596539
204,Eastern Mich.,MAC,2024,574060
204,Eastern Mich.,MAC,2023,548139
1068,Elon,CAA,2025,596460
1068,Elon,CAA,2024,573976
1068,Elon,CAA,2023,548055
219,Evansville,MVC,2025,596709
219,Evansville,MVC,2024,574061
219,Evansville,MVC,2023,548140
222,FDU,NEC,2025,596541
222,FDU,NEC,2024,574063
28755,FGCU,ASUN,2025,596473
28755,FGCU,ASUN,2024,573991
28755,FGCU,ASUN,2023,548070
231,FIU,CUSA,2025,596544
231,FIU,CUSA,2024,574066
231,FIU,C-USA,2023,548145
220,Fairfield,MAAC,2025,596540
220,Fairfield,MAAC,2024,574062
220,Fairfield,MAAC,2023,548141
222,Fairleigh Dickinson,NEC,2023,548142
229,Fla. Atlantic,American,2025,596543
229,Fla. Atlantic,AAC,2024,574065
229,Fla. Atlantic,C-USA,2023,548144
235,Florida,SEC,2025,596546
235,Florida,SEC,2024,574068
235,Florida,SEC,2023,548147
228,Florida A&M,SWAC,2025,596542
228,Florida A&M,SWAC,2024,574064
228,Florida A&M,SWAC,2023,548143
234,Florida St.,ACC,2025,596545
234,Florida St.,ACC,2024,574067
234,Florida St.,ACC,2023,548146
236,Fordham,Atlantic 10,2025,596547
236,Fordham,Atlantic 10,2024,574069
236,Fordham,Atlantic 10,2023,548148
96,Fresno St.,Mountain West,2025,596707
96,Fresno St.,Mountain West,2024,574025
96,Fresno St.,Mountain West,2023,548104
253,Ga. Southern,Sun Belt,2025,596551
253,Ga. Southern,Sun Belt,2024,574073
253,Ga. Southern,Sun Belt,2023,548152
1092,Gardner-Webb,Big South,2025,596461
1092,Gardner-Webb,Big South,2024,573977
1092,Gardner-Webb,Big South,2023,548056
248,George Mason,Atlantic 10,2025,596548
248,George Mason,Atlantic 10,2024,574070
248,George Mason,Atlantic 10,2023,548149
249,George Washington,Atlantic 10,2025,596549
249,George Washington,Atlantic 10,2024,574071
249,George Washington,Atlantic 10,2023,548150
251,Georgetown,Big East,2025,596550
251,Georgetown,Big East,2024,574072
251,Georgetown,Big East,2023,548151
257,Georgia,SEC,2025,596554
257,Georgia,SEC,2024,574076
257,Georgia,SEC,2023,548155
254,Georgia St.,Sun Belt,2025,596552
254,Georgia St.,Sun Belt,2024,574074
254,Georgia St.,Sun Belt,2023,548153
255,Georgia Tech,ACC,2025,596553
255,Georgia Tech,ACC,2024,574075
255,Georgia Tech,ACC,2023,548154
260,Gonzaga,WCC,2025,596555
260,Gonzaga,WCC,2024,574077
260,Gonzaga,WCC,2023,548156
261,Grambling,SWAC,2025,596710
261,Grambling,SWAC,2024,574078
261,Grambling,SWAC,2023,548157
1104,Grand Canyon,WAC,2025,596462
1104,Grand Canyon,WAC,2024,573978
1104,Grand Canyon,WAC,2023,548057
272,Hartford,DI Independent,2023,548158
275,Harvard,Ivy League,2025,596556
275,Harvard,Ivy League,2024,574080
275,Harvard,Ivy League,2023,548159
277,Hawaii,Big West,2025,596557
277,Hawaii,Big West,2024,574081
277,Hawaii,Big West,2023,548160
19651,High Point,Big South,2025,596705
19651,High Point,Big South,2024,573988
19651,High Point,Big South,2023,548067
283,Hofstra,CAA,2025,596558
283,Hofstra,CAA,2024,574082
283,Hofstra,CAA,2023,548161
285,Holy Cross,Patriot,2025,596559
285,Holy Cross,Patriot,2024,574083
285,Holy Cross,Patriot,2023,548162
288,Houston,Big 12,2025,596561
288,Houston,Big 12,2024,574085
288,Houston,AAC,2023,548164
287,Houston Christian,Southland,2025,596560
287,Houston Christian,Southland,2024,574084
287,Houston Christian,Southland,2023,548163
301,Illinois,Big Ten,2025,596563
301,Illinois,Big Ten,2024,574087
301,Illinois,Big Ten,2023,548166
299,Illinois St.,MVC,2025,596562
299,Illinois St.,MVC,2024,574086
299,Illinois St.,MVC,2023,548165
306,Indiana,Big Ten,2025,596566
306,Indiana,Big Ten,2024,574090
306,Indiana,Big Ten,2023,548169
305,Indiana St.,MVC,2025,596565
305,Indiana St.,MVC,2024,574089
305,Indiana St.,MVC,2023,548168
310,Iona,MAAC,2025,596568
310,Iona,MAAC,2024,574092
310,Iona,MAAC,2023,548171
312,Iowa,Big Ten,2025,596569
312,Iowa,Big Ten,2024,574093
312,Iowa,Big Ten,2023,548172
314,Jackson St.,SWAC,2025,596570
314,Jackson St.,SWAC,2024,574094
