team_id,team_name,conference,year,season_team_id,done
229,Fla. Atlantic,C-USA,2023,548144,FALSE
235,Florida,SEC,2025,596546,FALSE
235,Florida,SEC,2023,548147,FALSE
228,Florida A&M,SWAC,2025,596542,FALSE
228,Florida A&M,SWAC,2023,548143,FALSE
234,Florida St.,ACC,2025,596545,FALSE
234,Florida St.,ACC,2023,548146,FALSE
236,Fordham,Atlantic 10,2025,596547,FALSE
236,Fordham,Atlantic 10,2023,548148,FALSE
96,Fresno St.,Mountain West,2025,596707,FALSE
96,Fresno St.,Mountain West,2023,548104,FALSE
253,Ga. Southern,Sun Belt,2025,596551,FALSE
253,Ga. Southern,Sun Belt,2023,548152,FALSE
1092,Gardner-Webb,Big South,2025,596461,FALSE
1092,Gardner-Webb,Big South,2023,548056,FALSE
248,George Mason,Atlantic 10,2025,596548,FALSE
248,George Mason,Atlantic 10,2023,548149,FALSE
249,George Washington,Atlantic 10,2025,596549,FALSE
249,George Washington,Atlantic 10,2023,548150,FALSE
251,Georgetown,Big East,2025,596550,FALSE
251,Georgetown,Big East,2023,548151,FALSE
257,Georgia,SEC,2025,596554,FALSE
257,Georgia,SEC,2023,548155,FALSE
254,Georgia St.,Sun Belt,2025,596552,FALSE
254,Georgia St.,Sun Belt,2023,548153,FALSE
255,Georgia Tech,ACC,2025,596553,FALSE
255,Georgia Tech,ACC,2023,548154,FALSE
260,Gonzaga,WCC,2025,596555,FALSE
260,Gonzaga,WCC,2023,548156,FALSE
261,Grambling,SWAC,2025,596710,FALSE
261,Grambling,SWAC,2023,548157,FALSE
1104,Grand Canyon,WAC,2025,596462,FALSE
1104,Grand Canyon,WAC,2023,548057,FALSE
272,Hartford,DI Independent,2023,548158,FALSE
275,Harvard,Ivy League,2025,596556,FALSE
275,Harvard,Ivy League,2023,548159,FALSE
277,Hawaii,Big West,2025,596557,FALSE
277,Hawaii,Big West,2023,548160,FALSE
19651,High Point,Big South,2025,596705,FALSE
19651,High Point,Big South,2023,548067,FALSE
283,Hofstra,CAA,2025,596558,FALSE
283,Hofstra,CAA,2023,548161,FALSE
285,Holy Cross,Patriot,2025,596559,FALSE
285,Holy Cross,Patriot,2023,548162,FALSE
288,Houston,Big 12,2025,596561,FALSE
288,Houston,AAC,2023,548164,FALSE
287,Houston Christian,Southland,2025,596560,FALSE
287,Houston Christian,Southland,2023,548163,FALSE
301,Illinois,Big Ten,2025,596563,FALSE
301,Illinois,Big Ten,2023,548166,FALSE
299,Illinois St.,MVC,2025,596562,FALSE
299,Illinois St.,MVC,2023,548165,FALSE
306,Indiana,Big Ten,2025,596566,FALSE
306,Indiana,Big Ten,2023,548169,FALSE
305,Indiana St.,MVC,2025,596565,FALSE
305,Indiana St.,MVC,2023,548168,FALSE
310,Iona,MAAC,2025,596568,FALSE
