school,domain,path,signal
A&M-Corpus Christi,goislanders.com,,0
Abilene Christian,acusports.com,,0
Air Force,goairforcefalcons.com,,0
Akron,gozips.com,,0
Alabama,rolltide.com,,0
Alabama A&M,aamusports.com,,0
Alabama St.,bamastatesports.com,,0
Alcorn,alcornsports.com,,0
App State,appstatesports.com,,0
Arizona,arizonawildcats.com,,0
Arizona St.,thesundevils.com,,0
Ark.-Pine Bluff,uapblionsroar.com,,0
Arkansas,arkansasrazorbacks.com,,0
Arkansas St.,astateredwolves.com,,0
Army West Point,goarmywestpoint.com,,0
Auburn,auburntigers.com,,0
Austin Peay,letsgopeay.com,,0
BYU,byucougars.com,,0
Ball St.,ballstatesports.com,,0
Baylor,baylorbears.com,,0
Bellarmine,athletics.bellarmine.edu,,0
Belmont,belmontbruins.com,,0
Bethune-Cookman,bcuathletics.com,,0
Binghamton,bubearcats.com,,0
Boston College,bceagles.com,,0
Bowling Green,bgsufalcons.com,,0
Bradley,bradleybraves.com,,0
Brown,brownbears.com,,0
Bryant,bryantbulldogs.com,,0
Bucknell,bucknellbison.com,,0
Butler,butlersports.com,,0
CSU Bakersfield,gorunners.com,,0
CSUN,gomatadors.com,,0
Cal Poly,gopoly.com,,0
Cal St. Fullerton,fullertontitans.com,,0
California,calbears.com,,0
California Baptist,cbulancers.com,,0
Campbell,gocamels.com,,0
Canisius,gogriffs.com,,0
Central Ark.,ucasports.com,,0
Central Conn. St.,ccsubluedevils.com,,0
Central Mich.,cmuchippewas.com,,0
Charleston So.,csusports.com,,0
Charlotte,charlotte49ers.com,,0
Cincinnati,gobearcats.com,,0
Clemson,clemsontigers.com,,0
Coastal Carolina,goccusports.com,,0
Col. of Charleston,cofcsports.com,,0
Columbia,gocolumbialions.com,,0
Coppin St.,coppinstatesports.com,,0
Cornell,cornellbigred.com,,0
Creighton,gocreighton.com,,0
DBU,dbupatriots.com,,0
Dartmouth,dartmouthsports.com,,0
Davidson,davidsonwildcats.com,,0
Dayton,daytonflyers.com,,0
Delaware,bluehens.com,,0
Delaware St.,dsuhornets.com,,0
Duke,goduke.com,,0
ETSU,etsubucs.com,,0
East Carolina,ecupirates.com,,0
Eastern Ill.,eiupanthers.com,,0
Eastern Ky.,ekusports.com,,0
Eastern Mich.,emueagles.com,,0
Elon,elonphoenix.com,,0
Evansville,gopurpleaces.com,,0
FDU,fduknights.com,,0
FGCU,fgcuathletics.com,,0
FIU,fiusports.com,,0
Fairfield,fairfieldstags.com,,0
Fairleigh Dickinson,fduknights.com,,0
Fla. Atlantic,fausports.com,,0
Florida,floridagators.com,,0
Florida A&M,famuathletics.com,,0
Florida St.,seminoles.com,,0
Fordham,fordhamsports.com,,0
Fresno St.,gobulldogs.com,,0
Ga. Southern,gseagles.com,,0
Gardner-Webb,gwusports.com,,0
George Mason,gomason.com,,0
George Washington,gwsports.com,,0
