PitcherTeam,year,school,share,n,margin
GIT_YEL,2025,Eastern Ky.,0.0454545454545455,22,0.0454545454545455
OLD_MON,2024,San Francisco,0.0476190476190476,21,0.0476190476190476
GEO_PAT,2024,Sam Houston,0.05,20,0
MIA_HUR,2025,Alabama St.,0.05,20,0.05
MIZ_TIG,2025,Grand Canyon,0.05,20,0
NOT_IRI,2025,Houston Christian,0.05,20,0
SOU_GAM,2023,Manhattan,0.05,20,0.05
TEX_AGG,2024,San Diego St.,0.05,20,0.05
VIR_CAV,2024,UCLA,0.05,20,0.05
VIR_CAV,2025,UCLA,0.05,20,0.05
KEN_WIL,2024,Butler,0.0526315789473684,19,0
IOW_HAW,2024,Bryant,0.0555555555555556,18,0.0555555555555556
KEN_WIL,2025,North Ala.,0.0555555555555556,18,0
NOT_IRI,2024,Coastal Carolina,0.0555555555555556,18,0.0555555555555556
UCF_KNI,2025,Elon,0.0555555555555556,18,0.0555555555555556
VAN_COM,2025,Western Ky.,0.0555555555555556,18,0.0555555555555556
IOW_HAW,2025,Bryant,0.0588235294117647,17,0.0588235294117647
LSU_TIG,2025,Kennesaw St.,0.0588235294117647,17,0.0588235294117647
OLD_MON,2025,San Francisco,0.0588235294117647,17,0.0588235294117647
LIB_FLA,2023,VMI,0.0625,16,0.0625
NOR_CAT,2023,Louisiana Tech,0.0625,16,0.0625
STA_CAR,2025,Navy,0.0625,16,0.0625
VAN_COM,2023,NIU,0.0625,16,0
VIR_CAV,2023,UCLA,0.0666666666666667,15,0.0666666666666667
WAS_COU,2025,Kent St.,0.0666666666666667,15,0.0666666666666667
MIA_HUR,2023,Lafayette,0.0714285714285714,14,0
UTS_ROA,2024,Maine,0.0714285714285714,14,0
GEO_PAT,2023,NIU,0.0769230769230769,13,0.0769230769230769
SEA_RED,2024,Dartmouth,0.0769230769230769,13,0.0769230769230769
SOU_RED,2024,Gardner-Webb,0.0769230769230769,13,0
UTS_ROA,2023,San Diego,0.0909090909090909,11,0.0909090909090909
MIS_DEL,2023,Ball St.,0.1,10,0
NNU_CRU,2024,Santa Clara,0.2,5,0
GVU_VIK,2024,St. Thomas (MN),0.25,4,0
NOR_PAR,2025,Charlotte,0.25,4,0.25
SMU_SAI,2024,Lehigh,0.25,4,0.25
SMU_SAI,2025,Mercyhurst,0.25,4,0.25
SEA_UNI,2025,Seattle U,0.285714285714286,7,0.285714285714286
NOR_PAR,2024,Hofstra,0.333333333333333,3,0
MAR_RED,2024,Marist,0.4,15,0.333333333333333
ASU_RED,2025,Arkansas St.,0.451612903225806,31,0.419354838709677
MAR_RED,2025,Marist,0.5,14,0.428571428571429
SAN_AZT,2024,San Diego St.,0.5,12,0.5
SEA_RED,2025,Seattle U,0.541666666666667,24,0.5
TOL_ROC,2023,Toledo,0.545454545454545,11,0.454545454545455
LOU_CAJ,2025,Louisiana,0.578947368421053,19,0.526315789473684
ARI_WIL,2025,Arizona,0.620689655172414,29,0.586206896551724
ARL_MAV,2025,UT Arlington,0.666666666666667,24,0.666666666666667
MIS_DEL,2025,Mississippi Val.,0.666666666666667,6,0.666666666666667
WAS_HUS,2025,Washington,0.666666666666667,21,0.523809523809524
GEO_EAG,2025,Ga. Southern,0.68,25,0.64
MSM_MTN,2024,Mount St. Mary's,0.68421052631579,19,0.68421052631579
ORE_BEA,2025,Oregon St.,0.695652173913044,23,0.652173913043478
MSM_MTN,2023,Mount St. Mary's,0.7,10,0.7
QUI_BOB,2023,Quinnipiac,0.7,10,0.7
SAN_TOR,2025,San Diego,0.7,20,0.65
MSM_MTN,2025,Mount St. Mary's,0.705882352941177,17,0.647058823529412
UTA_WOL,2025,Utah Valley,0.708333333333333,24,0.708333333333333
WIN_EAG,2025,Winthrop,0.722222222222222,18,0.722222222222222
LOY_LIO,2025,LMU (CA),0.727272727272727,22,0.727272727272727
MAR_TER,2023,Maryland,0.727272727272727,11,0.727272727272727
SAC_PIO,2025,Sacred Heart,0.733333333333333,15,0.733333333333333
TOW_TIG,2023,Towson,0.733333333333333,15,0.733333333333333
ARK_RAZ,2025,Arkansas,0.736842105263158,19,0.736842105263158
SAC_HOR,2025,Sacramento St.,0.736842105263158,19,0.736842105263158
WAK_DEA,2024,Wake Forest,0.736842105263158,19,0.736842105263158
FDU_KNI,2023,Fairleigh Dickinson,0.75,4,0.75
KEN_OWL,2023,Kennesaw St.,0.75,16,0.75
SPU_PEA,2023,Saint Peter's,0.75,8,0.75
WOF_TER,2023,Wofford,0.75,12,0.75
CAM_CAM,2024,Campbell,0.764705882352941,17,0.705882352941176
SIE_SAI,2025,Siena,0.764705882352941,17,0.764705882352941
STJ_HAW,2025,Saint Joseph's,0.764705882352941,17,0.588235294117647
WAG_SEA,2025,Wagner,0.764705882352941,17,0.764705882352941
BRA_BRA,2025,Bradley,0.769230769230769,13,0.769230769230769
NCB,2023,Northern Colo.,0.769230769230769,13,0.769230769230769
TEX_TIG,2024,Texas Southern,0.769230769230769,13,0.769230769230769
UTR_VAQ,2023,UTRGV,0.769230769230769,13,0.769230769230769
WM_TRI,2024,William & Mary,0.769230769230769,13,0.769230769230769
GEO_PAN,2025,Georgia St.,0.777777777777778,18,0.777777777777778
SAC_HOR,2024,Sacramento St.,0.777777777777778,18,0.777777777777778
QUI_BOB,2025,Quinnipiac,0.785714285714286,14,0.785714285714286
WMI_BRO,2025,Western Mich.,0.785714285714286,14,0.785714285714286
HOU_COU,2023,Houston,0.789473684210526,19,0.736842105263158
HOU_COU,2024,Houston,0.789473684210526,19,0.736842105263158
MIS_BEA,2025,Missouri St.,0.789473684210526,19,0.789473684210526
UMBC_RET,2025,UMBC,0.789473684210526,19,0.736842105263158
AIR_FOR,2024,Air Force,0.8,15,0.733333333333333
ALC_BRA,2023,Alcorn,0.8,5,0.8
CIT_BUL,2023,The Citadel,0.8,15,0.733333333333333
FOR_MAS,2024,Purdue Fort Wayne,0.8,10,0.8
GEO_COL,2023,George Washington,0.8,15,0.733333333333333
KAN_WIL,2023,Kansas St.,0.8,15,0.8
MAR_TER,2024,Maryland,0.8,15,0.733333333333333
NIC_COL,2025,Nicholls,0.8,15,0.733333333333333
PRA_PAN,2025,Prairie View,0.8,15,0.733333333333333
QUI_BOB,2024,Quinnipiac,0.8,15,0.8
SAC_PIO,2024,Sacred Heart,0.8,10,0.8
SBU_SEA,2025,Stony Brook,0.8,15,0.8
TOW_TIG,2024,Towson,0.8,20,0.8
UMA_AMH,2025,Massachusetts,0.8,15,0.8
ARI_SUN,2025,Arizona St.,0.80952380952381,21,0.80952380952381
NIU_HUS,2025,NIU,0.80952380952381,21,0.80952380952381
NMS_AGG,2025,New Mexico St.,0.80952380952381,21,0.80952380952381
AIR_FOR,2023,Air Force,0.8125,16,0.75
AIR_FOR,2025,Air Force,0.8125,16,0.75
CAL_MUS,2024,Cal Poly,0.8125,16,0.8125
GON_BUL,2024,Gonzaga,0.8125,16,0.8125
LAF_LEP,2023,Lafayette,0.8125,16,0.8125
LON_LAN,2025,Longwood,0.8125,16,0.8125
MIC_WOL,2024,Michigan,0.8125,16,0.8125
SIE_SAI,2024,Siena,0.8125,16,0.75
WM_TRI,2023,William & Mary,0.8125,16,0.8125
SBU_SEA,2024,Stony Brook,0.818181818181818,11,0.818181818181818
SLU_BILL,2024,Saint Louis,0.818181818181818,11,0.818181818181818
STE_HAT,2025,Stetson,0.818181818181818,22,0.772727272727273
STO_COL,2024,Stonehill,0.818181818181818,11,0.818181818181818
UTA_UTE,2023,Utah,0.818181818181818,11,0.818181818181818
ALA_HOR,2025,Alabama St.,0.823529411764706,17,0.823529411764706
ARI_WIL,2024,Arizona,0.823529411764706,17,0.764705882352941
BEL_BRU,2025,Belmont,0.823529411764706,17,0.823529411764706
CAL_AGO,2025,UC Davis,0.823529411764706,17,0.823529411764706
NOR_AGG,2025,N.C. A&T,0.823529411764706,17,0.823529411764706
SAN_DON,2025,San Francisco,0.823529411764706,17,0.823529411764706
WM_TRI,2025,William & Mary,0.823529411764706,17,0.823529411764706
WRI_RAI,2024,Wright St.,0.823529411764706,17,0.823529411764706
IU,2025,Indiana,0.826086956521739,23,0.652173913043478
NEW_PRI,2025,New Orleans,0.826086956521739,23,0.782608695652174
ALC_BRA,2024,Alcorn,0.833333333333333,6,0.833333333333333
COL_LION,2025,Columbia,0.833333333333333,18,0.833333333333333
ION_GAE,2025,Iona,0.833333333333333,12,0.833333333333333
IWC,2025,UIW,0.833333333333333,12,0.833333333333333
JAC_TIG,2024,Jackson St.,0.833333333333333,6,0.833333333333333
KEN_OWL,2025,Kennesaw St.,0.833333333333333,18,0.833333333333333
KS_GF,2024,Kent St.,0.833333333333333,12,0.833333333333333
STO_COL,2025,Stonehill,0.833333333333333,18,0.777777777777778
TEX_LON,2024,Texas,0.833333333333333,18,0.833333333333333
TEX_TIG,2023,Texas Southern,0.833333333333333,12,0.833333333333333
TOW_TIG,2025,Towson,0.833333333333333,18,0.833333333333333
VCU_RAM,2024,VCU,0.833333333333333,18,0.833333333333333
WAG_SEA,2023,Wagner,0.833333333333333,12,0.833333333333333
WAK_DEA,2023,Wake Forest,0.833333333333333,12,0.833333333333333
WMI_BRO,2024,Western Mich.,0.833333333333333,12,0.833333333333333
XAV_MUS,2025,Xavier,0.833333333333333,18,0.722222222222222
BOC_EAG,2024,Boston College,0.842105263157895,19,0.842105263157895
PEP_WAV,2025,Pepperdine,0.842105263157895,19,0.842105263157895
ULM_WAR,2023,ULM,0.842105263157895,19,0.842105263157895
BYU_COU,2023,BYU,0.846153846153846,13,0.769230769230769
GAR_RUN,2023,Gardner-Webb,0.846153846153846,13,0.846153846153846
MER_UNI,2025,Mercyhurst,0.846153846153846,13,0.846153846153846
NOK_NOR,2023,Northern Ky.,0.846153846153846,13,0.846153846153846
UMASS_RIV,2025,UMass Lowell,0.846153846153846,13,0.846153846153846
USC_UPS,2025,USC Upstate,0.846153846153846,13,0.846153846153846
WOF_TER,2024,Wofford,0.846153846153846,13,0.846153846153846
AUB_TIG,2024,Auburn,0.85,20,0.85
GRA_CAN,2025,Grand Canyon,0.85,20,0.8
MAI_BLA,2025,Maine,0.85,20,0.8
PUR_BOI,2025,Purdue,0.85,20,0.85
SAL_JAG,2025,South Alabama,0.85,20,0.8
SOU_TRO,2025,Southern California,0.85,20,0.8
ARM_BLA,2023,Army West Point,0.857142857142857,14,0.857142857142857
BEL_BRU,2024,Belmont,0.857142857142857,14,0.857142857142857
CSD_TRI,2023,UC San Diego,0.857142857142857,14,0.857142857142857
EMU_EAG,2024,Eastern Mich.,0.857142857142857,14,0.857142857142857
FOR_RAM,2023,Fordham,0.857142857142857,14,0.857142857142857
IND_SYC,2023,Indiana St.,0.857142857142857,14,0.857142857142857
MAI_BLA,2023,Maine,0.857142857142857,7,0.857142857142857
MIA_RED,2024,Miami (OH),0.857142857142857,14,0.857142857142857
MIC_WOL,2023,Michigan,0.857142857142857,14,0.857142857142857
PEP_WAV,2023,Pepperdine,0.857142857142857,14,0.785714285714286
PUR_FOR,2023,Purdue Fort Wayne,0.857142857142857,7,0.857142857142857
PUR_FOR,2024,Purdue Fort Wayne,0.857142857142857,14,0.857142857142857
QUN_RYL,2025,Queens (NC),0.857142857142857,14,0.785714285714286
RAD_HIG,2023,Radford,0.857142857142857,14,0.857142857142857
RID_BRO,2024,Rider,0.857142857142857,14,0.857142857142857
RID_BRO,2025,Rider,0.857142857142857,14,0.857142857142857
SAL_JAG,2024,South Alabama,0.857142857142857,21,0.80952380952381
SIE_SAI,2023,Siena,0.857142857142857,14,0.785714285714286
SPU_PEA,2024,Saint Peter's,0.857142857142857,14,0.857142857142857
TEX_RAI,2025,Texas Tech,0.857142857142857,21,0.857142857142857
UNC_SPA,2025,UNC Greensboro,0.857142857142857,14,0.785714285714286
WAG_SEA,2024,Wagner,0.857142857142857,14,0.857142857142857
WAS_HUS,2023,Washington,0.857142857142857,14,0.857142857142857
WMI_BRO,2023,Western Mich.,0.857142857142857,14,0.857142857142857
WRI_RAI,2023,Wright St.,0.857142857142857,14,0.857142857142857
BAL_CAR,2025,Ball St.,0.866666666666667,15,0.866666666666667
BUC_BIS,2024,Bucknell,0.866666666666667,15,0.866666666666667
CAL_MUS,2025,Cal Poly,0.866666666666667,15,0.866666666666667
ECU_PIR,2025,East Carolina,0.866666666666667,15,0.8
GRA_CAN,2024,Grand Canyon,0.866666666666667,15,0.866666666666667
JUD,2024,Jacksonville,0.866666666666667,15,0.8
KS_GF,2025,Kent St.,0.866666666666667,15,0.866666666666667
