PitcherTeam,year,k
ALV_CCO,2023,cuello|oscar
BRK_CMC,2023,leskousky
BRK_CMC,2023,zamora
ALV_CCO,2023,bergeron|bryce
ALV_CCO,2023,carpenter|samuel
ALV_CCO,2023,cienfuegos|kike
PEP_WAV,2023,shane|telfer
BOC_EAG,2023,henry|leake
BOC_EAG,2023,eric|schroeder
PEP_WAV,2023,brandon|llewellyn
BOC_EAG,2023,charlie|coon
BOC_EAG,2023,brian|mcmonagle
BOC_EAG,2023,lane|travis
ABI_WIL,2023,morgan|tyler
NEV_WOL,2023,kade|morris
ABI_WIL,2023,berberich|sam
ABI_WIL,2023,adam|byrd
NEV_WOL,2023,morgan|white
ABI_WIL,2023,anderson|blake
NEV_WOL,2023,dillon|holliday
OKL_COW,2023,juaron|wattsbrown
MIZ_TIG,2023,chandler|murphy
MIZ_TIG,2023,neubeck|tony
OKL_COW,2023,blake|drew
OKL_COW,2023,brant|hogue
OKL_COW,2023,evan|otoole
MIZ_TIG,2023,franklin|zach
OKL_COW,2023,mclean|nolan
TCU_HFG,2023,ryan|vanderhei
VAN_COM,2023,carter|holton
VAN_COM,2023,hliboki|sam
TCU_HFG,2023,ridings|river
TCU_HFG,2023,luke|savage
VAN_COM,2023,grayson|moore
VAN_COM,2023,david|horn
TEX_LON,2023,gordon|lucas
ARK_RAZ,2023,hagen|smith
TEX_LON,2023,johnson|lebarron
ARK_RAZ,2023,adcock|cody
TEX_LON,2023,chris|stuart
ARK_RAZ,2023,frank|koty
TEX_LON,2023,andre|duplantier|ii
ARK_RAZ,2023,brady|tygart
CAL_MUS,2023,bryce|warrecker
MIS_BEA,2023,eddington|jake
MIS_BEA,2023,scott|youngbrandt
MIS_BEA,2023,halligan|miles
MIS_BEA,2023,carter|degondea
CAL_MUS,2023,derek|true
MIS_BEA,2023,ferguson|garrett
CAL_MUS,2023,freddie|rodriguez
MIS_BEA,2023,bassham|corbin
CAL_MUS,2023,evan|tomlinson
CAL_MUS,2023,larkin|noah
BAY_BEA,2023,blake|helton
CEN_MIC,2023,garrett|navarra
BAY_BEA,2023,golomb|grant
CEN_MIC,2023,ben|vitas
BAY_BEA,2023,hambleton|oliver
CEN_MIC,2023,conte|michael
CEN_MIC,2023,palmblad|ryan
BAY_BEA,2023,cole|stasio
CEN_MIC,2023,nathan|ross
LON_DIR,2023,graham|osman
WIC_SHO,2023,candiotti|clark
WIC_SHO,2023,caden|favors
LON_DIR,2023,clough|ethan
LON_DIR,2023,haley|josh
UNC_SEA,2023,gaither|matt
OHI_BOB,2023,brenden|roder
OHI_BOB,2023,spoon|trent
UNC_SEA,2023,hudak|jason
UNC_SEA,2023,benton|cole
UNC_SEA,2023,chenault|ethan
OHI_BOB,2023,peck|tyler
UNC_SEA,2023,aubrey|smith
OHI_BOB,2023,colin|sells
UNC_SEA,2023,banks|brett
DIX_STE,2023,brett|porthan
POR_PIL,2023,gartrell|joey
DIX_STE,2023,carsten|herman
DIX_STE,2023,carroll|jace
DIX_STE,2023,angeroth|carson
POR_PIL,2023,kaden|segel
LON_LAN,2023,berrier|logan
MSM_MTN,2023,adams|cooper
MSM_MTN,2023,max|moore
LON_LAN,2023,gibbons|sean
MSM_MTN,2023,jb|manarchuck
LON_LAN,2023,garcia|guillermo|jr
LON_LAN,2023,michael|tolson
MSM_MTN,2023,jett|slepak
LON_LAN,2023,bunch|wyatt
DAL_PAT,2023,bragg|braxton
FOR_RAM,2023,gabe|karslo
FOR_RAM,2023,maeker|trey
DAL_PAT,2023,brady|rose
FOR_RAM,2023,cunha|dom
DAL_PAT,2023,beuter|reece
FOR_RAM,2023,declan|lavelle
DAL_PAT,2023,peyton|smith
TEX_RAI,2023,kyle|robinson
GON_BUL,2023,owen|wild
TEX_RAI,2023,brendan|girton
GON_BUL,2023,haas|reagan
GON_BUL,2023,jeff|nelson
TEX_RAI,2023,josh|sanders
VIR_CAV,2023,brian|edgington
NAV_MID,2023,mitchell|nate
NAV_MID,2023,russell|thomas
VIR_CAV,2023,connelly|early
NAV_MID,2023,ward|zach
NAV_MID,2023,green|tyler
NAV_MID,2023,jorgenson|nolan
VIR_CAV,2023,chase|hungate
SOU_TRO,2023,stromsborg|tyler
MAR_RED,2023,jack|keenan
MAR_RED,2023,jack|wren
SOU_TRO,2023,clarke|garrett
MAR_RED,2023,kmietek|zane
MAR_RED,2023,bowery|jack
SOU_TRO,2023,spach|toby
SOU_TRO,2023,kyle|wisch
FLO_SEM,2023,carson|montgomery
JMU_DUK,2023,burke|donovan
JMU_DUK,2023,kleinfelter|matthew
JMU_DUK,2023,entsminger|hunter
FLO_SEM,2023,barrett|david
FLO_SEM,2023,brennen|oxford
FLO_SEM,2023,crowell|wyatt
JMU_DUK,2023,jaden|kinsler
FLO_SEM,2023,jaden|stockton
FLO_SEM,2023,andrew|armstrong
NOR_WOL,2023,logan|whitaker
WAG_SEA,2023,daniel|merkel
WAG_SEA,2023,jason|masick
NOR_WOL,2023,scott|win
NOR_WOL,2023,everette|harris
WAG_SEA,2023,duquette|jagger
NOR_WOL,2023,creed|watkins
DUK_BLU,2023,jonathan|santucci
STJ_HAW,2023,domenic|picone
DUK_BLU,2023,owen|proksch
STJ_HAW,2023,falco|mike
DUK_BLU,2023,gabe|nard
STJ_HAW,2023,ciccone|frank
UNL_REB,2023,beal|noah
PAC_TIG,2023,grant|stevens
PAC_TIG,2023,caden|casagrande
UNL_REB,2023,nick|rupp
PAC_TIG,2023,martinez|ryan
PAC_TIG,2023,barrera|daniel
PAC_TIG,2023,jarryd|wood
UNL_REB,2023,cole|roberts
GEO_PAN,2023,ryan|watson
CIN_BEA,2023,garrett|harker
GEO_PAN,2023,chastain|davis
CIN_BEA,2023,jackson|murphy
GEO_PAN,2023,cameron|jones
CIN_BEA,2023,griffin|hugus
CIN_BEA,2023,bergmann|max
GEO_PAN,2023,ottinger|zach
CIN_BEA,2023,mcclanahan|nick
GEO_PAN,2023,aidan|mcallister
GIT_YEL,2023,brown|dawson
MIA_RED,2023,chadwick|tyler
MIA_RED,2023,luke|ross
GIT_YEL,2023,luke|schmolke
MIA_RED,2023,lazaro|marquez
GIT_YEL,2023,noah|samol
GIT_YEL,2023,aeden|finateri
MIA_RED,2023,martin|sosna
GIT_YEL,2023,busse|terry
CAL_FUL,2023,stultz|tyler
STA_CAR,2023,mathews|quinn
CAL_FUL,2023,chester|fynn
STA_CAR,2023,brandt|pancer
STA_CAR,2023,max|meier
STA_CAR,2023,lopez|nicolas
STA_CAR,2023,moore|trevor
HIG_PAN,2023,garcia|samuel
BRY_BUL,2023,coleman|picard
HIG_PAN,2023,libby|patrick
BRY_BUL,2023,chase|jeter
HIG_PAN,2023,duffy|sean
BRY_BUL,2023,austin|wainer
HIG_PAN,2023,everett|vaughan
SOU_GOL,2023,hall|tanner
LIB_FLA,2023,garrett|horn
SOU_GOL,2023,martin|tyler
LIB_FLA,2023,cole|hertzler
SOU_GOL,2023,justin|storm
SAC_HOR,2023,noah|takacs
NOR_BIS,2023,cade|feeney
SAC_HOR,2023,max|pettey
NOR_BIS,2023,nelson|wyatt
SAC_HOR,2023,gagnon|zach
SAC_HOR,2023,goodrich|trey
LOU_CAR,2023,hawks|ryan
BUC_BIS,2023,greer|will
BUC_BIS,2023,ben|magovern
LOU_CAR,2023,evan|webster
BUC_BIS,2023,nikhil|patel
LOU_CAR,2023,alex|galvan
ORA_GOL,2023,hall|jakob
NIU_HUS,2023,dominic|hann
NIU_HUS,2023,draeger|jacob
ORA_GOL,2023,caleb|isaacs
NIU_HUS,2023,jake|kohanzo
ORA_GOL,2023,allman|price
ASU_RED,2023,jeans|tyler
ARK_LIO,2023,little|randy
ARK_LIO,2023,brett|kennett
ASU_RED,2023,finan|michael
ARK_LIO,2023,niemann|peyton
ASU_RED,2023,armstrong|chase
KEN_OWL,2023,nick|zegna
NEW_PRI,2023,leblanc|tyler
KEN_OWL,2023,brayden|eidson
NEW_PRI,2023,colton|mercer
KEN_OWL,2023,connor|housley
KEN_OWL,2023,nolan|silver
KEN_OWL,2023,franks|tyler
NEW_PRI,2023,cabrera|jose
NEW_PRI,2023,caleb|seroski
NEW_PRI,2023,beau|blanchard
CLE_TIG,2023,ammons|ryan
BIN_BEA,2023,babalis|thomas
BIN_BEA,2023,eskildsen|kyle
CLE_TIG,2023,hoffmann|nick
