PitcherTeam,N
LSU_TIG,25692
NOR_TAR,25473
ARI_WIL,25291
DUK_BLU,25093
CLE_TIG,25035
LOU_CAR,24885
BAY_BEA,24692
TEX_AGG,24424
ARK_RAZ,24239
TEX_LON,24174
GIT_YEL,24174
ALA_CRI,24014
VAN_COM,23868
SOU_GAM,23868
WES_MOU,23783
TCU_HFG,23634
STA_CAR,23530
OKL_SOO,23500
GEO_BUL,23313
TEN_VOL,23263
NOR_WOL,23126
OLE_REB,23122
TEX_RAI,23121
COA_CHA,23064
KEN_WIL,22849
MSU_BDG,22811
VIR_TEC,22667
FLO_SEM,22608
AUB_TIG,22407
LOU_CAJ,22405
OKL_COW,22323
UCLA,22207
LIB_FLA,22191
KAN_WIL,22127
ORE_DUC,21997
NEB,21987
GEO_EAG,21982
GEO_PAN,21945
TUL_GRE,21778
SOU_GOL,21649
HIG_PAN,21633
SAL_JAG,21607
TRO_TRJ,21606
DAL_PAT,21579
MER_BEA,21534
MIZ_TIG,21521
JMU_DUK,21480
PEN_NIT,21458
ECU_PIR,21424
OSU_BUC,21314
IOW_HAW,21155
MIC_WOL,20978
CIN_BEA,20930
RIC_OWL,20914
BYU_COU,20910
UNC_SEA,20898
CHA_FOR,20841
ASU_RED,20833
MIA_HUR,20809
BEL_BRU,20771
CAM_CAM,20757
VIR_CAV,20701
WM_TRI,20529
NOT_IRI,20500
ORE_BEA,20430
HOU_COU,20425
CIT_BUL,20383
KAN_JAY,20379
WES_HIL,20178
ULM_WAR,20079
LOY_LIO,19980
VCU_RAM,19914
EKU_COL,19833
RIC_SPI,19790
APP_MOU,19732
SAN_TOR,19721
SOU_TRO,19529
CAL_FUL,19508
LIP_BIS,19451
CAL_MUS,19398
IU,19373
BOC_EAG,19331
SAN_GAU,19121
EVA_ACE,19112
MIC_SPA,18914
ILL_ILL,18879
WAK_DEA,18868
SAC_HOR,18859
DIX_STE,18855
PEP_WAV,18649
PUR_BOI,18552
NEV_WOL,18536
AUS_GOV,18357
ABI_WIL,18320
MIS_BEA,18274
ORA_GOL,18255
LON_LAN,18028
WAS_HUS,18001
SEA_RED,17968
COL_LION,17786
STJ_RED,17771
RUT_SCA,17719
NOR_CAT,17718
LON_DIR,17573
LOU_BUL,17318
MT,17132
FLO_PAN,17046
XAV_MUS,16913
WCC,16912
DAY_FLY,16863
UNC_SPA,16850
MTSU_BLU,16719
ARL_MAV,16691
PRE_BLH,16271
STE_HAT,16264
USC_UPS,16225
GEO_COL,16172
SAM_BUL,16163
ARM_BLA,16080
COL_CHA,16046
MAR_TER,16032
KEN_OWL,16029
FLA_GAT,15883
WIC_SHO,15831
CAL_MAT,15575
VIL_WIL,15558
RAD_HIG,15471
GON_BUL,15442
ILL_RED,15404
UNL_REB,15366
CAL_BEA,15334
PRI_TIG,15333
STM_GAE,15239
ELO_PHO,15209
CRE_BLU,15170
CHA_BUC,15092
OLD_MON,15068
CSU_BAK,15044
NEW_PRI,14959
BUC_BIS,14709
UCF_KNI,14653
JAC_GAM,14571
MIN_GOL,14537
UAB_BLA,14504
LAF_LEP,14503
LEH_MOU,14454
FRE_BUL,14449
USF_BUL,14400
MCN_COW,14370
VAL_CRU,14347
AIR_FOR,14314
RHO_RAM,14280
SOU_IND16,14268
SAN_BRO,14244
BRA_BRA,14231
NMS_AGG,14134
FOR_RAM,13885
DAV_WIL,13789
GEO_PAT,13724
UTA_UTE,13711
SET_PIR,13627
MEX_LOB,13593
DEL_BLU,13374
TOW_TIG,13167
MAR_THU,13130
ARI_SUN,13112
PEN_QUA,13110
CAL_LAN,13073
UCO_HUS,13026
WAS_COU,12796
TEX_BOB,12738
CEN_MIC,12632
SAN_DON,12556
BUT_BUL,12480
SOU_COU,12444
VIR_KEY,12284
IND_SYC,12275
WRI_RAI,12239
BRO_BEA,12222
UTA_WOL,12082
HAR_CRI,12037
MOR_EAG,12028
UIC_FLA,11968
HOF_PRI,11893
UNO_MAV,11886
FGCU,11645
WIN_EAG,11591
NIU_HUS,11459
YAL_BUL,11244
PIT_PAN,11155
AKR_ZIP,11109
WOF_TER,11001
OAK_GOL,10959
ETS_BUC,10738
MIA_RED,10600
UTS_ROA,10327
MON_HAW,10293
SAN_AZT,9864
LAM_CAR,9776
BIN_BEA,9734
NIC_COL,9665
SOU_LIO,9596
BRY_BUL,9524
NOR_BIS,9388
COR_BRE,9317
SOU_RED,9286
SAN_SPA,9178
PAC_TIG,9141
MSM_MTN,8922
CSD_TRI,8873
BEL_KNI,8727
GAR_RUN,8695
SOU_JAC,8658
NAV_MID,8654
CAL_AGO,8555
NCB,8503
TOL_ROC,8433
UMBC_RET,8394
POR_PIL,8359
SAM_BEA,8332
HOL_CRU,8160
GEO_HOY,7928
CAL_ANT,7864
NCA_BUL,7796
QUN_RYL,7679
GRA_CAN,7665
THO_M,7617
STB_BON,7586
YSU_PEN,7561
LON_ISL22,7555
EMU_EAG,7436
NOR_AGG,7418
WIU_LEA,7135
UMASS_RIV,7133
NOK_NOR,7014
FAU_OWL,6901
TAR_TEX,6896
SBU_SEA,6823
ALA_HOR,6808
STJ_HAW,6743
UMA_AMH,6736
BAL_CAR,6710
MAR_RED,6691
UWM_PAN,6650
NJI_HIG,6608
WMI_BRO,6584
HBU_HUS,6545
RID_BRO,6448
NOR_HUS,6395
EIU_PAN,6346
MUR_RAC,6269
JUD,6119
SLU_BILL,6063
BGS_FAL,6054
QUI_BOB,5920
ALA_LIO,5840
CAL_HIG,5791
DAR_GRE,5649
UTR_VAQ,5434
FAI_STA,5369
UTM_SKY,5366
STE_LUM,5280
TEN_TEC,5154
ALB_GRE,5049
NOR_DEM,4983
LIT_TRO,4977
MAI_BLA,4948
LIN_UNI,4840
OHI_BOB,4806
MAN_JAS,4686
CEN_BEA,4365
KS_GF,4356
IWC,4305
SIE_SAI,4295
ION_GAE,4273
SIU_SAL,4257
TEX_ISL,4162
CAN_GRI,4122
FOR_MAS,4070
HAW_WAR,3997
NOF_OSP,3926
TEX_TIG,3770
COP_STA,3690
STO_COL,3633
NIA_EAG,3598
SAC_PIO,3490
PRA_PAN,3436
WAG_SEA,3428
ARK_LIO,3349
ALA_ANM,3138
FDU_KNI,3125
GRA_TIG,3082
SOU_JAG,3068
PUR_FOR,2916
SPU_PEA,2878
DEL_HOR,2797
FLO_RAT,2712
BET_WIL,2674
MER_COL1,2648
NOR_SPA,2387
MAR_HAW,2384
JAC_TIG,2042
ALC_BRA,1645
MOY_MOY,1625
SEA_UNI,1457
MIS_DEL,1424
MER_UNI,1318
UNI_WES,1281
PIT_UNI,1156
CCU_BLD,1132
EMB_(AZ,612
UNI_BRI,542
ALV_CCO,537
LOR_DUH,533
BUS_BEA,525
CLE_UNI,513
ALB_LIO,422
GVU_VIK,421
SMU_SAI,368
CAI_UNI,367
HAR_HAW,349
WES_UNI,314
NOR_PAR,310
XAV_LOU,290
WOU_WOL,260
NOR_UNI,222
ROC_UNI,205
