pitcher,name,ht_in
695243,Mason Miller,77
676879,Aaron Ashby,72
687396,Brent Headrick,78
518585,Fernando Cruz,74
605483,Blake Snell,76
642397,Gregory Soto,73
623352,Josh Hader,75
656730,Trevor Megill,80
673540,Kodai Senga,73
607192,Tyler Glasnow,80
472610,Luis García,74
663855,Jordan Hicks,74
669093,Jeremiah Estrada,73
683000,Riley Cornelio,75
600917,José Leclerc,72
669062,Erik Miller,77
667755,José Soriano,75
671305,Michel Otañez,76
592094,Jason Adam,75
682842,Abner Uribe,75
683175,Connor Phillips,74
675911,Spencer Strider,72
664776,Jake Cousins,76
688158,David Morgan,72
663432,Tanner Rainey,75
642547,Freddy Peralta,72
607259,Nick Martinez,73
691587,Eury Pérez,80
662253,Andrés Muñoz,74
678061,Ray Kerr,75
678692,Ronny Henriquez,70
594580,Sam Moll,69
690925,Clayton Beeter,74
670950,Trevor Richards,74
656731,Tylor Megill,79
815083,Mitch Farris,74
670280,David Bednar,73
676282,Joey Cantillo,76
664875,Justin Lawrence,75
606149,Giovanny Gallegos,74
689296,Anthony Nunez,74
660853,Enyel De Los Santos,75
571510,Matthew Boyd,75
686993,Justin Sterner,73
605130,Scott Barlow,75
670990,Yohan Ramírez,75
676617,Riley O'Brien,76
681343,Shane Smith,75
668968,Hans Crouse,76
572020,James Paxton,76
683232,Nick Mears,75
682120,Tim Herrin,78
622259,Trey Wingenter,79
622554,Seranthony Domínguez,73
595014,Blake Treinen,77
663893,Brendon Little,74
608678,Dominic Leone,70
682274,Yaramil Hiraldo,73
681911,Alex Vesia,73
607455,Anthony Banda,74
668964,Tobias Myers,73
681870,Erik Sabrowski,76
801139,Payton Tolle,78
642629,Emmanuel Ramirez,74
680704,Nick Sandlin,71
669199,Lake Bachar,74
642100,Gabe Speier,71
805299,Brandyn Garcia,76
675627,Michael Grove,75
663947,Tyler Holton,74
656546,Jeff Hoffman,77
605177,Andrew Chafin,74
686218,Emmet Sheehan,77
592662,Robbie Ray,74
664849,Danny Young,75
679525,Alec Marsh,74
571578,Patrick Corbin,76
694037,Daniel Palencia,71
656550,Grant Holmes,72
680686,Josiah Gray,73
543243,Sonny Gray,70
592773,Ryne Stanek,76
547973,Aroldis Chapman,76
660271,Shohei Ohtani,76
656302,Dylan Cease,74
650633,Michael King,75
605242,Michael Fulmer,74
688642,Zach Agnos,72
694973,Paul Skenes,78
665795,Edward Cabrera,77
694350,Zach Brzykcy,74
677958,Kumar Rocker,77
669111,John McMillon,75
542881,Tyler Anderson,74
671737,Taj Bradley,74
668390,Cole Winn,74
683769,Hunter Gaddis,78
677955,Jaden Hill,76
642585,Félix Bautista,80
663558,Jovani Morán,73
667297,Tommy Nance,78
656464,Kevin Ginkel,76
666200,Jesús Luzardo,72
666204,Dany Jiménez,73
554430,Zack Wheeler,76
668909,Gavin Williams,78
663969,Tyler Phillips,77
650893,Génesis Cabrera,74
669796,Jose E. Hernandez,75
656234,Jake Bird,75
571656,Buck Farmer,76
650556,Bryan Abreu,73
640462,A.J. Puk,79
674384,Eduarniel Núñez,74
656986,Bennett Sousa,75
647336,Michael Soroka,77
664854,Ryan Helsley,74
670102,Bowden Francis,77
683004,Jack Leiter,73
657585,Reed Garrett,74
663986,Trevor Stephan,77
695505,Chase Burns,75
675848,Juan Mejia,75
806188,Cade Gibson,74
680694,Kyle Bradish,75
477132,Clayton Kershaw,76
805123,AJ Blubaugh,74
681857,Reese Olson,73
702056,Trey Yesavage,76
518886,Craig Kimbrel,72
657746,Joe Ryan,74
806185,Hayden Birdsong,77
672860,Prelander Berroa,71
682990,Quinn Priester,75
676962,Ben Brown,78
668881,Hunter Greene,77
663436,Davis Martin,74
663455,Konnor Pilkington,75
664076,Garrett Cleavinger,73
666157,Nick Lodolo,78
643410,Mark Leiter Jr.,72
641941,Emilio Pagán,74
686294,Amos Willingham,76
669373,Tarik Skubal,75
656638,Alex Lange,75
664141,JT Brubaker,76
677976,Randy Dobnak,73
680730,Mitchell Parker,76
641927,Bailey Ober,81
683409,Angel Chivilli,74
669302,Logan Gilbert,78
687863,Porter Hodge,76
673380,Dedniel Núñez,74
693433,Bryan Woo,74
676477,Garrett Whitlock,77
519043,Matt Moore,75
612434,Miguel Castro,79
519242,Chris Sale,78
641755,Tyler Kinley,76
687064,Brandon Young,78
661395,Jhoan Duran,77
806960,Luis Morales,75
679775,Kyle Backhus,76
683627,Anthony Molina,73
665622,Luis Medina,73
642232,Ryan Yarbrough,77
686790,Trevor McDonald,72
676714,Brandon Hughes,74
663556,Shane McClanahan,75
673929,Jordan Leasure,75
669276,Dylan Lee,75
640455,Sean Manaea,77
676428,Brant Hurter,78
669203,Corbin Burnes,75
687223,Carson Palmquist,75
608665,Kendall Graveman,74
641656,Ian Hamilton,73
657240,Julian Merryweather,76
691799,Grant Taylor,75
671131,Jackson Rutledge,80
663372,Ryan Feltner,76
696147,Sam Bachman,73
673513,Yuki Matsui,68
677960,Ryan Weathers,73
679885,Justin Martinez,75
694819,Jacob Misiorowski,79
593334,Domingo Germán,74
678020,Seth Halvorsen,74
656412,Alex Faedo,78
693312,Kyle Nicolas,75
641729,Joe Jiménez,75
668674,Lucas Erceg,74
628452,Raisel Iglesias,74
800311,Didier Fuentes,72
663776,Patrick Sandoval,75
829272,Shinnosuke Ogasawara,71
543135,Nathan Eovaldi,74
664126,Pete Fairbanks,78
813349,Connelly Early,75
676742,Cam Sanders,74
668941,JoJo Romero,71
521230,Liam Hendriks,72
663574,Tony Santillan,75
702674,Caden Dana,76
702273,Noah Schultz,82
571882,Derek Law,75
687931,Carson Whisenhunt,75
643377,Griffin Jax,74
625643,Reynaldo López,73
502043,Kyle Gibson,78
671922,Cade Smith,77
641745,Brad Keller,77
681293,Spencer Arrighetti,74
684049,Brandan Bidois,74
682825,Luis Mey,77
685801,Hunter Bigge,72
666201,Alek Manoah,78
666142,Cole Ragans,76
573009,Joe Mantiply,76
592848,Zack Weiss,75
690990,Cade Horton,73
665896,José Marte,75
676571,PJ Poulin,73
669022,MacKenzie Gore,74
677961,Cole Wilcox,77
700187,Troy Taylor,72
650911,Cristopher Sánchez,78
608718,Brent Suter,76
690997,Nolan McLean,74
642216,Allan Winans,74
605280,Clay Holmes,77
665660,Elvis Alvarado,78
686753,Drey Jameson,72
808963,Roki Sasaki,74
820862,José Fermin,75
572403,Drew VerHagen,78
681217,Chase Silseth,72
676917,Cade Cavalli,76
676105,Jeff Criswell,76
656529,Sam Hentges,80
605447,Jordan Romano,77
572955,Pierce Johnson,74
666808,Camilo Doval,74
663546,Sean Hjelle,83
656061,Albert Abreu,74
680742,Jonathan Bowlan,78
642701,Dennis Santana,74
670059,Colin Holderman,78
669467,Andre Pallante,72
453286,Max Scherzer,75
668933,Graham Ashcraft,74
605135,Chris Bassitt,77
663738,Daniel Lynch IV,78
683618,Edgardo Henriquez,76
656756,Jordan Montgomery,78
682610,Roddery Muñoz,74
669920,Jason Alexander,74
605488,Jeffrey Springs,75
805673,Zebby Matthews,77
665625,Elvis Peguero,76
681895,Evan Sisk,74
681982,Grant Anderson,72
608337,Lucas Giolito,78
656427,Jack Flaherty,76
605121,Justin Anderson,75
663623,Jake Irvin,78
607481,Aaron Bummer,75
543518,Scott McGough,71
681006,Josh Simpson,74
700270,Yilber Díaz,72
547179,Michael Lorenzen,73
658648,Pedro Avila,71
669854,Ronel Blanco,75
663671,Nic Enright,75
593576,Héctor Neris,74
622491,Luis Castillo,74
682254,Mason Montgomery,74
676979,Garrett Crochet,78
682171,Penn Murfee,74
656849,David Peterson,78
684007,Shota Imanaga,70
666711,Joel Peguero,70
687830,Sawyer Gipson-Long,76
606965,Chris Devenski,75
677944,Slade Cecconi,76
672391,Kaleb Ort,76
686610,Ken Waldichuk,76
657044,Ryan Thompson,77
624133,Ranger Suarez,73
621112,Paul Blackburn,73
450203,Charlie Morton,77
669432,Trevor Rogers,77
657376,Clarke Schmidt,73
689818,David Sandlin,76
518876,Merrill Kelly,74
605347,Jorge López,75
666277,George Soriano,74
592767,Drew Smyly,74
663903,Brady Singer,77
642207,Devin Williams,74
664294,Dauri Moreta,74
669713,Hayden Wesneski,75
702070,Noah Cameron,75
663158,Robert Suarez,74
694462,Hurston Waldrep,74
681676,Ryan Fernandez,72
594798,Jacob deGrom,76
656641,Jacob Latz,74
701643,Grant Hartwig,77
665152,Dean Kremer,74
666374,Matt Brash,73
607074,Carlos Rodón,74
663568,Stephen Kolek,75
669308,Sean Reynolds,80
657097,Jacob Webb,74
670124,Adam Oller,76
695380,Alex Hoppe,73
681882,Colin Selby,74
689254,Mason Fluharty,74
671096,Andrew Abbott,72
519141,Drew Pomeranz,77
623474,Jimmy Herget,75
607067,Colin Rea,77
621242,Edwin Díaz,75
669212,Eli Morgan,70
621244,José Berríos,72
669461,Matthew Liberatore,76
678906,Kai-Wei Teng,76
656492,Foster Griffin,75
676254,Ryan Walker,74
701542,Will Warren,74
592332,Kevin Gausman,74
605200,Zach Davies,72
680885,Spencer Schwellenbach,73
594902,Ben Lively,76
592866,Trevor Williams,75
670912,Johan Oviedo,78
663423,Trent Thornton,72
676130,José Buttó,72
506433,Yu Darvish,77
607536,Kyle Freeland,76
670329,Rico Garcia,69
686580,Justin Slaten,76
608379,Michael Wacha,78
676265,Cory Abbott,74
693313,Carson Seymour,77
543101,Anthony DeSclafani,74
669456,Shane Bieber,75
518489,Ryan Brasier,72
608566,Germán Márquez,73
693645,Cam Schlittler,78
686613,Hunter Brown,74
671936,Adam Macko,72
601713,Nick Pivetta,77
605397,Joe Musgrove,77
666214,Joey Wentz,77
678606,José A. Ferrer,73
696062,Wilber Dotel,75
680802,Ryan Weiss,76
677952,Braxton Ashcraft,77
500779,Jose Quintana,74
700712,Walbert Ureña,72
668678,Zac Gallen,74
502085,David Robertson,71
621139,Brooks Kriske,75
676106,Emerson Hancock,76
605452,Joe Ross,76
667463,John King,74
686642,Fraser Ellard,75
687765,Mitch Spence,73
686826,Bryce Jarvis,74
694851,Andrew Hoffmann,77
695534,Chase Petty,73
663474,Triston McKenzie,77
657649,Jared Koenig,77
542585,José Cisnero,75
669424,Jimmy Lambert,74
680897,Nick Nastrini,75
690953,Mick Abel,77
608371,Lucas Sims,74
678226,Daysbel Hernández,70
621366,Ryan Borucki,76
623211,Huascar Brazobán,75
657053,Touki Toussaint,75
688107,Robert Gasser,72
571946,Shelby Miller,75
605540,Brandon Woodruff,76
695549,Jackson Jobe,74
621107,Zach Eflin,78
656271,Brock Burke,76
670062,Julian Garcia,75
596133,Luke Weaver,74
623465,Evan Phillips,74
684320,Yariel Rodríguez,72
681190,Randy Vásquez,72
641154,Pablo López,76
656945,Tanner Scott,72
622253,Dillon Tate,74
628708,Yunior Marte,74
664062,Tony Gonsolin,75
687075,Brandon Sproat,75
519293,Will Smith,77
665871,Javier Assad,73
669371,Cole Henry,76
678022,Jack Perkins,73
664192,Joey Lucchesi,77
669622,Anthony Bender,76
656924,Ryder Ryan,74
595345,Steven Okert,74
668873,Caleb Kilian,76
641743,Anthony Kay,72
672578,Carlos Hernández,76
621121,Lance McCullers Jr.,73
669674,Sam Long,73
686973,Louis Varland,73
678495,Randy Rodríguez,72
660604,Alan Rangel,74
608723,Austin Voth,74
675660,Shane Drohan,74
667725,Kyle Tyler,72
694297,Brandon Pfaadt,76
682243,Bryce Miller,74
689017,Landon Knack,74
686839,Brendan White,71
676710,Kutter Crawford,73
685314,Andrew Saalfrank,75
656557,Tanner Houck,77
666171,Ryan Zeferjahn,77
666129,Braxton Garrett,74
685326,McCade Brown,78
664208,Phil Maton,74
674841,Andrew Alvarez,75
663878,Nate Pearson,78
691725,Andrew Painter,79
683742,Jose Franco,74
672282,Reid Detmers,74
623149,Paul Sewald,75
573124,Taylor Rogers,75
681347,Mike Burrows,73
679156,Walter Pennington,74
573204,Caleb Thielbar,72
598286,Nick Ramirez,76
687888,Brandon Walter,74
518397,Scott Alexander,74
622088,Tejay Antone,76
664285,Framber Valdez,71
669372,J.T. Ginn,74
519151,Ryan Pressly,74
605155,Colten Brewer,76
672456,Keider Montero,73
642546,Jonathan Hernández,75
543766,Bryan Shaw,73
672782,Yoendrys Gómez,75
801403,Chase Dollander,74
608331,Max Fried,76
593974,Wandy Peralta,72
592155,Cam Booser,75
519326,Hunter Strickland,75
