"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Burnes, Corbin","669203","2659","2495","2626","2803","2045","2761",,,"2753",
"Cole, Gerrit","543037","2428","2307","2485","2569","1616","2779",,,,
"Alcantara, Sandy","645261","2200","2293","2354","2334","2056",,,,,
"Mikolas, Miles","571945","2291","2233",,"2381","1570","2547",,,,
"Wainwright, Adam","425794","2235","2200","2411","2682","1764","2768",,,,
"Cease, Dylan","656302","2507","2493",,"2833","1720","2697",,,,
"Pivetta, Nick","601713","2310",,"2294","2476","2329","2710","1152",,,
"Kelly, Merrill","518876","2361","2206","2332","2416","2158","2550",,,,
"Ray, Robbie","592662","2284","2188",,"2190","1759","2106",,,,
"Nola, Aaron","605400","2310","2193","2212",,"1482","2589",,,,
"Valdez, Framber","664285","2201","2202",,"2669","1637","2849",,,,
"Gilbert, Logan","669302","2136","1979",,"2289","1752","2117",,,,
"Webb, Logan","657277","2060","1878",,,"1492",,,,"2628",
"Lyles, Jordan","543475","2206","2087","2433",,"1464","2433",,,"2638",
"Rodón, Carlos","607074","2352","1689",,"2447","1757","2454",,,,
"Pérez, Martín","527048","2068","1997","2214","2398","1661","2515",,,,
"Darvish, Yu","506433","2419","2264","2577","2778",,"2704","1302",,"2726",
"Manoah, Alek","666201","2369","2192",,"2216","1980",,,,,
"Gallen, Zac","668678","2420","2216","2425","2503","1539","2515",,,,
"Quantrill, Cal","615698","2192","2087","2238",,"1532","2447",,,,
"López, Pablo","641154","2197","1996","2229",,"1965","2495",,,"2264",
"Morton, Charlie","450203","2375","2187","2551",,"2154","3068",,,,
"Bassitt, Chris","605135","2192","2117","2262","2345","1824","2330",,,"2318",
"Bieber, Shane","669456","2206",,"2497","2515","1557","2197",,,,
"Freeland, Kyle","607536","2392","2355","2376",,"1477","2446",,,,
"Márquez, Germán","608566","2139","2109",,"2390","1595","2577",,,,
"Gonzales, Marco","594835","2003","1955","2030",,"2114","2114",,,,
"Musgrove, Joe","605397","2560","2432","2581","2714","1972","2723",,,,
"Fried, Max","608331","2143","2034",,"2392","1413","2748",,,"2646",
"McKenzie, Triston","663474","2312",,,"2197",,"2198",,,,
"Taillon, Jameson","592791","2373","2290","2535","2555","1844","2734",,,"2608",
"Gausman, Kevin","592332","2265",,,"2206","1497",,"1569",,,
"Giolito, Lucas","608337","2172","2144",,"1959","1448","2348",,,,
"Gibson, Kyle","502043","2279","2133","2360","2520","1622","2467",,,"2459",
"Quintana, Jose","500779","2078","2070",,,"1319","2263",,,,"2255"
"Berríos, José","621244","2241","2112",,,"1522",,,,,"2285"
"Montgomery, Jordan","656756","2310","2210","2387",,"1679","2263",,,,
