group,type,model,r,p,np,sig
breaking,Sliders,M0,0.343,2.4e-08,251,TRUE
breaking,Sliders,M1,0.357,5.8e-09,251,TRUE
breaking,Sliders,M2,-0.102,0.11,251,FALSE
breaking,Sliders,M3,-0.091,0.15,251,FALSE
breaking,Sliders,M4,-0.103,0.1,251,FALSE
breaking,Sweepers,M0,0.402,1.4e-06,135,TRUE
breaking,Sweepers,M1,0.425,2.8e-07,135,TRUE
breaking,Sweepers,M2,-0.023,0.79,135,FALSE
breaking,Sweepers,M3,-0.019,0.83,135,FALSE
breaking,Sweepers,M4,-0.02,0.81,135,FALSE
breaking,Curveballs,M0,-0.15,0.12,107,FALSE
breaking,Curveballs,M1,-0.137,0.16,107,FALSE
breaking,Curveballs,M2,-0.044,0.66,107,FALSE
breaking,Curveballs,M3,-0.023,0.81,107,FALSE
breaking,Curveballs,M4,-0.036,0.71,107,FALSE
offspeed,Changeups,M0,0.123,0.093,187,FALSE
offspeed,Changeups,M1,0.1,0.17,187,FALSE
offspeed,Changeups,M2,0.123,0.093,187,FALSE
offspeed,Changeups,M3,0.119,0.11,187,FALSE
offspeed,Changeups,M4,0.086,0.24,187,FALSE
offspeed,Splitters,M0,0.296,0.027,56,TRUE
offspeed,Splitters,M1,0.283,0.034,56,TRUE
offspeed,Splitters,M2,0.049,0.72,56,FALSE
offspeed,Splitters,M3,0.026,0.85,56,FALSE
offspeed,Splitters,M4,0.012,0.93,56,FALSE
