type,resid,np,r,lo,hi,p,mean_gap
SL,1. Shape only,154,0.0492882196867017,-0.114386876775201,0.210358202509157,0.543826690537528,111.22241346247
SL,2. Shape + post-hoc location fit (what Fig 11 published),154,0.26200908515899,0.10367261178274,0.40739369520039,0.00102893118283193,111.22241346247
SL,3. Location & handedness inside the model,154,-0.0612714293928715,-0.221816868403407,0.10250830464161,0.450325095216066,111.22241346247
ST,1. Shape only,103,0.102282212362167,-0.0988295382883586,0.295366437059542,0.303911407822503,154.314916382637
ST,2. Shape + post-hoc location fit (what Fig 11 published),103,0.223784211219962,0.0258361931316128,0.404845381097433,0.0230657425252191,154.314916382637
ST,3. Location & handedness inside the model,103,0.0206255765935949,-0.179209509580961,0.218826115584653,0.836170698379454,154.314916382637
CU+KC,1. Shape only,99,0.0579715522572665,-0.146849409292561,0.258025692614252,0.568702305851547,167.430970787095
CU+KC,2. Shape + post-hoc location fit (what Fig 11 published),99,-0.0771923314780458,-0.275958116876421,0.12790487323292,0.447593171393119,167.430970787095
CU+KC,3. Location & handedness inside the model,99,0.0599381570810142,-0.144917944736045,0.259866829437553,0.555637749148782,167.430970787095
CH,1. Shape only,106,-0.07711917777162,-0.269297736213234,0.1209660131084,0.432015486690788,23.3217972870975
CH,2. Shape + post-hoc location fit (what Fig 11 published),106,-0.0474242386074514,-0.241431556578069,0.150228341940771,0.629276881631651,23.3217972870975
CH,3. Location & handedness inside the model,106,-0.109786633750661,-0.299586092927001,0.0883718078641718,0.262581358519675,23.3217972870975
FS,1. Shape only,46,0.0849213691026827,-0.219001535031637,0.373823099166973,0.574709509197385,24.3738294766992
FS,2. Shape + post-hoc location fit (what Fig 11 published),46,0.158556891766883,-0.146759983818237,0.436290122520861,0.292585896416335,24.3738294766992
FS,3. Location & handedness inside the model,46,0.191242676534073,-0.113614125354006,0.463186213195221,0.202959851992584,24.3738294766992
