pitcher,season,player_name,nsw,axis,arm,velo_sep,w_res,w_res_noarm,np,whiff,swing,velo,spin,rv100,as_ch,as_fb,name,as_gap,exp_whiff
670329,2026,"Garcia, Rico",104,16.7594570383687,46.0480769230769,8.80267188563648,15.6011674970389,18.1384103434284,191,47.1153846153846,54.4502617801047,86.4748691099477,2368.01047120419,1.67277486910995,0.977,0.988,Rico Garcia,-0.011,31.5142171183458
605488,2021,"Springs, Jeffrey",64,15.2158027286278,50.071875,9.48186011904762,11.2585472544307,13.5194075979177,209,48.2352941176471,40.6698564593302,83.9799043062201,1475.85167464115,1.49282296650718,0.988,0.987,Jeffrey Springs,0.001,36.9767468632164
656302,2026,"Cease, Dylan",84,4.76045044767499,59.6619047619048,15.0252857142857,11.0246397974864,13.67649087348,226,53.5714285714286,37.1681415929204,82.7995575221239,1767.7610619469,0.820796460176991,0.915,0.911,Dylan Cease,0.004,42.5467887739422
681347,2025,"Burrows, Mike",218,27.6942365933073,48.5238532110092,8.12873449358408,10.9985872356499,11.5700094636511,365,43.1192660550459,59.7260273972603,87.3076712328767,1510.24931506849,2.43506849315069,0.974,0.925,Mike Burrows,0.049,32.120678819396
671096,2023,"Abbott, Andrew",137,9.78870981999901,44.9642335766423,6.23514077163712,10.7354452162086,11.0583261314833,310,39.4160583941606,44.1935483870968,86.6374193548387,2065.96451612903,1.16483870967742,0.929,0.944,Andrew Abbott,-0.015,28.680613177952
669373,2021,"Skubal, Tarik",112,3.72536910378354,60.0053571428571,11.9623397435898,10.345346777146,12.7675325961785,305,49.1228070175439,37.3770491803279,82.1177049180328,1441.03278688525,0.134098360655738,0.978,0.945,Tarik Skubal,0.033,38.7774602403979
668676,2020,"Plesac, Zach",86,19.9926896404648,45.7023255813954,6.87602922690132,9.24905669441934,9.01440859129507,191,34.6534653465347,52.8795811518325,86.0141361256545,1630.25654450262,3.29162303664921,0.991,0.984,Zach Plesac,0.007,25.4044086521153
656288,2021,"Canning, Griffin",132,24.1292406010953,45.9022727272727,4.44111807732497,8.99478300549494,10.3161973519252,230,34.8148148148148,58.6956521739131,89.1086956521739,1869.53097345133,0.873913043478261,0.947,0.984,Griffin Canning,-0.037,25.8200318093199
693855,2025,"Seymour, Ian",173,21.2600307299699,47.0375722543353,7.91823270910451,8.69207020564368,9.00359376558835,314,35.2601156069364,55.0955414012739,83.5566878980892,1713.36624203822,1.18089171974522,0.974,0.94,Ian Seymour,0.034,26.5680454012927
663687,2023,"Harris, Hogan",95,32.5808312916098,44.7705263157895,12.4656781376518,8.31019634562076,8.89214603303378,225,36.8421052631579,42.2222222222222,80.1328888888889,1964.70222222222,0.411111111111111,0.972,0.982,Hogan Harris,-0.01,28.5319089175371
669022,2024,"Gore, MacKenzie",129,25.3146272351288,46.2852713178295,10.1508009089124,8.2958948209126,9.91873080721425,277,51.1627906976744,46.5703971119134,85.8682310469314,2017.6678700361,-1.05703971119134,0.919,0.929,MacKenzie Gore,-0.01,42.8668958767618
663567,2026,"Lambert, Peter",213,18.9277972515847,47.2253521126761,6.96115498385302,8.08459336348783,9.59883726375506,400,36.6197183098592,53.25,87.00875,1570.3725,1.15,0.978,0.955,Peter Lambert,0.023,28.5351249463713
519043,2022,"Moore, Matt",105,29.3392499777359,44.28,8.79250723493818,7.40040258165288,7.2353380955649,201,47.3214285714286,55.7213930348259,85.034328358209,2021.51243781095,2.01791044776119,0.97,0.97,Matt Moore,0,39.9210259897757
668964,2024,"Myers, Tobias",99,20.0383260315634,58.4757575757576,12.0058300898897,6.91674125737184,7.74970546920184,245,44.4444444444444,40.4081632653061,81.1191836734694,1855.85714285714,0.969795918367347,0.987,0.996,Tobias Myers,-0.009,37.5277031870726
676282,2025,"Cantillo, Joey",245,24.3713124837154,52.8632653061225,13.4355690223688,6.70324624983008,6.86924463850422,500,49.3877551020408,49,78.2536,1511.646,0.7636,0.981,0.993,Joey Cantillo,-0.012,42.6845088522107
656641,2026,"Latz, Jacob",71,23.8884720517881,49.7394366197183,8.64626577431493,6.28080123089611,7.83104336017795,135,43.6619718309859,52.5925925925926,85.7274074074074,2042.04444444444,2.86962962962963,0.983,0.99,Jacob Latz,-0.007,37.3811706000898
694813,2023,"Stone, Gavin",111,24.8259576606519,49.3144144144144,8.47105781277966,6.20651468931619,9.36909623052805,187,41.4414414414414,59.3582887700535,85.7577540106952,1532.95721925134,-0.162032085561498,0.991,0.935,Gavin Stone,0.056,35.2349267521253
815083,2026,"Farris, Mitch",83,50.6513048468834,47.2301204819277,12.6802416562803,6.13426976582929,5.73878192652316,182,47.6190476190476,46.1538461538462,78.9648351648352,1688.67032967033,-0.25054945054945,0.993,0.986,Mitch Farris,0.007,41.4847778532183
663776,2023,"Sandoval, Patrick",344,35.7833523765489,51.4587209302326,10.0439582380467,6.07643158715301,8.14793121580357,675,43.1884057971015,51.1111111111111,82.9632592592593,1780.15970149254,0.106962962962963,0.981,0.929,Patrick Sandoval,0.052,37.1119742099484
592761,2021,"Smith, Caleb",157,14.7543750141948,46.9955414012739,9.14785647985148,6.0679151566212,6.96289955750892,304,37.1069182389937,52.3026315789474,82.0980263157895,2001.99013157895,0.193421052631578,0.994,0.988,Caleb Smith,0.006,31.0390030823725
669022,2026,"Gore, MacKenzie",101,28.0333757434846,46.740594059406,8.84710012402515,5.92830278842796,7.95612859725432,228,38.2352941176471,44.7368421052632,86.5723684210526,1970.28634361233,0.533771929824562,0.949,0.921,MacKenzie Gore,0.028,32.3069913292191
650893,2022,"Cabrera, Génesis",64,16.4523093749271,45.2640625,5.85037202380952,5.6967472927257,5.53918311117073,129,40,50.3875968992248,90.1705426356589,1767.75590551181,-1.18449612403101,0.966,0.982,Génesis Cabrera,-0.016,34.3032527072743
