ptype,regime,driver,n_train,n_test,gain,grp
SL,0 strikes,Trajectory tunnel,4071,945,-0.00622796567372542,Breaking
SL,0 strikes,Spin-axis gap,31402,8101,0.555291445964614,Breaking
SL,0 strikes,Spin similarity,31370,8098,-8.50143807793086e-05,Breaking
SL,0 strikes,Active-spin gap,31792,8208,0.333333520841939,Breaking
SL,0 strikes,Velocity gap,31514,8109,0.907245035319283,Breaking
SL,0 strikes,Movement gap,31514,8109,0.448253956250683,Breaking
SL,0 strikes,Location (reference),32080,8340,24.8643148169401,Breaking
SL,1 strike,Trajectory tunnel,14043,3324,1.44403186174931,Breaking
SL,1 strike,Spin-axis gap,38887,9508,0.556174267067041,Breaking
SL,1 strike,Spin similarity,38819,9487,0.000452609227331064,Breaking
SL,1 strike,Active-spin gap,39330,9626,0.187666355853971,Breaking
SL,1 strike,Velocity gap,39021,9517,0.58907480330565,Breaking
SL,1 strike,Movement gap,39021,9517,0.354992021742932,Breaking
SL,1 strike,Location (reference),39717,9795,27.9238464642224,Breaking
SL,2 strikes,Trajectory tunnel,15033,3663,2.51699769393729,Breaking
SL,2 strikes,Spin-axis gap,39432,9758,0.328266593809488,Breaking
SL,2 strikes,Spin similarity,39347,9737,0.000521376514747089,Breaking
SL,2 strikes,Active-spin gap,39823,9837,0.089547218242115,Breaking
SL,2 strikes,Velocity gap,39560,9770,0.147746128762378,Breaking
SL,2 strikes,Movement gap,39560,9770,0.188859914632552,Breaking
SL,2 strikes,Location (reference),40235,9999,29.50707157626,Breaking
SL,All counts,Trajectory tunnel,33147,7932,1.3732231240703,Breaking
SL,All counts,Spin-axis gap,109721,27367,0.380253765027899,Breaking
SL,All counts,Spin similarity,109536,27322,0.000320568048417032,Breaking
SL,All counts,Active-spin gap,110945,27671,0.134503053030421,Breaking
SL,All counts,Velocity gap,110095,27396,0.48399471308737,Breaking
SL,All counts,Movement gap,110095,27396,0.228782367400539,Breaking
SL,All counts,Location (reference),112032,28134,23.445926808833,Breaking
ST,0 strikes,Trajectory tunnel,1050,299,0.685216426198108,Breaking
ST,0 strikes,Spin-axis gap,11609,3529,0.205307475121372,Breaking
ST,0 strikes,Spin similarity,11599,3523,0.00184907130512239,Breaking
ST,0 strikes,Active-spin gap,11752,3575,0.0170541086675621,Breaking
ST,0 strikes,Velocity gap,11644,3538,0.0300471107881759,Breaking
ST,0 strikes,Movement gap,11644,3538,0.00858963048210865,Breaking
ST,0 strikes,Location (reference),11837,3611,29.8649792949361,Breaking
ST,1 strike,Trajectory tunnel,5290,1555,2.70991494582727,Breaking
ST,1 strike,Spin-axis gap,17828,5525,0.22281572926949,Breaking
ST,1 strike,Spin similarity,17805,5511,-0.020587252250922,Breaking
ST,1 strike,Active-spin gap,18029,5578,0.0357745773462194,Breaking
ST,1 strike,Velocity gap,17898,5535,0.0761296286013596,Breaking
ST,1 strike,Movement gap,17898,5535,0.000177117538438753,Breaking
ST,1 strike,Location (reference),18185,5665,32.3243990029515,Breaking
ST,2 strikes,Trajectory tunnel,7430,2185,2.64611297178621,Breaking
ST,2 strikes,Spin-axis gap,22285,6861,0.326877748663705,Breaking
ST,2 strikes,Spin similarity,22225,6831,0.00381992138954685,Breaking
ST,2 strikes,Active-spin gap,22489,6910,-0.0587456814683306,Breaking
ST,2 strikes,Velocity gap,22351,6869,0.152050129391011,Breaking
ST,2 strikes,Movement gap,22351,6869,-0.0483835185277173,Breaking
ST,2 strikes,Location (reference),22743,7052,30.0244946225634,Breaking
ST,All counts,Trajectory tunnel,13770,4039,2.15071042815681,Breaking
ST,All counts,Spin-axis gap,51722,15915,0.218051669368507,Breaking
ST,All counts,Spin similarity,51629,15865,0.000577556685490214,Breaking
ST,All counts,Active-spin gap,52270,16063,0.0172213967384349,Breaking
ST,All counts,Velocity gap,51893,15942,0.055751131193206,Breaking
ST,All counts,Movement gap,51893,15942,-0.00319254499986153,Breaking
ST,All counts,Location (reference),52765,16328,26.4947409026725,Breaking
CU,0 strikes,Trajectory tunnel,1275,331,-6.3882575887248,Breaking
