group,cue,resid,np,r,lo,hi,p
Breaking,Arm Angle,1. Shape only,363,0.0356971004886625,-0.0705254089997532,0.14111910409444,0.497777087491832
Breaking,Arm Angle,2. Shape + post-hoc location fit (what Fig 11 published),363,0.0118615688680983,-0.0942125979581615,0.117669442018602,0.821806798339226
Breaking,Arm Angle,3. Location & handedness inside the model,363,0.00348395953619459,-0.102509641732449,0.109399335542204,0.947258717173101
Breaking,Trajectory,1. Shape only,363,0.0193631080120282,-0.0867706738385224,0.125062286406664,0.713112721577417
Breaking,Trajectory,2. Shape + post-hoc location fit (what Fig 11 published),363,-0.165421971298415,-0.266703116517672,-0.0605270942527694,0.00156335881613464
Breaking,Trajectory,3. Location & handedness inside the model,363,-0.0050200929156228,-0.110916855666543,0.100989384409123,0.924063568144155
Breaking,Spin Axis Match,1. Shape only,363,0.0278571252955984,-0.0783298351260793,0.133419082764274,0.596790433672352
Breaking,Spin Axis Match,2. Shape + post-hoc location fit (what Fig 11 published),363,0.131979522235675,0.0263928391636563,0.234653884798845,0.0118394478087714
Breaking,Spin Axis Match,3. Location & handedness inside the model,363,-0.00723485454776264,-0.113103912258512,0.0987966407264451,0.890739234271879
Offspeed,Arm Angle,1. Shape only,153,0.0511640062723654,-0.113070084434108,0.212676632341975,0.529948014995295
Offspeed,Arm Angle,2. Shape + post-hoc location fit (what Fig 11 published),153,0.00136705399863295,-0.161958541208788,0.164619748609073,0.986619417369407
Offspeed,Arm Angle,3. Location & handedness inside the model,153,-0.0580964443193545,-0.219305437332994,0.106200472214052,0.475645958136434
Offspeed,Trajectory,1. Shape only,153,-0.0985954190288556,-0.257735426029925,0.0657526130792279,0.225315941718773
Offspeed,Trajectory,2. Shape + post-hoc location fit (what Fig 11 published),153,-0.193069572326538,-0.345467721916565,-0.0307495474751804,0.0167981520466547
Offspeed,Trajectory,3. Location & handedness inside the model,153,-0.0841173790090199,-0.244054613707552,0.0802746740950955,0.301241256242209
Offspeed,Spin Axis Match,1. Shape only,153,-0.0483662364467318,-0.209997184507083,0.115838059235875,0.552713635156217
Offspeed,Spin Axis Match,2. Shape + post-hoc location fit (what Fig 11 published),153,0.0121962660662351,-0.151394681627714,0.17513691906363,0.881058217304432
Offspeed,Spin Axis Match,3. Location & handedness inside the model,153,-0.0235012665353223,-0.186076637753169,0.1403266802542,0.773078443926245
