pitcher,season,n_ch,est_ch,true_ch,n_ff,est_ff,true_ff,player_name,name,pass,truly,nsw,axis_gap,arm,velo_sep,resid,gap_band
579328,2024,325,0.900755668142605,0.889,1374,0.945237985865594,0.902,"Kikuchi, Yusei",Yusei Kikuchi,TRUE,TRUE,134,3.83857866373073,44.3932835820896,8.983230137522,-0.798537952554971,0-10
640455,2025,61,0.917034783970169,0.917,663,0.936817302940461,0.969,"Manaea, Sean",Sean Manaea,TRUE,TRUE,29,4.07840222059057,16.1689655172414,7.2681853643314,3.83432488192008,0-10
677960,2023,65,0.921796958230679,0.944,189,0.973479208074663,0.967,"Weathers, Ryan",Ryan Weathers,TRUE,TRUE,135,4.45353918897135,39.4096296296296,8.48896990740741,0.121285153309862,0-10
656302,2026,226,0.99412461582273,0.915,698,0.910284202306894,0.911,"Cease, Dylan",Dylan Cease,TRUE,TRUE,84,4.76045044767499,59.6619047619048,15.0252857142857,11.0246397974864,0-10
519293,2024,98,0.95438690239269,0.921,194,0.929691847441877,0.901,"Smith, Will",Will Smith,TRUE,TRUE,47,5.30221743302148,46.7340425531915,5.6384506273868,0.328554079954286,0-10
592662,2025,399,0.948057065792512,0.943,1593,0.955743357651112,0.958,"Ray, Robbie",Robbie Ray,TRUE,TRUE,176,6.10173867191278,43.5721590909091,8.63937325229699,6.061735979629,0-10
570632,2025,230,0.964548736031125,0.989,94,0.976190580245684,0.988,"Ureña, José",José Ureña,TRUE,TRUE,117,6.42743264167207,29.9350427350427,7.59839061647572,-4.98050734337383,0-10
570632,2024,320,0.964531306130987,0.957,93,0.970259763950864,0.954,"Ureña, José",José Ureña,TRUE,TRUE,159,6.43438979133409,33.0081761006289,7.70265773990667,-1.26360801053176,0-10
579328,2025,376,0.93257030857836,0.915,1081,0.944589752075072,0.912,"Kikuchi, Yusei",Yusei Kikuchi,TRUE,TRUE,183,6.6968935712714,39.1486338797814,9.00067282368583,0.110142365637285,0-10
640455,2026,61,0.929002971175516,0.91,589,0.915827443697819,0.961,"Manaea, Sean",Sean Manaea,TRUE,TRUE,31,6.80153134651957,14.6387096774194,7.20135823429541,-4.24389524214427,0-10
