train,test,n_test,arm,axis,as_fb,as_ch
4.19323492840906,-0.356750864706806,7,30,8,0.91,0.91
6.15284210553508,-1.02952471216392,14,40,12,0.91,0.91
1.66879347060876,2.18064304629784,8,25,8,0.95,0.87
3.02894881126248,-0.988987753822798,9,40,12,0.95,0.85
3.3149163850317,0.900132748203047,13,40,12,0.91,0.91
2.30279182145189,1.21578394619265,8,55,22,0.91,0.85
2.48273878993915,0.806996407468949,9,35,10,0.85,0.93
3.04995808752342,0.41731332879859,19,25,8,0.91,0.85
4.49600362760964,-1.00165961979479,22,40,12,0.85,0.89
3.11434995679232,1.59012731299303,16,35,8,0.85,0.85
4.21724240125296,1.55657589486231,10,35,8,0.85,0.89
4.09597721537081,0.981719205091531,9,35,8,0.91,0.87
5.26198445158191,-1.38802695906813,15,40,12,0.91,0.89
4.03647970169379,0.0842802694146037,5,25,6,0.87,0.85
3.63317145592481,1.56692173033832,14,35,8,0.85,0.87
3.56641096307917,2.33041248621305,7,40,8,0.85,0.85
3.05086261384411,2.33928618900653,9,37.5,8,0.85,0.85
3.1917718988149,1.28745457505824,21,25,8,0.85,0.89
3.08634648980346,-1.16127317747974,7,50,16,0.85,0.85
2.51599254352937,0.632669989740427,17,35,12,0.93,0.89
2.75568147355351,3.2616248319844,6,40,8,0.85,0.85
4.73811812392044,0.134476365432428,15,40,12,0.93,0.85
3.46606182171977,-0.294669026896307,9,55,22,0.85,0.91
2.36215329228791,1.4233201744042,10,40,12,0.93,0.85
4.12503029159767,0.34851739754019,21,40,12,0.89,0.89
4.63315606582578,-0.252330087380582,13,40,12,0.91,0.91
1.96154754081377,2.57028594064299,6,55,20,0.89,0.85
3.01247617931486,-0.276369831759743,11,42.5,12,0.91,0.89
2.59910968886325,1.90658815136985,17,35,8,0.85,0.85
4.12722183995848,1.64659645615679,10,35,8,0.85,0.89
2.84616151343936,1.55407237999625,17,32.5,10,0.85,0.91
4.00335905927414,0.614412558452723,15,25,8,0.85,0.91
4.13039809123997,0.594850982150257,10,30,8,0.85,0.91
3.00827925468904,-2.43908325342826,6,55,24,0.85,0.93
4.3891193332959,-2.51033737859163,9,40,12,0.95,0.85
3.44090440082295,2.33291389529232,10,35,8,0.85,0.89
2.98420857741616,-1.60404449660595,14,35,12,0.89,0.95
2.38756041283335,0.691222642434598,23,35,12,0.93,0.87
4.50924725727602,0.180447035426868,19,25,8,0.89,0.89
3.19370183904767,0.507443199633632,11,40,12,0.91,0.91
3.4793246505136,2.50504023661141,7,40,8,0.85,0.85
3.14875657134638,1.20635772303479,11,35,8,0.91,0.85
3.54499441619149,0.0989872178677485,11,40,12,0.93,0.85
3.34098518285166,0.812134706360428,18,25,8,0.85,0.89
4.11036758234553,-0.739004406460262,12,35,10,0.93,0.87
2.20426681689187,1.83542310044236,19,32.5,8,0.85,0.87
3.3715092340211,1.0680008235146,20,25,8,0.85,0.89
3.29376492360062,4.27467602738885,3,30,6,0.85,0.85
4.14596968529316,-1.80050749850753,13,55,22,0.85,0.85
2.92819037617586,1.07603964413027,17,35,10,0.91,0.87
3.19206112857484,-1.14934389288577,21,52.5,22,0.89,0.85
4.60787358391511,-1.66113222822993,10,40,12,0.93,0.89
2.94300041899563,2.44891065020238,9,37.5,8,0.85,0.85
3.50593866363025,-1.05318622206942,5,42.5,10,0.85,0.85
2.91034580344773,2.50553516579118,8,37.5,8,0.85,0.85
5.01088414157234,-1.01915080929532,12,40,12,0.91,0.91
3.19814773094873,0.00504757397601033,10,25,8,0.85,0.93
3.11794755420525,0.639170473878063,18,32.5,8,0.85,0.85
3.85647439771401,-0.246454255582293,11,40,12,0.91,0.91
3.42022823292932,-0.306807592027589,19,40,12,0.87,0.89
3.8220087711572,1.30044966816642,9,35,8,0.91,0.87
3.44728959918291,1.4784156855695,4,40,10,0.93,0.85
4.16992469365241,-1.20245738767717,18,47.5,16,0.85,0.85
4.71013756494052,0.664123644605307,17,35,8,0.85,0.85
4.08272062020222,0.293875463869864,6,40,10,0.91,0.87
3.21498269626828,1.40266610456275,21,30,8,0.85,0.87
4.07978119659141,0.615449202465003,9,40,10,0.85,0.89
4.37529770042971,0.235613067852372,9,40,10,0.85,0.89
5.25220209762604,-0.696969574065574,9,40,10,0.85,0.89
3.01941769334506,1.52143767085938,16,35,8,0.85,0.85
2.93757084571513,4.03590566499569,6,35,8,0.85,0.91
2.45674719492186,3.45662334131525,9,35,8,0.85,0.89
2.92934451782503,2.92522600067662,7,35,8,0.91,0.89
4.10239424759016,-1.48965003360128,4,42.5,10,0.91,0.85
2.25018204418264,-0.256986094752202,15,47.5,16,0.85,0.87
3.81015966058901,-0.843417789829271,17,40,12,0.91,0.85
2.10371761363325,-2.55355577644487,8,52.5,22,0.85,0.95
4.48154572843995,0.559849588523075,4,40,10,0.91,0.91
3.0633463357154,2.6851958000231,9,35,8,0.85,0.89
5.01612866889254,0.458837896195466,8,40,10,0.85,0.91
2.95581900811225,0.511955868564025,11,25,8,0.85,0.93
2.2177778851143,1.10297956805252,22,32.5,12,0.89,0.91
3.39604655543428,0.269082601528274,11,40,12,0.93,0.85
3.76668796886693,-3.37471919460911,10,52.5,22,0.85,0.93
4.40030473805132,0.643328794479579,17,30,8,0.91,0.87
3.28785914344496,-1.25646439383316,6,55,26,0.85,0.95
2.98432416514759,-0.189624153246842,6,55,22,0.93,0.85
3.98736071429011,0.869178446598614,14,35,10,0.91,0.89
2.67955904808531,1.65567025452243,4,50,16,0.85,0.91
4.46809172909304,-2.66451665362924,4,42.5,10,0.91,0.85
2.54131799940552,1.90650549532053,17,35,8,0.85,0.85
3.79212199023638,0.452442406030698,12,32.5,10,0.91,0.91
3.99227566058445,-0.866425409816673,7,42.5,10,0.85,0.85
4.45013470583605,0.993453905151829,7,40,8,0.85,0.85
3.5712527538072,-1.53551569664279,7,47.5,16,0.91,0.91
2.95990782038721,0.0946417917667602,12,42.5,12,0.91,0.87
3.47647183442549,2.10361095751459,7,35,8,0.91,0.89
3.80764630362596,0.957586730685403,5,40,8,0.85,0.85
4.32233993382794,1.04340838466885,10,35,8,0.91,0.87
4.37304859113974,-0.451306036685931,5,32.5,8,0.91,0.91
5.02366224166114,-0.929910862485387,11,25,8,0.91,0.91
5.15837141557258,0.467106809587871,6,35,8,0.85,0.91
2.15154999201257,3.6222683041027,10,35,8,0.85,0.89
4.29743913901558,0.695525522931222,14,35,10,0.91,0.89
3.62556815028363,1.04489975984943,9,40,10,0.85,0.89
3.13298766233397,0.99832159308718,13,40,12,0.91,0.91
3.92431064568946,-1.50892629314905,19,30,12,0.95,0.89
4.71973195379344,-0.34323338780778,21,32.5,10,0.91,0.87
4.34719500288125,-0.59578582197447,5,35,8,0.91,0.89
