stratum,outcome,trait,est,se,p,n,bonf,raw
top third,wh,ch_spin,-2.01042076801181,0.548777381900645,0.000333797530983254,358,TRUE,TRUE
top third,wh,ff_spin,-1.06328213806022,0.637528982599787,0.0972259431600356,358,FALSE,FALSE
top third,wh,axis_match,2.36507455007762,0.713740769267799,0.00112925773722659,358,TRUE,TRUE
top third,wh,arm_slot,1.18533881880385,0.575948727674777,0.0411379690600237,358,FALSE,TRUE
top third,wh,LOCKED BIN,6.78155626281542,3.11135611616853,0.0306862594655718,358,FALSE,TRUE
top third,ch,ch_spin,-0.890345274604469,0.433360138761287,0.0414839190439089,358,FALSE,TRUE
top third,ch,ff_spin,-0.30185646052141,0.474086880026734,0.52518471986351,358,FALSE,FALSE
top third,ch,axis_match,1.06550782338853,0.473045618712017,0.0255968167034339,358,FALSE,TRUE
top third,ch,arm_slot,0.3609843202749,0.464688618946135,0.438357680674341,358,FALSE,FALSE
top third,ch,LOCKED BIN,-3.73124877999493,2.2790710695658,0.10347593111875,358,FALSE,FALSE
top third,rv,ch_spin,-0.281069651498481,0.077871298619036,0.000405342066646872,358,TRUE,TRUE
top third,rv,ff_spin,-0.129064503649398,0.0776179909202198,0.0982247810021176,358,FALSE,FALSE
top third,rv,axis_match,0.100663879402374,0.106694656588328,0.346800259864555,358,FALSE,FALSE
top third,rv,arm_slot,0.0445042110153906,0.0811730176831378,0.584243063370329,358,FALSE,FALSE
top third,rv,LOCKED BIN,-0.722526306733144,0.2547411336491,0.0051285733665852,358,FALSE,TRUE
top third,locked,ch_spin,-0.534103620807557,0.33233393728196,0.109915065341319,358,FALSE,FALSE
top third,locked,ff_spin,-0.306907416298047,0.35475786115917,0.388215051441957,358,FALSE,FALSE
top third,locked,axis_match,1.12922980551638,0.486808617896049,0.021569794423216,358,FALSE,TRUE
top third,locked,arm_slot,0.325476470152924,0.363170846618524,0.371431938605935,358,FALSE,FALSE
top third,locked,LOCKED BIN,5.17545005015331,1.61894901897784,0.00166223746118489,358,FALSE,TRUE
rest,wh,ch_spin,-1.10498269765778,0.397999403409654,0.00580464514027677,714,FALSE,TRUE
rest,wh,ff_spin,-0.423376247523043,0.347152668274629,0.223481574408912,714,FALSE,FALSE
rest,wh,axis_match,0.56482102630168,0.356887338420342,0.114443549392419,714,FALSE,FALSE
rest,wh,arm_slot,0.673378662460104,0.392107893616188,0.0868375900556229,714,FALSE,FALSE
rest,wh,LOCKED BIN,6.06410662907536,2.21203123284695,0.00644379696796241,714,FALSE,TRUE
rest,ch,ch_spin,-0.209748504908785,0.297462084843005,0.481218358234685,714,FALSE,FALSE
rest,ch,ff_spin,-0.226825707805565,0.38595797480264,0.557130375240211,714,FALSE,FALSE
rest,ch,axis_match,0.614695813788832,0.326891005552855,0.0609116757386336,714,FALSE,FALSE
rest,ch,arm_slot,0.569160114994499,0.362957473102307,0.117792068425337,714,FALSE,FALSE
rest,ch,LOCKED BIN,2.86076220161516,1.41288956321677,0.0436801872598106,714,FALSE,TRUE
rest,rv,ch_spin,-0.057967159021818,0.0652814206964701,0.375196657887575,714,FALSE,FALSE
rest,rv,ff_spin,0.0602127565089191,0.0804999632538301,0.454990915090516,714,FALSE,FALSE
rest,rv,axis_match,0.0664773207501119,0.0613058693812083,0.278982606501614,714,FALSE,FALSE
rest,rv,arm_slot,0.0901497227051436,0.0770007892601807,0.242520997215998,714,FALSE,FALSE
rest,rv,LOCKED BIN,-0.120534076398606,0.702472845698764,0.863866480066496,714,FALSE,FALSE
rest,locked,ch_spin,0.0705000461441017,0.286933529134989,0.80606274996548,714,FALSE,FALSE
rest,locked,ff_spin,0.062710256805987,0.28246641142392,0.824440881636881,714,FALSE,FALSE
rest,locked,axis_match,-0.197577191458692,0.240842714834068,0.412592055935352,714,FALSE,FALSE
rest,locked,arm_slot,0.39447970158423,0.250183261834112,0.115788294821884,714,FALSE,FALSE
rest,locked,LOCKED BIN,2.12884726905725,1.91393237955623,0.266806436258015,714,FALSE,FALSE
