Pitcher,Season,Tier,Pitches,Arm,AxisGap,SpinEffGap,VeloSep,IVBKill,Whiff,Grounders,RV100
Ryan Feltner,2026,Wide,183,46.5,5.8,-0.123,9.4,8.6,19.3,14.2,2.38
Dylan Cease,2026,Elite,226,59.3,5.2,0.004,14.7,8.7,16.8,3.9,1.47
J.T. Ginn,2025,Wide,148,44.6,14.6,0.026,4.9,2.5,13.4,-1,-2.11
Paul Blackburn,2023,Wide,209,49.9,8.4,-0.12,5.9,10.4,12.1,-5,1.98
Tarik Skubal,2022,Wide,286,51.4,8.5,-0.15,10.5,11.4,12,-0.3,1.65
Tarik Skubal,2021,Elite,305,59.9,3.8,0.033,12.2,7.6,11.9,0.2,1.13
Andrew Abbott,2023,Wide,310,44.6,11,-0.015,6.1,7.1,11.3,-4,1.72
Dylan Cease,2021,Core,210,61.1,8.5,-0.034,18.6,10.5,11,-2.1,0.29
David Festa,2025,Wide,256,46.9,14.1,-0.057,6.4,12.8,10.9,-10.9,0.61
Paul Blackburn,2026,Core,152,45.7,9.7,-0.027,6.8,5.1,10.9,15.3,5.52
Tanner Roark,2020,Wide,117,53.2,6.5,-0.129,9.7,9.5,10.3,12.2,0.09
Paul Blackburn,2022,Core,223,50.8,9.7,-0.07,5.5,9.7,9.2,-1.8,-0.13
Brad Keller,2025,Wide,130,46.7,12.3,0.099,4.5,10.7,9.1,3.2,0.58
Tanner Bibee,2025,Core,450,53.8,9.9,-0.04,12.6,6.9,8.8,6.7,-0.42
Yusmeiro Petit,2021,Wide,191,42.4,4.2,0.044,6.8,5.1,8.1,-1,2.83
Jeffrey Springs,2024,Wide,178,45.1,12,-0.069,10.3,13.4,7.9,-13.8,-1.01
Yusei Kikuchi,2022,Core,245,46.3,5.3,-0.075,7.9,11.1,7.6,6.6,2.51
Jonathan Loáisiga,2022,Wide,110,49.6,14.4,0.065,8.2,2.7,7.2,6.5,3.72
Caleb Smith,2021,Wide,304,47.1,14.4,0.006,9.3,7,7.2,-2.3,0.98
Paul Blackburn,2024,Wide,213,50.3,8.9,-0.144,6.3,11.4,7.1,11.1,2.14
Kyle Hendricks,2022,Wide,413,48.4,13.4,-0.068,7,6.1,6.7,-4,-0.03
Yusei Kikuchi,2021,Core,276,55.8,7.2,-0.078,8.7,12.6,6.6,7.6,0.8
Duane Underwood Jr.,2021,Wide,321,47.8,13.3,0.005,6.3,9.7,5.8,-0.4,0.31
Jeffrey Springs,2025,Wide,720,45.2,14.2,-0.033,11.6,10.8,5.7,-5.6,-0.7
Robbie Ray,2025,Wide,399,43.5,5.8,-0.015,8.7,8.9,5.7,-7.5,0.8
