Pitcher,Season,Tier,Pitches,Arm,AxisGap,SpinEffGap,VeloSep,IVBKill,Whiff,Grounders,RV100
Ryan Feltner,2026,Wide,183,46.5,5.8,-0.123,9.4,8.6,19.3,14.8,2.47
Dylan Cease,2026,Elite,226,59.3,5.2,0.004,14.7,8.7,16.7,2.3,1.2
Tarik Skubal,2021,Elite,305,59.9,3.8,0.033,12.2,7.6,12,0.7,1.11
Paul Blackburn,2023,Wide,209,49.9,8.4,-0.12,5.9,10.4,12,-5.3,2.07
Tarik Skubal,2022,Wide,286,51.4,8.5,-0.15,10.5,11.4,12,0.8,1.7
Andrew Abbott,2023,Wide,310,44.6,11,-0.015,6.1,7.1,11.8,-2.9,1.75
David Festa,2025,Wide,256,46.9,14.1,-0.057,6.4,12.8,10.5,-12.5,0.69
Tanner Roark,2020,Wide,117,53.2,6.5,-0.129,9.7,9.5,10.3,12.6,-0.13
Dylan Cease,2021,Core,210,61.1,8.5,-0.034,18.6,10.5,9.9,-1,-0.02
Paul Blackburn,2022,Core,223,50.8,9.7,-0.07,5.5,9.7,9.7,-3.1,-0.24
Brad Keller,2025,Wide,130,46.7,12.3,0.099,4.5,10.7,9,1.2,0.36
Tanner Bibee,2025,Core,450,53.8,9.9,-0.04,12.6,6.9,8.7,7.6,-0.52
Jeffrey Springs,2024,Wide,178,45.1,12,-0.069,10.3,13.4,7.6,-13.2,-0.93
Yusmeiro Petit,2021,Wide,191,42.4,4.2,0.044,6.8,5.1,7.5,0,3.04
Yusei Kikuchi,2022,Core,245,46.3,5.3,-0.075,7.9,11.1,7.3,5.5,2.56
Yusei Kikuchi,2021,Core,276,55.8,7.2,-0.078,8.7,12.6,7.1,8.4,0.84
Paul Blackburn,2024,Wide,213,50.3,8.9,-0.144,6.3,11.4,7.1,11.1,2.12
Caleb Smith,2021,Wide,304,47.1,14.4,0.006,9.3,7,6.9,-1.8,1.06
Duane Underwood Jr.,2021,Wide,321,47.8,13.3,0.005,6.3,9.7,6.2,-0.6,0.34
Kyle Hendricks,2022,Wide,413,48.4,13.4,-0.068,7,6.1,6,-3.1,-0.08
Jhony Brito,2024,Wide,216,55.9,11,0.032,6.5,7.5,5.6,5.2,0.84
Jeffrey Springs,2025,Wide,720,45.2,14.2,-0.033,11.6,10.8,5.5,-5.2,-0.59
Robbie Ray,2025,Wide,399,43.5,5.8,-0.015,8.7,8.9,5.4,-6.7,0.61
Martín Pérez,2026,Wide,431,42.9,11.6,0.028,7.9,8.5,5.3,4.6,0.88
Kodi Whitley,2021,Wide,112,60.1,14.3,0.001,9,6.1,5.1,4.5,2.19
Jordan Montgomery,2021,Wide,626,52,12.8,0.124,10,5,4.7,5.5,0.91
Jordan Montgomery,2022,Wide,604,42.7,13.6,0.126,10.7,6.1,4.6,3.5,0.12
Jared Shuster,2023,Core,198,47.1,9.1,0.043,9.2,6.9,4.3,-6.3,-0.95
Cole Sulser,2020,Core,108,44.9,7.8,-0.021,8.1,10.8,4.3,-12.7,2.76
Ian Anderson,2021,Wide,679,63,14.2,-0.01,6.5,7.4,4.1,11.3,2.02
Kyle Hendricks,2023,Wide,867,46,13,-0.101,7.1,7,4,2.1,1.42
Martín Pérez,2024,Wide,501,46.3,12.3,0.024,8.1,8.3,3.5,-1.1,-0.73
Cole Sulser,2021,Wide,355,49,14.4,-0.149,9.3,14.4,3.5,-1.3,2.97
Tanner Bibee,2026,Core,283,60.1,8.2,0.029,13,6.9,3.4,4.7,0.39
Trevor May,2021,Core,170,52.2,8,0.057,9.6,7.1,2.8,4.6,-0.64
Edward Cabrera,2024,Wide,566,43.1,10.9,0.008,3.2,10.1,2.6,-0.1,-0.09
Martín Pérez,2020,Core,265,47.7,5.5,0.031,8.5,7.3,2.4,-1,-0.47
Griffin Jax,2022,Wide,156,42.9,14,-0.021,5.6,12.7,2.4,19.5,1.4
Jordan Montgomery,2020,Wide,190,51.2,13.7,0.105,9.4,4.5,2.3,12.8,1.29
Kyle Hendricks,2020,Wide,326,52.1,13.2,-0.096,7.7,4.6,2.1,10.2,1.75
Edward Cabrera,2023,Wide,560,46,10.8,0.035,3.3,9.6,2,7.4,0.22
Yusei Kikuchi,2024,Core,325,44.1,3.8,-0.013,8.8,10.7,1.9,6.8,0.58
Martín Pérez,2021,Core,445,47.9,7.2,0.021,8.6,7.9,1.5,3.5,-0.44
Tanner Bibee,2024,Wide,512,52.4,12,0.07,12.2,7.9,1.4,-1,0.08
Aaron Ashby,2022,Wide,387,44.7,13.2,-0.082,6.4,11.3,1.4,9.4,-1.78
Jeffrey Springs,2022,Wide,729,47.4,12.3,-0.013,10.3,11.7,1.4,-1.7,0.52
Griffin Jax,2021,Wide,198,43.2,7.1,0.013,5.3,7.3,1,1.4,-3.18
Patrick Corbin,2023,Wide,184,42.3,10.4,0.086,10.6,7.2,0.8,-8.1,-1.6
Tyler Wells,2022,Wide,303,50.6,14.4,-0.001,6.9,8.9,0.7,7.3,-0.18
Reid Detmers,2026,Wide,203,43.6,14.3,-0.027,10.5,9.3,0.3,9,-0.75
Edward Cabrera,2022,Core,392,44.3,9.2,0.038,3.5,9.4,0.2,-1.1,1.36
Walbert Ureña,2026,Wide,496,44.2,12,0.037,7.3,9.3,0.1,2.5,1.17
Jhony Brito,2023,Wide,419,51.1,12.4,0.067,7,8.7,-0.1,-3.1,-0.06
Kyle Hendricks,2025,Wide,987,43.7,13.2,-0.109,7,6.4,-0.3,-5.2,0.61
Reid Detmers,2024,Core,220,45.7,7.8,-0.063,9.1,9.1,-0.5,5.8,-0.9
José Leclerc,2023,Core,130,46.5,6.7,0.034,6.8,8,-1,-23.8,-0.48
Jalen Beeks,2020,Wide,141,50.4,14.3,-0.076,5.1,10.6,-1.4,-0.3,-0.18
Robbie Ray,2026,Wide,354,43.8,7.1,-0.021,7.2,8.5,-1.5,-8.3,2.14
Luke Weaver,2020,Wide,264,51.8,13.3,-0.085,9.3,10.5,-1.8,-8.1,0.29
Kyle Hendricks,2024,Wide,827,43.6,13.9,-0.129,6.8,6.7,-1.9,1.4,-0.11
Kenny Rosenberg,2024,Wide,132,45.7,14.5,-0.034,9.1,9.7,-2,4.3,0.79
Jared Shuster,2024,Wide,379,42.1,10.4,0.04,8.4,7.1,-2.4,-8.8,-0.25
Martín Pérez,2023,Core,586,44.9,9.9,0.015,7.5,7.7,-2.5,1.2,-0.44
Andrew Abbott,2025,Wide,526,46,13,0,8,8.1,-2.9,-6.1,0.45
Génesis Cabrera,2021,Wide,202,48.8,14.4,0.001,7.9,10,-2.9,4.6,2.21
Tanner Gordon,2024,Wide,116,48.4,13.5,-0.021,8.2,5,-3.7,-0.3,-3.78
Kyle Hendricks,2021,Wide,768,47.1,13.7,-0.065,7.3,5.8,-3.9,0.3,-0.78
JT Brubaker,2021,Wide,123,45.7,11.7,-0.03,5.7,9.4,-3.9,-3.3,-3.55
Martín Pérez,2022,Wide,794,42.5,10.3,0.021,8.4,8.2,-4,4.2,-0.31
Antonio Senzatela,2022,Wide,112,43.1,6.5,-0.15,7.4,4.6,-4.7,4.3,0.52
Kwang Hyun Kim,2021,Wide,210,57.3,11.5,0.087,8.7,5.2,-5,16.2,-1.14
Patrick Corbin,2022,Core,217,44.2,9.8,0.095,9.6,7.2,-6.8,3.3,-1.85
Tanner Banks,2023,Wide,166,49.7,10.3,-0.085,6.4,10.8,-6.9,1.6,0.39
Yusei Kikuchi,2023,Core,254,44.8,7,-0.078,6.4,10.7,-7,7.1,-2.06
