player_name,pitch_type,n,act,base,aug,gain,path_ratio
"Taylor, Grant",SL,32,0.98,2.73,3.4,0.672,0.37
"Glasnow, Tyler",KC,26,1.91,1.22,1.87,0.652,0.72
"McLean, Nolan",ST,25,1.01,1.14,1.75,0.609,0.57
"Pérez, Eury",SL,31,1.01,1.44,1.95,0.507,0.36
"Montgomery, Mason",CU,26,0.74,3.25,3.74,0.491,0.5
"Gilbert, Logan",CU,35,1.94,1.48,1.94,0.458,0.68
"Cavalli, Cade",ST,54,1.22,0.97,1.43,0.458,0.48
"May, Dustin",ST,88,1.41,2.03,2.45,0.423,0.46
"Junk, Janson",ST,30,0.37,0.7,1.1,0.401,0.97
"Miller, Mason",SL,75,5.12,2.71,3.1,0.388,0.39
