pitcher,game_year,pitch_type,n,velo,hb,ivb,spin,sx,cx,sw,wh,name,hand,axis,whiff_rate,mv,fb_type,fb_axis,fb_velo,fb_hb,fb_ivb,fb_spin,fb_n,gap,velo_gap,mv_ratio,active_spin,wres,res_loc,plate_z,below,band
669199,2026,SL,202,90.1366336633664,-1.16257425742574,3.70633663366337,2682.75742574257,-0.443718076619408,-0.704569205472831,82,34,"Bachar, Lake",R,212.201581953779,41.4634146341463,3.8843931502957,FF,212.974102058194,94.6829181494662,9.39330960854092,18.7541637010676,2709.95729537367,281,0.772520104414696,4.54628448609985,0.185191085202893,0.162,6.13067305388839,4.4239618160618,1.83081524957201,36.7088607594937,same axis (<60°)
592662,2025,SL,713,87.8583450210379,0.500364656381487,9.08583450210379,2266.55399719495,-0.519326194400386,-0.840120727612908,382,113,"Ray, Robbie",L,211.722558625179,29.5811518324607,9.09960182584795,FF,212.710696185425,93.5600368324125,8.25465930018416,18.1804051565378,2357.90300798036,1629,0.988137560245718,5.70169181137466,0.455740369553227,0.502,1.61020223030305,5.82570968510172,2.13322556601172,17.3553719008264,same axis (<60°)
669276,2025,SL,612,85.9774509803922,-0.330588235294118,6.67176470588235,2133.93300653595,-0.399714206963946,-0.902151950503595,329,138,"Lee, Dylan",L,203.896575384653,41.9452887537994,6.67995006508075,FF,206.197321345051,94.0546511627907,8.36023255813953,19.2408139534884,2355.8226744186,344,2.30074596039842,8.07720018239853,0.318417070616649,0.435,0.123885477595047,1.54919084455026,1.91591380642029,31.8042813455658,same axis (<60°)
608566,2025,SL,243,88.8201646090535,0.540740740740741,5.9837037037037,2315.33333333333,-0.621043594117564,-0.727010189578014,101,24,"Márquez, Germán",R,220.505387375285,23.7623762376238,6.00808709677334,FF,223.323650641866,94.8277278562259,10.2720924261874,14.1385879332478,2201.05905006418,779,2.8182632665806,6.00756324717244,0.343787946748136,0.35,-3.9339826329994,0.878126994943548,2.12467913522345,15.7303370786517,same axis (<60°)
641656,2025,SL,245,87.8571428571429,-0.284571428571429,5.08065306122449,1522.14693877551,-0.61510482942202,-0.755662730899851,129,65,"Hamilton, Ian",R,219.145378007329,50.3875968992248,5.08861635678,SI,224.093713485162,94.7820754716981,16.7271698113208,8.51698113207547,2192.80817610063,318,4.94833547783284,6.92493261455525,0.271094354838352,0.37,13.4827285977004,8.16942946671538,1.9668129252252,30.6451612903226,same axis (<60°)
685299,2026,SL,239,86.9380753138075,-1.05188284518828,5.56619246861925,2073.32635983264,-0.48319211752763,-0.775496483053058,118,26,"Gordon, Tanner",R,211.92598294944,22.0338983050848,5.66471147700525,FF,218.361403760634,92.7345744680851,9.83202127659574,15.2639361702128,2236.16755319149,376,6.43542081119443,5.79649915427757,0.311994577201897,0.486,-1.61600826146543,2.56721344309537,2.15351777005903,20.5128205128205,same axis (<60°)
806185,2025,SL,291,88.9243986254296,-1.95298969072165,7.1039175257732,2385.17525773196,-0.218891426261824,-0.832906269070657,148,45,"Birdsong, Hayden",R,194.724618815867,30.4054054054054,7.36748348793892,FF,205.124121718652,95.510815939279,6.01434535104364,18.0569259962049,2403.50284629981,527,10.3995029027851,6.58641731384938,0.38710609087943,0.345,0.120292934613992,3.63137168778953,2.29210292499165,15.3846153846154,same axis (<60°)
657746,2025,SL,265,87.8449056603774,0.0389433962264152,6.60905660377359,2321.28301886793,-0.515759023432692,-0.689908220168499,117,26,"Ryan, Joe",R,216.780918228242,22.2222222222222,6.60917133837464,FF,227.78064059281,93.6150034891835,12.581577110956,13.6851081646895,2292.02651779484,1433,10.9997223645679,5.77009782880617,0.355527991138937,0.331,-2.21603969229061,0.0974092372840024,2.25204075777228,15.1785714285714,same axis (<60°)
676263,2026,SL,264,88.7393939393939,-3.01818181818182,4.26545454545455,2409.31439393939,-0.164898306556765,-0.832757596743764,137,40,"Dreyer, Jack",L,191.200520525303,29.1970802919708,5.2252774057405,FF,202.278679555665,93.9405572755418,6.22179566563468,19.742786377709,2472.34365325077,323,11.0781590303622,5.20116333614786,0.252429344650404,0.229,-4.5362522781533,-1.89078858631135,2.19981938060887,24.0601503759399,same axis (<60°)
592662,2026,SL,508,85.9360236220473,-1.36299212598425,6.33897637795276,2215.3937007874,-0.373741220968973,-0.844560938641628,223,77,"Ray, Robbie",L,203.870695214611,34.5291479820628,6.48385449063581,FF,215.522647917111,93.2200280112045,9.18403361344538,17.3895798319328,2331.88095238095,714,11.6519527024998,7.28400438915723,0.329701930412339,0.344,4.17145178750729,4.69194667218969,1.95543979593463,32.258064516129,same axis (<60°)
