a,b,pairs,med_gap,q25,q75,pct_under_30,pct_over_150
FF,SI,595,2.74371222722283,1.12869347568447,5.27499357755677,99.8319327731092,0
SI,CH,414,16.8485125698251,11.7776421384375,23.5508842575515,92.2705314009662,0
ST,CU,111,16.8552664627713,12.3053002766631,24.9274549627993,85.5855855855856,0
SI,FS,90,16.8844612690118,12.8572538145153,25.0922538617626,82.2222222222222,0
FF,FS,172,20.1851811234007,13.4435402070298,27.9502207700502,78.4883720930232,0
FF,CH,623,21.560227690592,15.9357805986262,28.6111783399775,77.5280898876405,0
SI,FC,303,25.5207375194945,17.4059148439188,36.2754821915901,61.3861386138614,0
FF,FC,400,27.6113562247259,17.6359547053534,36.7414381583945,57.25,0.25
FC,CH,231,45.8776861329543,34.9633055601005,60.381022128621,13.4199134199134,0.432900432900433
FC,FS,47,45.8999786399547,40.3495406976986,54.8625228347737,4.25531914893617,0
SL,ST,111,47.7224191485214,16.7248919555017,89.5412016068839,36.9369369369369,3.6036036036036
SL,CU,183,80.3777582397682,38.1268369773869,120.661787689033,19.1256830601093,8.74316939890711
FC,SL,155,95.5802189401479,58.7901371368709,125.470053133958,10.3225806451613,10.3225806451613
SL,KC,48,96.1848652112605,68.119398227995,133.957552136836,12.5,16.6666666666667
FF,SL,786,100.392689253562,56.4738332407302,137.98536034601,8.26972010178117,19.4656488549618
FC,ST,194,120.108012201935,106.209599861033,136.85760879601,1.54639175257732,13.4020618556701
SL,CH,335,122.703013402575,75.9962204071027,153.531755787615,4.17910447761194,27.4626865671642
SL,FS,88,125.594892007682,72.6931616836178,155.317360967383,1.13636363636364,32.9545454545455
SI,SL,421,128.524590111426,81.0603775461063,156.731884374222,6.17577197149644,32.3040380047506
FC,CU,167,140.919420565145,127.993508509658,155.503910777563,0.598802395209581,32.9341317365269
FF,ST,377,154.596822979687,141.536107987671,164.639146813851,0,60.4774535809019
SI,ST,311,161.550694452808,151.723067712147,170.964609468064,0,77.491961414791
CU,CH,190,163.996636123854,154.341138877957,171.907026332595,0,84.7368421052632
ST,FS,50,164.040858496209,150.73593744231,173.41092662169,0,76
ST,CH,200,165.469100255421,156.826501540072,175.148808839196,0,86.5
CU,FS,47,165.889546729521,155.947954222483,172.050646205014,0,85.1063829787234
FF,CU,348,170.094191210162,163.572863571258,176.049177333402,0,93.3908045977011
SI,CU,225,171.442504228421,165.294577656055,176.231672177796,0,94.2222222222222
FF,KC,88,171.75150442101,167.46944797925,176.253926471132,0,95.4545454545454
SI,KC,49,173.237674889299,169.215892533486,176.269134754966,0,87.7551020408163
