pitcher,grp,pitch_type,player_name,n,resid_pp,whiff_pct,arm_diff,own_arm,fb_arm,as_gap,spin_nz_pct,cue_val,big,cue_pct,contrib_pp,aligned,share,sim_pct,nz_rate,axis_gap
608718,breaking,SL,"Suter, Brent",223,4.29424917172661,24.6636771300448,2.64878911462532,50.9256116648818,53.4157301919394,-0.24709865470852,100,100,TRUE,0.98804780876494,0.529772632580002,TRUE,0.123367930316674,99,100,-0.25
641745,breaking,SL,"Keller, Brad",260,1.98120873496774,22.6923076923077,2.62027823550563,50.1384615384616,47.8936267389525,-0.265626923076923,100,100,TRUE,0.98804780876494,0.529772632580002,TRUE,0.267398696174549,99,100,-0.27
643511,breaking,SL,"Rogers, Tyler",435,2.8642577300481,26.2068965517241,3.0986323767283,-60.5745721207193,-63.4303955708358,-0.118248275862069,100,100,TRUE,0.98804780876494,0.529772632580002,TRUE,0.184959833405462,99,100,-0.12
657006,breaking,SL,"Steele, Justin",602,-2.90076905370468,27.4086378737542,2.80004555321741,47.3748694826768,45.5000535595001,-0.149563122923588,100,100,TRUE,0.98804780876494,0.529772632580002,FALSE,,99,100,-0.15
657044,breaking,SL,"Thompson, Ryan",363,1.55191559726871,31.9559228650138,3.42879369188551,-6.83626800180017,-10.1007919002549,-0.00573002754820932,100,100,TRUE,0.98804780876494,0.529772632580002,TRUE,0.341366910360572,99,100,-0.01
661403,breaking,SL,"Clase, Emmanuel",309,-8.24331059279836,31.7152103559871,3.43152570744157,54.7250577901063,51.7050966553089,-0.240084142394822,100,100,TRUE,0.98804780876494,0.529772632580002,FALSE,,99,100,-0.24
687765,breaking,SL,"Spence, Mitch",641,0.680777271262469,26.9890795631825,4.88554085728741,42.0380573248408,46.8143007592538,-0.0464836193447739,100,100,TRUE,0.98804780876494,0.529772632580002,TRUE,0.778187896310879,99,100,-0.05
663372,breaking,SL,"Feltner, Ryan",421,4.1424346838993,23.2779097387173,2.82172217289109,42.7946243082163,40.9149759098206,-0.39446080760095,99.2874109263658,99.2874109263658,TRUE,0.972111553784861,0.512101189159127,TRUE,0.123623238080143,97,99.3,-0.39
669203,breaking,SL,"Burnes, Corbin",254,-9.701535513754,38.9763779527559,2.96576862644994,43.5264822134387,42.2456473807917,-0.313,97.6377952755906,97.6377952755906,TRUE,0.968127490039841,0.507683328303908,FALSE,,97,97.6,-0.31
477132,breaking,SL,"Kershaw, Clayton",623,8.83010003523124,26.4847512038523,1.71412309932496,55.1759087307231,54.5960449696575,-0.384268057784912,97.4317817014446,97.4317817014446,TRUE,0.964143426294821,0.50326546744869,TRUE,0.0569943109863659,96,97.4,-0.38
663559,breaking,SL,"Falter, Bailey",507,1.28086144643404,21.1045364891519,1.95233176117372,54.9062814651481,55.4876029800069,-0.362368836291913,96.6469428007889,96.6469428007889,TRUE,0.960159362549801,0.498847606593471,TRUE,0.389462582375541,96,96.6,-0.36
668933,breaking,SL,"Ashcraft, Graham",694,-4.77156961250072,35.4466858789625,3.14317722787475,50.6877521613833,53.3402350720376,-0.141201729106628,96.1095100864553,96.1095100864553,TRUE,0.956175298804781,0.494429745738252,FALSE,,96,96.1,-0.14
