brk_type,driver,n,r,r_pathratio
SL,High-Miss%,193,0.027287291297449,-0.191857053060539
SL,High-Miss% (height),193,0.138886663583073,-0.104588810027325
SL,High-Miss% (side),193,-0.273034797731062,-0.185901525995982
SL,Velocity gap,193,0.879498148097883,0.669561257292114
SL,Movement gap,193,0.426401092725191,0.313409404607504
SL,Spin-axis gap,193,0.507077769216652,0.449945009408502
SL,Active-spin gap,193,-0.146754939264519,-0.126121938840786
CU,High-Miss%,107,-0.23754292394934,-0.270930525195366
CU,High-Miss% (height),107,-0.214379921141001,-0.287976521812058
CU,High-Miss% (side),107,-0.176067896339014,-0.138145021497152
CU,Velocity gap,107,0.930794201387461,0.768566328277372
CU,Movement gap,107,0.278504708718907,0.123503587947867
CU,Spin-axis gap,107,0.141835296949037,0.128074987951733
CU,Active-spin gap,107,-0.265445841206044,-0.19504781638691
ST,High-Miss%,101,-0.0964629117647557,-0.179302866533303
ST,High-Miss% (height),101,-0.116129926660424,-0.236109545035873
ST,High-Miss% (side),101,-0.0343870848533717,-0.0889085613833688
ST,Velocity gap,101,0.882814641963559,0.770897740859831
ST,Movement gap,101,0.143199963749454,0.127573330598578
ST,Spin-axis gap,101,-0.106350131525015,-0.0789600556636606
ST,Active-spin gap,101,-0.0999511634208728,-0.0282906821220904
