model,r2,bin,n,slope_out,slope_in,delta,lo,hi,p,r_in
M1,0.174783621809663,Core,21,0.0481709850331061,0.889251704188945,0.841080719155838,0.0716298031556215,1.61053163515606,0.0323790809893449,0.483786750084644
M1,0.174783621809663,HighSpin,20,0.0444408577349114,0.815103150358934,0.770662292624022,-0.00212678067377858,1.54345136592182,0.050886845758422,0.470489739821805
M2,0.17562353027807,Core,21,0.0488973861513466,0.656613778922696,0.607716392771349,-0.146794845805194,1.36222763134789,0.114704094774927,0.409841465119913
M2,0.17562353027807,HighSpin,20,0.0454443903928218,0.59383313451566,0.548388744122838,-0.209884760474728,1.3066622487204,0.15662883106537,0.380663275622314
M3,0.175600596507033,Core,21,0.0542350497188383,0.70323376898506,0.648998719266222,-0.111844688026328,1.40984212655877,0.0948374793704257,0.4258635732695
M3,0.175600596507033,HighSpin,20,0.0509602531725171,0.637705861415008,0.586745608242491,-0.178022802563276,1.35151401904826,0.132937263815342,0.395938045197683
M4,0.173937587831241,Core,21,0.0563861641098497,0.626074669106123,0.569688504996273,-0.1925038138061,1.33188082379865,0.143219391211208,0.383589395549088
M4,0.173937587831241,HighSpin,20,0.0528231829431313,0.56239462482435,0.509571441881219,-0.256376503127727,1.27551938689017,0.192526986062131,0.345816733474788
M5,0.0143187562468322,Core,21,0.153615191503334,0.439888521103675,0.28627332960034,-0.604687380461496,1.17723403966218,0.528981412363551,0.330124903659676
M5,0.0143187562468322,HighSpin,20,0.150144300189472,0.370344190866621,0.220199890677149,-0.675509409478478,1.11590919083278,0.630014504151715,0.278150590592741
