player_name,id,seasons,swings,sep,blind,aware,from_sep
Morán,663558,3,436,9.9,18.34,14.28,4.06
Leclerc,600917,3,210,7,14.9,10.56,4.34
Gore,669022,3,357,9.4,14.64,10.85,3.79
Skubal,669373,7,1708,10.6,14.63,9.58,5.05
Skenes,694973,3,389,9.7,13.66,10.2,3.46
Sandoval,663776,5,1158,9.5,12.93,10.5,2.43
Underwood Jr.,621249,3,301,6.7,11.69,13.36,-1.67
Cease,656302,3,220,16.1,10.7,6.7,4.01
Springs,605488,7,1367,10.8,10.64,11.05,-0.41
Feltner,663372,5,467,9.8,10.43,10.06,0.37
Lee,669276,3,192,7.3,10.31,10.9,-0.59
Rodón,607074,4,671,9.5,10.26,6.13,4.13
Latz,656641,3,347,9,10.21,7.51,2.69
Olson,681857,3,479,7.1,9.97,11.8,-1.83
Buttó,676130,3,300,7.5,9.83,9.31,0.52
McClanahan,663556,4,878,8.7,9.07,6.93,2.13
Iglesias,628452,7,1030,6.3,8.61,8.45,0.15
Lange,656638,3,180,6.3,8.58,7.96,0.62
Lambert,663567,3,504,7.2,8.29,8.55,-0.26
Luzardo,666200,7,1461,9,7.95,5.8,2.16
Brazobán,623211,4,579,6.9,7.88,6.53,1.35
Anderson,666120,4,869,6.2,7.82,9.92,-2.11
Weaver,596133,7,1145,7.9,7.52,4.78,2.74
Woodruff,605540,6,789,9.8,7.37,2.69,4.67
Suarez,660761,6,895,10.2,7.33,6.03,1.3
Ragans,666142,5,929,10.5,7.3,2.49,4.81
deGrom,594798,4,400,7.5,7.24,5.13,2.11
Romero,668941,3,270,8.4,6.34,6.58,-0.25
Ferrer,678606,3,245,10.1,6.27,3.01,3.26
Lorenzen,547179,6,1098,9.6,5.93,4.61,1.32
Suarez,624133,6,1190,10.4,5.79,5.87,-0.08
Weissert,669711,3,134,8.8,5.23,3.13,2.1
Martinez,607259,5,1267,13.4,5.11,4.06,1.04
Bello,678394,5,1179,7.8,4.89,5,-0.11
Blackburn,621112,3,330,5.9,4.88,8.82,-3.94
Snell,605483,6,810,8.7,4.84,1.89,2.95
Webb,657097,5,810,9.2,4.81,3.71,1.1
Sulser,642121,5,621,8.7,4.8,4.65,0.16
Peralta,642547,6,1112,6.2,4.77,2.31,2.46
Norris,596057,4,378,5.4,4.7,3.24,1.46
Velasquez,592826,3,233,5,4.55,2.39,2.15
Cueto,456501,4,710,8.8,4.42,4.31,0.11
Jax,643377,6,661,5.1,4.23,4.25,-0.01
Montgomery,656756,5,1366,9.7,4.22,5.02,-0.8
Blanco,669854,3,419,8.6,4.2,3.15,1.05
Garcia,676395,3,365,6,4.2,2.88,1.31
Richards,670950,6,1215,10.1,4.09,5.45,-1.36
Minter,621345,4,276,8.7,4.08,-0.85,4.93
Suarez,663158,5,410,8.2,4.07,-3.17,7.24
King,650633,5,1101,7.9,3.99,2.03,1.96
Kikuchi,579328,5,680,8.2,3.91,2.87,1.04
Rodriguez,680570,3,591,13.2,3.48,0.88,2.59
Weathers,677960,5,727,9,3.34,1.88,1.46
Boyd,571510,6,1006,12.5,3.33,2.4,0.94
Davies,605200,3,1122,9.6,3.33,4.05,-0.73
Carrasco,471911,6,1174,5.8,3.29,5.64,-2.35
Trivino III,642152,3,171,8,3.19,3.06,0.13
Beeks,656222,6,829,5.1,3.12,5.88,-2.76
