model,scheme,feats,rmse,r2,season_rmse,out
blind,random,7,0.460593834281241,0.00845947882146525,0.0759351662109336,whiff
blind,random,7,0.226220052372091,0.000230365831707657,0.0175007637162853,rv
aware,random,10,0.459342764115396,0.013838611502325,0.0673143053106893,whiff
aware,random,10,0.226186230837155,0.000529289313134007,0.0173006118271797,rv
aware + sd_sep,random,11,0.458890510504093,0.0157794663119877,0.0618924353048439,whiff
aware + sd_sep,random,11,0.226190319329741,0.000493170832182033,0.016986357091085,rv
blind,grouped,7,0.462587448382685,-0.000121089258170004,0.0874119188425095,whiff
blind,grouped,7,0.226226626897792,0.000177272567897901,0.0179641404871502,rv
aware,grouped,10,0.461164342041075,0.00609485816602384,0.0805875732965917,whiff
aware,grouped,10,0.226229090836571,0.000162698695546193,0.017901319144578,rv
aware + sd_sep,grouped,11,0.46152277886495,0.00462385868447091,0.082199566105591,whiff
aware + sd_sep,grouped,11,0.226225646865567,0.000191271856461617,0.0178454536822316,rv
