outcome,n,rx,rz,rb,brk_type,uniq_x,uniq_z,shared,vert_share
Swing decision,39652,0.200307062476201,0.253583375112159,0.37992220751347,SL,0.126338832401311,0.179615145037269,0.0739682300748908,58.7065893181031
Chase (pitch out of zone),25499,0.0940494099431968,0.137057305618301,0.236788907464158,SL,0.0997316018458566,0.142739497520961,-0.00568219190265978,58.8686643042025
Whiff | swing,23768,0.087109235392235,0.204876809583534,0.25499419104245,SL,0.0501173814589159,0.167884955650215,0.0369918539333191,77.0106219394211
Miss distance | swing,23768,0.131552754888214,0.342611411387357,0.417625830618507,SL,0.0750144192311498,0.286073075730293,0.0565383356570638,79.2254175849651
Swing decision,23432,0.184745354629587,0.26413914452066,0.387020548249563,CU,0.122881403728902,0.202275193619976,0.0618639509006845,62.208546672342
Chase (pitch out of zone),15807,0.110376773208467,0.200881352932525,0.287817862538383,CU,0.0869365096058578,0.177441089329916,0.023440263602609,67.116537121219
Whiff | swing,13522,0.0753456178509272,0.253123991924214,0.2788379117151,CU,0.0257139197908863,0.203492293864173,0.0496316980600408,88.7813164482599
Miss distance | swing,13522,0.129355517553007,0.458723520518177,0.510700597163836,CU,0.05197707664566,0.38134507961083,0.0773784409073467,88.0049806142629
Swing decision,19207,0.223692342960876,0.200658371288953,0.37027291194321,ST,0.169614540654256,0.146580568982334,0.0540778023066192,46.357633155934
Chase (pitch out of zone),12033,0.1294240495079,0.107739082476026,0.248709318551735,ST,0.140970236075709,0.119285269043835,-0.0115461865678095,45.8339081008271
Whiff | swing,11699,0.117489317292895,0.147029161322518,0.219174714233939,ST,0.0721455529114203,0.101685396941043,0.0453437643814751,58.4967159342725
Miss distance | swing,11699,0.161347176838497,0.269019063742173,0.356416825413596,ST,0.0873977616714232,0.195069648575099,0.0739494151670734,69.0591698365673
