player_name,pitch_type,n,whiff,exp,wres,spin,spin_drop,ivb,as_gap
"Smith, Cade",FS,98,0.408,0.415,-0.007,576,1759,-5.4,-0.093
"Cruz, Fernando",FS,208,0.524,0.436,0.088,716,1505,1.4,-0.442
"Gilbert, Logan",FS,134,0.366,0.437,-0.072,719,1500,-2.7,-0.357
"Leiter Jr., Mark",FS,101,0.436,0.313,0.123,747,1270,3,-0.148
"Holmes, Clay",CH,72,0.306,0.253,0.053,835,1363,-1.3,-0.04
"Sasaki, Roki",FS,238,0.332,0.398,-0.066,901,1355,1.3,-0.132
"Finnegan, Kyle",FS,115,0.339,0.333,0.006,1025,1212,6.2,-0.059
"Quantrill, Cal",FS,96,0.198,0.276,-0.078,1055,1108,2.8,-0.052
"Morejon, Adrian",CH,113,0.496,0.478,0.018,1087,1333,-0.6,0.025
"Woods Richardson, Simeon",FS,102,0.176,0.284,-0.107,1093,1108,7,-0.048
"Littell, Zack",FS,174,0.178,0.278,-0.1,1111,887,0.7,-0.18
"Matsui, Yuki",FS,94,0.479,0.299,0.179,1116,1275,3.7,-0.237
"Miller, Bryce",FS,137,0.292,0.379,-0.087,1139,1372,4.4,-0.192
"Nunez, Anthony",CH,76,0.368,0.32,0.048,1170,1360,-1.4,-0.17
"Stanek, Ryne",FS,57,0.351,0.388,-0.037,1172,1130,4.9,-0.061
"Corbin, Patrick",CH,103,0.262,0.346,-0.084,1178,955,8.3,0.111
"Hart, Kyle",FS,67,0.328,0.291,0.038,1179,1023,-1.5,-0.307
"Perkins, Jack",CH,111,0.441,0.342,0.1,1201,1097,-0.1,-0.005
"McLean, Nolan",CH,71,0.254,0.333,-0.08,1214,1095,-2.7,-0.098
"Phillips, Tyler",FS,164,0.287,0.322,-0.036,1245,862,2.2,0.02
"Rasmussen, Drew",CH,105,0.371,0.34,0.031,1250,1305,2.9,-0.188
"Kremer, Dean",FS,93,0.409,0.357,0.051,1251,1009,10,-0.066
"Kahnle, Tommy",CH,58,0.19,0.306,-0.116,1257,937,2.1,0.101
"Yates, Kirby",FS,77,0.351,0.271,0.08,1273,1037,-1,-0.002
"Early, Connelly",CH,149,0.221,0.328,-0.107,1274,1016,-2.1,-0.102
"Suarez, Ranger",CH,104,0.288,0.267,0.021,1278,781,3,-0.094
"Harrison, Kyle",CH,62,0.21,0.338,-0.128,1281,1083,-4.4,-0.103
"Sheehan, Emmet",CH,135,0.207,0.309,-0.101,1288,1163,0.1,0.009
"Romero, JoJo",CH,56,0.304,0.277,0.027,1289,913,-1.3,0.091
"Gusto, Ryan",CH,53,0.226,0.311,-0.085,1306,1039,2.9,0.009
"Estrada, Jeremiah",FS,43,0.488,0.461,0.027,1308,832,7.9,0.009
"Carrasco, Carlos",CH,41,0.195,0.219,-0.024,1313,952,2.3,-0.1
"Junis, Jakob",CH,61,0.164,0.249,-0.085,1318,801,2.1,0.023
"Griffin, Foster",FS,65,0.292,0.285,0.007,1321,872,1.4,-0.773
"Eisert, Brandon",CH,52,0.288,0.343,-0.054,1325,767,4.1,-0.048
"Lauer, Eric",CH,100,0.11,0.246,-0.136,1327,920,6.9,0.017
"Melton, Troy",FS,44,0.25,0.342,-0.092,1328,923,1.2,-0.133
"Hurt, Kyle",CH,103,0.33,0.338,-0.008,1328,751,3.3,-0.02
"Quintana, Jose",CH,63,0.286,0.237,0.048,1350,781,4.7,0.109
"Junk, Janson",CH,95,0.274,0.343,-0.07,1363,950,1.5,-0.067
"Scherzer, Max",CH,45,0.178,0.273,-0.095,1364,978,4.4,0.075
"Springs, Jeffrey",CH,221,0.367,0.376,-0.01,1381,769,7,-0.04
"Elder, Bryce",CH,71,0.268,0.257,0.011,1388,781,4.4,-0.12
"Yesavage, Trey",FS,193,0.383,0.392,-0.009,1390,861,6.6,-0.111
"Walker, Taijuan",FS,57,0.175,0.201,-0.025,1396,814,3.9,-0.143
"Rea, Colin",CH,158,0.247,0.29,-0.044,1412,759,-1.6,-0.019
"Young, Brandon",FS,147,0.231,0.308,-0.077,1426,736,2.7,-0.287
"Cantillo, Joey",CH,242,0.405,0.384,0.021,1439,456,13,0.01
"Leahy, Kyle",CH,108,0.324,0.306,0.018,1441,730,1.9,-0.141
"Yamamoto, Yoshinobu",FS,267,0.315,0.332,-0.017,1442,874,1.7,-0.124
"Agnos, Zach",FS,63,0.349,0.286,0.063,1449,883,1.3,-0.097
"Paredes, Mike",CH,69,0.174,0.256,-0.082,1449,759,1.1,-0.017
"Myers, Tobias",FS,81,0.296,0.406,-0.109,1456,777,8.9,-0.24
"Burrows, Mike",CH,220,0.3,0.294,0.006,1473,762,5.7,0.018
"Holton, Tyler",CH,64,0.297,0.267,0.03,1477,808,3.2,0.145
"Gilbert, Logan",CH,51,0.294,0.396,-0.102,1482,736,2.7,-0.064
"Kolek, Stephen",CH,50,0.16,0.265,-0.105,1483,783,2.7,-0.177
"Webb, Logan",CH,235,0.281,0.264,0.016,1484,583,-5.4,0.05
"Alexander, Tyler",CH,98,0.224,0.275,-0.051,1488,735,1.6,-0.082
"Anderson, Drew",CH,168,0.357,0.359,-0.002,1488,795,-2.9,-0.175
"Mize, Casey",FS,173,0.335,0.279,0.056,1504,772,5.6,-0.05
"Canning, Griffin",CH,136,0.228,0.314,-0.086,1511,692,0.8,-0.037
"Ginn, J.T.",CH,180,0.322,0.252,0.071,1523,519,2.3,-0.101
"Cano, Yennier",FS,74,0.324,0.189,0.136,1529,544,-5.4,0.067
"Matthews, Zebby",CH,63,0.159,0.308,-0.149,1529,805,3.7,0.029
"Soriano, George",CH,114,0.368,0.318,0.051,1530,628,-1.6,-0.101
"Winn, Keaton",FS,123,0.333,0.311,0.022,1536,794,0.6,-0.052
"Gallen, Zac",CH,127,0.244,0.288,-0.044,1540,750,4.4,0.014
"Giolito, Lucas",CH,85,0.247,0.326,-0.079,1541,595,13.6,0.001
"Houser, Adrian",CH,126,0.302,0.322,-0.021,1541,680,4.9,-0.091
"Eovaldi, Nathan",FS,384,0.32,0.286,0.035,1542,662,0.7,-0.107
"Wacha, Michael",CH,239,0.251,0.295,-0.043,1545,585,8.1,-0.2
"Keller, Mitch",CH,76,0.237,0.255,-0.019,1546,847,2,-0.011
"Dobnak, Randy",CH,55,0.273,0.209,0.064,1548,433,-2.8,-0.223
"Criswell, Cooper",CH,64,0.219,0.186,0.033,1551,647,-6.5,0.148
"Bowlan, Jonathan",CH,47,0.298,0.315,-0.018,1552,840,5.7,-0.253
"Nola, Aaron",CH,134,0.261,0.25,0.011,1553,757,2.8,0.046
"King, John",CH,62,0.306,0.244,0.063,1554,630,-0.6,0.114
"McClanahan, Shane",CH,225,0.378,0.367,0.011,1557,661,4.4,0.015
"Leiter, Jack",CH,122,0.303,0.341,-0.038,1558,879,4.4,-0.193
"Bieber, Shane",CH,45,0.222,0.297,-0.075,1560,883,0.9,-0.097
"Wheeler, Zack",FS,142,0.472,0.307,0.165,1560,855,2.1,0.056
"Lambert, Peter",CH,208,0.351,0.251,0.1,1562,723,8.5,0.023
"Ohtani, Shohei",FS,56,0.321,0.361,-0.039,1564,898,1.3,-0.032
"Lynch IV, Daniel",CH,89,0.247,0.346,-0.098,1566,670,2.8,-0.016
"Mikolas, Miles",CH,54,0.093,0.258,-0.165,1570,613,1.6,-0.051
"Gausman, Kevin",FS,386,0.386,0.316,0.07,1574,706,4.5,-0.177
"Milner, Hoby",CH,40,0.1,0.197,-0.097,1576,335,-3.2,-0.002
"Medina, Luis",CH,58,0.586,0.336,0.251,1585,814,1.9,-0.175
"Peterson, David",CH,89,0.225,0.275,-0.05,1590,549,3.3,0.2
"Painter, Andrew",FS,84,0.369,0.327,0.042,1590,639,8.6,-0.15
"deGrom, Jacob",CH,109,0.431,0.354,0.078,1593,868,2.6,-0.061
"Meyer, Max",CH,79,0.329,0.311,0.019,1595,964,5.3,0.022
"Weissert, Greg",CH,41,0.341,0.359,-0.017,1605,597,-4.6,0.197
"Feltner, Ryan",CH,93,0.462,0.305,0.157,1605,768,5.5,-0.123
"Mantiply, Joe",CH,42,0.238,0.236,0.002,1606,579,-2.8,0.067
"May, Dustin",CH,52,0.212,0.347,-0.135,1608,775,3.1,0.002
"Kirby, George",CH,58,0.293,0.313,-0.02,1609,669,5,0.074
"Suarez, José",CH,138,0.384,0.285,0.099,1611,718,2.9,-0.08
"Ray, Robbie",CH,185,0.232,0.26,-0.027,1612,693,10.7,-0.021
"McDonald, Trevor",CH,86,0.314,0.268,0.046,1614,670,1.3,0.007
"Hill, Jaden",CH,45,0.444,0.336,0.109,1620,780,1.5,0.103
"Mahle, Tyler",FS,212,0.264,0.276,-0.012,1620,742,5,-0.092
"Pérez, Martín",CH,225,0.307,0.278,0.028,1627,468,8.8,0.028
"Detmers, Reid",CH,93,0.312,0.368,-0.057,1634,516,10.8,-0.027
"Freeland, Kyle",CH,121,0.198,0.212,-0.013,1642,732,5.2,0.087
"Skenes, Paul",FS,125,0.176,0.239,-0.063,1646,536,1.7,-0.069
"Jones, Jared",CH,43,0.349,0.306,0.043,1646,900,3.6,0.01
"Valdez, Framber",CH,177,0.215,0.248,-0.034,1647,531,2,-0.032
"Rodón, Carlos",CH,66,0.409,0.356,0.053,1660,675,4.9,-0.21
"Bednar, David",FS,174,0.351,0.297,0.054,1663,710,3.4,-0.282
"Strahm, Matt",CH,40,0.175,0.262,-0.087,1663,865,-2.3,-0.164
"Seymour, Ian",CH,194,0.361,0.306,0.054,1665,466,8.1,0.015
"Teng, Kai-Wei",CH,54,0.241,0.255,-0.014,1669,771,4.3,0.04
"Pérez, Eury",CH,67,0.388,0.321,0.067,1672,992,10.5,0.018
"Bachar, Lake",FS,43,0.372,0.331,0.041,1675,1036,5.6,0.047
"Farris, Mitch",CH,81,0.457,0.248,0.209,1677,472,-0.7,0.007
"Warren, Will",CH,82,0.256,0.292,-0.036,1678,811,0.3,0.071
"Lee, Dylan",CH,51,0.471,0.297,0.174,1681,698,13,-0.002
"Mlodzinski, Carmen",FS,203,0.296,0.302,-0.006,1682,410,-0.7,-0.308
"Luzardo, Jesús",CH,221,0.376,0.357,0.018,1683,552,2,-0.041
"Petty, Chase",CH,41,0.317,0.34,-0.023,1684,497,1.4,-0.091
"Ritchie, JR",CH,83,0.217,0.308,-0.092,1686,692,0.2,-0.007
"Orze, Eric",FS,163,0.27,0.328,-0.058,1689,585,1.2,-0.242
"Paddack, Chris",CH,147,0.265,0.298,-0.033,1693,451,5.7,-0.017
"Fried, Max",CH,65,0.292,0.37,-0.078,1695,499,5,-0.079
"Sulser, Cole",CH,144,0.354,0.291,0.063,1702,675,2,-0.184
"Duran, Jhoan",FS,145,0.29,0.199,0.09,1713,370,3.7,-0.092
"Varland, Louis",CH,77,0.351,0.331,0.019,1716,538,1.5,-0.163
"Hoffman, Jeff",FS,103,0.33,0.352,-0.022,1716,792,1.4,-0.064
"Winn, Cole",FS,45,0.289,0.343,-0.054,1720,730,2.3,-0.043
"Lugo, Seth",CH,79,0.152,0.269,-0.117,1721,615,2.9,0.021
"Sears, JP",CH,48,0.188,0.211,-0.023,1722,236,1.9,0.006
"Kay, Anthony",CH,122,0.238,0.308,-0.07,1726,590,0.1,-0.032
"Clarke, Taylor",CH,97,0.196,0.264,-0.068,1730,508,1.4,0.019
"Bradley, Taj",FS,184,0.348,0.318,0.03,1735,533,6.1,-0.162
"Cabrera, Edward",CH,210,0.29,0.222,0.069,1743,496,3.8,-0.011
"McCullers Jr., Lance",CH,46,0.37,0.219,0.15,1743,485,1.4,0.092
"McGreevy, Michael",CH,172,0.227,0.218,0.009,1745,493,2.5,-0.132
"Bello, Brayan",CH,118,0.254,0.264,-0.01,1748,355,5.6,0.153
"Morán, Jovani",CH,114,0.509,0.342,0.167,1753,649,7.5,0.023
"Rodriguez, Grayson",CH,83,0.325,0.335,-0.01,1756,525,5,-0.128
"Cease, Dylan",CH,81,0.519,0.37,0.148,1759,708,15.6,0.004
"Moll, Sam",CH,41,0.268,0.251,0.017,1763,731,-7.8,0.16
"Woodruff, Brandon",CH,68,0.382,0.304,0.079,1772,565,8.1,-0.019
"Chivilli, Angel",CH,57,0.351,0.19,0.161,1774,455,6.7,-0.072
"Loáisiga, Jonathan",CH,102,0.304,0.296,0.008,1782,569,5.1,0.074
"Lange, Alex",CH,80,0.312,0.293,0.019,1787,442,1.3,0.023
"Boyd, Matthew",CH,162,0.265,0.285,-0.019,1787,540,3.8,-0.019
"Gray, Peyton",CH,150,0.273,0.302,-0.029,1788,537,4.3,-0.043
"Liberatore, Matthew",CH,123,0.22,0.27,-0.051,1791,353,9.2,-0.007
"Ashby, Aaron",CH,61,0.508,0.299,0.209,1797,301,4.1,-0.056
"Alexander, Jason",CH,49,0.265,0.306,-0.041,1808,407,2.6,0.036
"Skubal, Tarik",CH,217,0.512,0.403,0.108,1824,464,4.7,-0.196
"Taillon, Jameson",CH,110,0.291,0.293,-0.002,1835,559,7.1,-0.05
"Martinez, Nick",CH,220,0.327,0.26,0.068,1841,463,3.6,-0.084
"Sale, Chris",CH,111,0.315,0.268,0.048,1842,474,-0.4,0.053
"Baker, Bryan",CH,157,0.318,0.41,-0.091,1846,444,8.5,-0.065
"Suarez, Robert",CH,88,0.364,0.369,-0.005,1859,540,7.2,0.028
"Baz, Shane",CH,71,0.155,0.296,-0.141,1866,494,9.3,0.021
"Skenes, Paul",CH,148,0.351,0.305,0.046,1866,316,6.6,0.002
"Rodriguez, Eduardo",CH,259,0.22,0.272,-0.052,1867,415,6,0.033
"King, Michael",CH,311,0.27,0.284,-0.014,1870,412,4.4,0.147
"Kelly, Kevin",CH,95,0.263,0.187,0.076,1870,172,-8.1,-0.064
"Fedde, Erick",CH,71,0.254,0.201,0.052,1873,221,4,-0.135
"Jax, Griffin",CH,175,0.411,0.359,0.053,1874,656,3.6,-0.066
"Aldegheri, Sam",CH,105,0.333,0.295,0.038,1874,319,9.3,-0.011
"Burns, Chase",CH,41,0.317,0.364,-0.047,1876,755,10.2,0.064
"Vesia, Alex",CH,46,0.543,0.327,0.216,1876,612,15.9,0.009
"Griffin, Foster",CH,87,0.345,0.302,0.043,1879,314,7.7,-0.019
"Bachman, Sam",CH,45,0.311,0.353,-0.042,1881,466,-2.5,-0.107
"Erceg, Lucas",CH,48,0.188,0.305,-0.118,1883,114,6.1,-0.035
"Johnson, Ryan",FS,103,0.34,0.257,0.083,1883,474,2,-0.097
"De Los Santos, Enyel",CH,106,0.377,0.3,0.077,1884,360,7.7,0.054
"Williamson, Brandon",CH,59,0.39,0.284,0.106,1888,388,7.5,0.003
"Prielipp, Connor",CH,71,0.169,0.329,-0.16,1889,401,3.9,-0.09
"Lodolo, Nick",CH,132,0.205,0.232,-0.027,1892,396,0.8,-0.017
"Roupp, Landen",CH,215,0.274,0.251,0.023,1893,255,-2.6,0.018
"Ashcraft, Braxton",FS,40,0.1,0.266,-0.166,1894,448,6.1,-0.011
"Bibee, Tanner",CH,125,0.312,0.339,-0.027,1896,436,13.6,0.029
"Whisenhunt, Carson",CH,57,0.474,0.326,0.147,1909,371,7.3,0.026
"Iglesias, Raisel",CH,130,0.377,0.276,0.101,1915,416,4.6,-0.008
"Adams, Travis",CH,78,0.385,0.302,0.082,1928,507,4.9,0.041
"Cavalli, Cade",CH,68,0.191,0.35,-0.159,1935,319,4.3,0.125
"Peralta, Freddy",CH,209,0.263,0.325,-0.062,1936,489,2.6,0.052
"Yarbrough, Ryan",CH,90,0.311,0.269,0.042,1937,57,0.3,-0.053
"Castillo, Luis",CH,116,0.181,0.281,-0.1,1937,280,-0.5,0.062
