player_name,pitch_type,n,miss,exp,resid,axis_diff,as_gap,spin_sim
"Farris, Mitch",CH,81,3.47,1.17,2.307,50.7,0.007,0.283
"Vesia, Alex",CH,46,3.19,1.55,1.637,31.8,0.009,0.602
"Bachar, Lake",FS,43,3.14,1.55,1.585,27.4,0.047,0.552
"Morán, Jovani",CH,114,2.86,1.44,1.426,29.4,0.023,0.617
"Medina, Luis",CH,58,2.4,1.12,1.283,13.4,-0.175,0.042
"Feltner, Ryan",CH,93,2.43,1.19,1.241,5.8,-0.123,0.214
"Matsui, Yuki",FS,94,2.43,1.2,1.223,37.4,-0.237,0.002
"Richards, Trevor",CH,94,3.48,2.28,1.205,61,-0.406,0
"McCullers Jr., Lance",CH,46,1.81,0.65,1.166,28.4,0.092,0.287
"Yarbrough, Ryan",CH,90,2.06,0.97,1.084,31,-0.053,0.47
"Wheeler, Zack",FS,142,2.04,1.04,1.003,14.4,0.056,0.656
"Whisenhunt, Carson",CH,57,2.33,1.39,0.932,30.1,0.026,0.597
"Skubal, Tarik",CH,217,2.63,1.72,0.912,21,-0.196,0.017
"Chivilli, Angel",CH,57,1.43,0.56,0.871,,-0.072,
"Johnson, Ryan",FS,103,1.67,0.82,0.852,21.7,-0.097,0.307
"Ashby, Aaron",CH,61,1.61,0.85,0.757,19.2,-0.056,0.619
"Griffin, Foster",FS,65,1.99,1.24,0.753,77.6,-0.773,0
"Garcia, Rico",CH,101,1.95,1.22,0.734,16.8,-0.011,0.855
"Imanaga, Shota",FS,362,1.93,1.2,0.728,17.6,-0.056,0.618
"Woodruff, Brandon",CH,68,1.86,1.22,0.642,22.9,-0.019,0.743
"Silseth, Chase",FS,94,1.74,1.11,0.626,36.7,-0.159,0.042
"Martinez, Nick",CH,220,2.15,1.53,0.623,43.1,-0.084,0.2
"Leiter Jr., Mark",FS,101,1.94,1.33,0.602,29.4,-0.148,0.073
"Iglesias, Raisel",CH,130,1.38,0.79,0.596,16.5,-0.008,0.861
"Romero, JoJo",CH,56,1.3,0.71,0.592,14.6,0.091,0.39
"Cruz, Fernando",FS,208,4.33,3.74,0.582,34.8,-0.442,0
"Sugano, Tomoyuki",FS,152,1.12,0.54,0.58,7.9,-0.074,0.556
"Petty, Chase",CH,41,1.9,1.32,0.574,23.4,-0.091,0.331
"Gausman, Kevin",FS,386,1.82,1.25,0.571,18.3,-0.177,0.037
"Wells, Tyler",CH,111,1.23,0.66,0.569,15.5,0.026,0.827
"Abbott, Andrew",CH,169,1.41,0.86,0.552,15.5,-0.047,0.708
"Yesavage, Trey",FS,193,2.7,2.15,0.55,22.9,-0.111,0.224
"Cease, Dylan",CH,81,2.93,2.4,0.529,4.7,0.004,0.983
"Ginn, J.T.",CH,180,1.22,0.7,0.523,12.8,-0.101,0.328
"Agnos, Zach",FS,63,1.52,1.01,0.515,27.6,-0.097,0.267
"Rodón, Carlos",CH,66,2.02,1.51,0.509,7.6,-0.21,0.012
"Brazobán, Huascar",CH,159,1.17,0.66,0.509,9,-0.074,0.55
"Nunez, Anthony",CH,76,1.87,1.38,0.489,65.3,-0.17,0.008
"Williamson, Brandon",CH,59,1.53,1.05,0.477,27.5,0.003,0.686
"Suarez, José",CH,138,1.64,1.17,0.475,17.6,-0.08,0.448
"Sánchez, Cristopher",CH,438,1.69,1.21,0.474,14.8,-0.068,0.561
"Beeks, Jalen",CH,74,1.18,0.73,0.446,21.8,-0.017,0.765
"Hill, Jaden",CH,45,1.89,1.45,0.438,29.7,0.103,0.224
"Lee, Dylan",CH,51,1.63,1.2,0.434,16.6,-0.002,0.869
"Aldegheri, Sam",CH,105,1.68,1.26,0.418,53.6,-0.011,0.245
"De Los Santos, Enyel",CH,106,1.57,1.16,0.411,6.7,0.054,0.726
"Webb, Jacob",CH,177,1.53,1.12,0.404,22.1,0.108,0.244
"Perkins, Jack",CH,111,1.37,0.98,0.383,29.1,-0.005,0.655
"Pérez, Eury",CH,67,1.53,1.16,0.372,17.1,0.018,0.834
"Cano, Yennier",FS,74,0.77,0.41,0.365,11.8,0.067,0.589
"Lambert, Peter",CH,208,1.14,0.78,0.36,18.9,0.023,0.792
"deGrom, Jacob",CH,109,1.61,1.25,0.359,16,-0.061,0.604
"Ohtani, Shohei",FS,56,1.76,1.41,0.355,18.7,-0.032,0.752
"Boyd, Matthew",CH,162,1.57,1.22,0.345,12,-0.019,0.894
"McDonald, Trevor",CH,86,1.58,1.24,0.338,4.5,0.007,0.979
"Blackburn, Paul",CH,78,1.09,0.76,0.336,8.9,-0.02,0.915
"Jax, Griffin",CH,175,1.32,0.99,0.334,16.3,-0.066,0.564
"Weaver, Luke",CH,135,1.49,1.16,0.324,14.8,-0.159,0.071
"Mize, Casey",FS,173,1.14,0.82,0.323,20.9,-0.05,0.623
"King, John",CH,62,0.98,0.67,0.302,11.4,0.114,0.251
"Vásquez, Randy",CH,40,1.29,1,0.289,28.9,0.045,0.54
"Teng, Kai-Wei",CH,54,1.02,0.75,0.267,11.5,0.04,0.794
"Ureña, Walbert",CH,249,1.27,1.01,0.261,12.2,0.037,0.805
"Elder, Bryce",CH,71,1.07,0.81,0.259,28.5,-0.12,0.159
"Bednar, David",FS,174,1.01,0.76,0.254,6.5,-0.282,0
"Cabrera, Edward",CH,210,0.72,0.47,0.252,15.1,-0.011,0.878
"Seymour, Ian",CH,194,1.39,1.14,0.25,22.6,0.015,0.755
"Soriano, José",FS,179,1.04,0.79,0.247,11.3,-0.003,0.916
"Yates, Kirby",FS,77,0.95,0.7,0.245,28.9,-0.002,0.659
"McGreevy, Michael",CH,172,0.8,0.56,0.24,11.7,-0.132,0.161
"Gore, MacKenzie",CH,99,1.62,1.38,0.237,28,0.028,0.627
"Holmes, Clay",CH,72,0.93,0.69,0.236,27.5,-0.04,0.581
"Bennett, Jake",CH,131,1.57,1.34,0.233,15.6,-0.036,0.773
"Henderson, Logan",CH,117,1.66,1.45,0.217,37.8,-0.052,0.379
"Sulser, Cole",CH,144,1.38,1.16,0.212,22.4,-0.184,0.026
"Strahm, Matt",CH,40,1.11,0.9,0.211,37.8,-0.164,0.039
"Nola, Aaron",CH,134,0.97,0.76,0.208,23,0.046,0.62
"Jones, Jared",CH,43,1.01,0.8,0.207,16.1,0.01,0.866
"Adams, Travis",CH,78,1.37,1.16,0.203,19.4,0.041,0.694
"Kelly, Merrill",CH,259,0.77,0.59,0.18,15.7,-0.058,0.63
"Leahy, Kyle",CH,108,1.01,0.83,0.172,22.8,-0.141,0.106
"Skenes, Paul",CH,148,1.33,1.15,0.172,25.5,0.002,0.723
"Finnegan, Kyle",FS,115,1.45,1.28,0.171,26.8,-0.059,0.492
"Carrasco, Carlos",CH,41,0.69,0.52,0.165,11.1,-0.1,0.341
"Quintana, Jose",CH,63,0.78,0.61,0.165,28.1,0.109,0.206
"Walker, Taijuan",FS,57,0.66,0.5,0.161,9.7,-0.143,0.123
"Weathers, Ryan",CH,244,1.39,1.22,0.161,19.9,-0.307,0
"Bradley, Taj",FS,184,1.06,0.9,0.158,14.7,-0.162,0.065
"Eisert, Brandon",CH,52,0.83,0.68,0.158,16,-0.048,0.691
"Loáisiga, Jonathan",CH,102,1.03,0.87,0.156,20.1,0.074,0.471
"Roupp, Landen",CH,215,0.86,0.71,0.155,26.9,0.018,0.674
"McClanahan, Shane",CH,225,1.7,1.56,0.147,32.6,0.015,0.583
"Holton, Tyler",CH,64,1.06,0.92,0.139,42.5,0.145,0.051
"Messick, Parker",CH,243,1.23,1.09,0.138,29.2,-0.159,0.053
"Soriano, George",CH,114,1.13,0.99,0.136,30.5,-0.101,0.228
"Rodriguez, Grayson",CH,83,1.54,1.41,0.134,32.4,-0.128,0.116
"Pérez, Martín",CH,225,1.12,0.99,0.128,11.4,0.028,0.863
"Griffin, Foster",CH,87,1.43,1.3,0.128,17.6,-0.019,0.823
"Lodolo, Nick",CH,132,0.83,0.73,0.109,7.8,-0.017,0.937
"Burrows, Mike",CH,220,1.17,1.06,0.108,22.7,0.018,0.747
"Lorenzen, Michael",CH,170,1.33,1.23,0.105,16.1,0.037,0.763
"Montero, Keider",CH,106,0.97,0.87,0.104,12.9,0.033,0.822
"Webb, Logan",CH,235,0.76,0.66,0.101,35.6,0.05,0.418
"Morillo, Juan",CH,74,0.96,0.86,0.1,31.7,0.066,0.394
"De Jesus, Enmanuel",CH,48,1.07,0.97,0.095,13,-0.077,0.503
"Bello, Brayan",CH,118,0.9,0.81,0.095,20.4,0.153,0.078
"Ober, Bailey",CH,234,0.87,0.78,0.093,35,0.13,0.101
"Duran, Jhoan",FS,145,0.46,0.37,0.09,5.5,-0.092,0.421
"Varland, Louis",CH,77,1.16,1.08,0.081,17.1,-0.163,0.06
"Kremer, Dean",FS,93,1.86,1.79,0.079,9.3,-0.066,0.614
"Luzardo, Jesús",CH,221,1.54,1.46,0.073,7,-0.041,0.82
"Englert, Mason",CH,89,0.98,0.91,0.068,23.8,-0.29,0
"Senga, Kodai",FO,83,2.74,2.67,0.064,38.7,,
"Winn, Keaton",FS,123,1.06,1,0.059,18.9,-0.052,0.633
"Sale, Chris",CH,111,0.95,0.89,0.056,16.2,0.053,0.661
"Bubic, Kris",CH,84,0.88,0.84,0.04,39.2,-0.109,0.152
"Dobnak, Randy",CH,55,0.69,0.65,0.039,29.1,-0.223,0.005
"Gray, Peyton",CH,150,1.18,1.15,0.032,24.4,-0.043,0.617
"Avila, Luinder",CH,51,0.96,0.94,0.027,34.4,0.113,0.156
"Painter, Andrew",FS,84,1.35,1.33,0.027,14.7,-0.15,0.093
"Freeland, Kyle",CH,121,0.58,0.56,0.02,16.2,0.087,0.402
"Blubaugh, AJ",CH,114,1.48,1.46,0.019,33,-0.22,0.005
"Hart, Kyle",FS,67,1.2,1.18,0.014,58.8,-0.307,0
"Sproat, Brandon",CH,61,0.77,0.76,0.014,25.2,0.073,0.425
"Houser, Adrian",CH,126,1.36,1.35,0.01,14.6,-0.091,0.392
"Mahle, Tyler",FS,212,0.88,0.87,0.01,15.7,-0.092,0.377
"Yamamoto, Yoshinobu",FS,267,0.87,0.86,0.007,22.3,-0.124,0.167
"Bieber, Shane",CH,45,0.73,0.73,-0.002,26.1,-0.097,0.276
"Santana, Dennis",CH,54,0.76,0.77,-0.004,12.7,-0.074,0.53
"Javier, Cristian",CH,40,0.89,0.89,-0.006,44.4,-0.076,0.216
"Kochanowicz, Jack",CH,135,0.85,0.86,-0.011,9.4,-0.197,0.02
"Lange, Alex",CH,80,0.79,0.8,-0.015,22.4,0.023,0.736
"Ryan, Joe",FS,118,0.66,0.67,-0.015,15.8,-0.092,0.377
"Weissert, Greg",CH,41,1.02,1.04,-0.02,41.3,0.197,0.009
"Burns, Chase",CH,41,1.2,1.22,-0.023,26.2,0.064,0.472
"Meyer, Max",CH,79,1.08,1.1,-0.024,12.4,0.022,0.874
"Whitlock, Garrett",CH,58,1.35,1.38,-0.03,37.3,-0.127,0.101
"King, Michael",CH,311,0.92,0.96,-0.039,28.3,0.147,0.077
"Keller, Mitch",CH,76,0.59,0.63,-0.047,19.5,-0.011,0.815
"Criswell, Cooper",CH,64,0.5,0.55,-0.049,12.7,0.148,0.103
"Warren, Will",CH,82,0.83,0.9,-0.065,23.3,0.071,0.46
"Gusto, Ryan",CH,53,0.99,1.06,-0.07,40.2,0.009,0.45
"Anderson, Drew",CH,168,0.99,1.06,-0.072,39.8,-0.175,0.022
"Latz, Jacob",CH,68,1.37,1.44,-0.076,23.9,-0.007,0.748
"Suarez, Robert",CH,88,1.2,1.28,-0.079,27.3,0.028,0.638
"Lowder, Rhett",CH,119,0.81,0.89,-0.079,29.9,0.015,0.628
"Brogdon, Connor",CH,51,1.08,1.16,-0.083,33.5,-0.006,0.572
"Taillon, Jameson",CH,110,0.9,0.98,-0.085,24.3,-0.05,0.579
"Vodnik, Victor",CH,45,0.82,0.91,-0.089,31.7,0.048,0.482
"Eovaldi, Nathan",FS,384,0.74,0.83,-0.092,11.2,-0.107,0.298
"Ray, Robbie",CH,185,0.84,0.93,-0.096,7.2,-0.021,0.92
"Gallen, Zac",CH,127,0.76,0.87,-0.105,18.3,0.014,0.823
"Lopez, Jacob",CH,54,0.65,0.75,-0.108,21.7,0.017,0.767
"Sasaki, Roki",FS,238,1.28,1.4,-0.113,28,-0.132,0.118
"Rodriguez, Bradgley",CH,176,1.33,1.45,-0.114,22.5,0.065,0.508
"Rea, Colin",CH,158,0.73,0.85,-0.121,33,-0.019,0.564
"Peterson, David",CH,89,0.74,0.88,-0.135,24.7,0.2,0.013
"Rasmussen, Drew",CH,105,0.98,1.12,-0.14,39.7,-0.188,0.014
"Kirby, George",CH,58,0.94,1.09,-0.146,24,0.074,0.434
"Peralta, Freddy",CH,209,0.88,1.03,-0.149,38.7,0.052,0.365
"Skenes, Paul",FS,125,0.35,0.5,-0.153,12.7,-0.069,0.572
"Suarez, Ranger",CH,104,0.94,1.1,-0.157,20.5,-0.094,0.334
"Marinaccio, Ron",CH,115,1.16,1.32,-0.162,40.5,-0.029,0.413
"Leiter, Jack",CH,122,0.93,1.1,-0.164,11.1,-0.193,0.022
"Fedde, Erick",CH,71,0.35,0.51,-0.165,21.8,-0.135,0.126
"Kelly, Kevin",CH,95,0.47,0.64,-0.171,16.6,-0.064,0.575
"Mantiply, Joe",CH,42,0.59,0.76,-0.172,34.9,0.067,0.362
"Cantillo, Joey",CH,242,2.18,2.36,-0.183,20.2,0.01,0.805
"Gordon, Tanner",CH,111,0.71,0.91,-0.192,17.8,-0.008,0.846
"Valdez, Framber",CH,177,0.35,0.55,-0.193,12.7,-0.032,0.821
"Paredes, Mike",CH,69,0.49,0.68,-0.193,31.5,-0.017,0.594
"Rogers, Trevor",CH,225,0.7,0.9,-0.196,13.9,-0.014,0.884
"Hoffman, Jeff",FS,103,0.99,1.19,-0.2,21.7,-0.064,0.528
"Moll, Sam",CH,41,0.6,0.81,-0.205,27.7,0.16,0.053
"Clarke, Taylor",CH,97,0.43,0.64,-0.205,26.2,0.019,0.686
"Melton, Troy",FS,44,0.89,1.1,-0.212,25.6,-0.133,0.122
"Peralta, Wandy",CH,160,0.84,1.06,-0.221,7.7,-0.111,0.281
"Alcantara, Sandy",CH,263,0.67,0.89,-0.222,10.3,-0.065,0.62
"Sears, JP",CH,48,0.43,0.66,-0.233,28.6,0.006,0.665
