player_name,pitch_type,grp,n,act_miss,base,aug,gain,path_ratio,axis_diff
"Alvarez, Andrew",CU,breaking,54,2.4,2.6,3.65,1.044,0.54,168.2
"Taylor, Grant",CU,breaking,42,2.23,3,3.98,0.974,0.58,176.7
"Warren, Austin",ST,breaking,79,1.39,1.42,2.19,0.774,0.46,174.7
"Wacha, Michael",CU,breaking,43,0.45,0.69,1.43,0.746,1.07,170.8
"Houser, Adrian",SL,breaking,50,0.14,1.27,2.01,0.74,0.37,60.6
"Cantillo, Joey",CH,offspeed,137,2.51,3.33,4.07,0.74,0.54,19.7
"Miles, Spencer",CU,breaking,69,0.47,1.84,2.55,0.71,0.74,175.1
"Cavalli, Cade",KC,breaking,110,2.36,1.21,1.92,0.709,0.44,176.4
"Barnett, Mason",SL,breaking,45,1.23,1.02,1.7,0.689,0.37,114.9
"Rangel, Alan",CH,offspeed,45,2.36,2.82,3.48,0.663,0.53,21
"Lorenzen, Michael",CU,breaking,58,1.24,1.88,2.53,0.653,0.34,160.5
"Fermin, José",SL,breaking,92,1.87,1.54,2.17,0.633,0.32,29.7
"Hudson, Bryan",ST,breaking,54,1.19,1.87,2.5,0.631,0.6,176.6
"Bachar, Lake",SL,breaking,51,1.98,1.44,2.07,0.628,0.19,12.8
"Yesavage, Trey",SL,breaking,120,1.55,1.38,2,0.618,0.27,14.3
"Cease, Dylan",CH,offspeed,51,3.19,2.69,3.31,0.617,0.54,4.5
"Garcia, Rico",SL,breaking,58,1.11,1.26,1.88,0.617,0.28,14.3
"May, Dustin",ST,breaking,60,0.81,2.87,3.48,0.608,0.46,169
"Roupp, Landen",CU,breaking,101,1.66,1.02,1.61,0.594,0.93,177.2
"Corbin, Patrick",CH,offspeed,71,1.34,2.51,3.1,0.584,0.46,17.5
"Martinez, Nick",CH,offspeed,116,2.63,2.12,2.69,0.575,0.51,41.9
"Burke, Brock",SL,breaking,67,2.13,2.04,2.61,0.571,0.45,15.7
"Soriano, George",SL,breaking,64,2.18,2.23,2.79,0.558,0.3,54.2
"Pérez, Cionel",SV,breaking,49,1.62,2.43,2.98,0.552,0.52,171.6
"Teng, Kai-Wei",ST,breaking,104,1.49,1.71,2.24,0.53,0.48,172
"Matsui, Yuki",SL,breaking,59,1.96,1.2,1.72,0.519,0.27,48.5
"Arrighetti, Spencer",CU,breaking,100,1.37,2.36,2.86,0.497,0.73,167.9
"Pérez, Eury",SL,breaking,81,2.1,2.69,3.18,0.494,0.36,56.4
"Cameron, Noah",CU,breaking,49,2.11,2.2,2.69,0.494,0.5,167.3
"Garcia, Julian",ST,breaking,46,2.37,2.71,3.19,0.477,0.53,140.4
"Kirby, George",ST,breaking,144,0.99,2.47,2.95,0.476,0.36,175.3
"Miller, Erik",SL,breaking,53,3.72,4.46,4.93,0.47,0.48,149.2
"Imai, Tatsuya",SL,breaking,138,1.84,1.76,2.23,0.469,0.3,34.5
"Soriano, José",KC,breaking,126,4.04,3.68,4.14,0.466,0.52,158.9
"Ritchie, JR",CU,breaking,45,0.72,1.54,2,0.461,0.46,177.4
"Bibee, Tanner",CH,offspeed,70,1.4,2.24,2.7,0.46,0.53,8.6
"Early, Connelly",SL,breaking,42,0.87,1,1.46,0.459,0.31,17.8
"Mejia, Juan",ST,breaking,80,2.81,1.81,2.26,0.443,0.61,148.1
"Santana, Dennis",SL,breaking,64,2.46,1.91,2.34,0.437,0.37,73.4
"Matthews, Zebby",SL,breaking,73,1.35,1.18,1.62,0.435,0.36,66.6
"Kikuchi, Yusei",SL,breaking,43,0.82,1.31,1.73,0.425,0.39,101.1
"Sheehan, Emmet",CU,breaking,43,1.43,1.72,2.14,0.419,1.13,166.3
"Burke, Sean",KC,breaking,71,1.42,1.38,1.8,0.415,0.66,174.5
"Warren, Will",ST,breaking,85,1.17,2.9,3.31,0.415,0.41,166.3
"Myers, Tobias",FS,offspeed,44,2.19,2.74,3.14,0.408,0.66,5.1
"Schultz, Noah",ST,breaking,41,3.03,1.3,1.71,0.402,0.46,158.2
"Avila, Luinder",SL,breaking,52,1.15,1.61,2.01,0.399,0.38,106.2
"Miller, Bryce",FS,offspeed,72,1.35,2.01,2.4,0.399,0.41,17.3
"Farris, Mitch",CH,offspeed,44,4.69,1.5,1.89,0.387,0.43,51
"Ramírez, Yohan",ST,breaking,65,2.62,2.47,2.85,0.378,0.61,168.1
"Lugo, Seth",CU,breaking,60,0.77,0.56,0.93,0.369,1.12,169.7
"Soroka, Michael",SV,breaking,85,2.09,1.32,1.68,0.358,0.54,170.2
"Eovaldi, Nathan",CU,breaking,113,3.05,1.64,1.99,0.353,0.83,173.4
"Hancock, Emerson",ST,breaking,41,2.23,1.55,1.9,0.352,0.74,171.8
"Rocker, Kumar",SL,breaking,147,2.93,2.59,2.94,0.347,0.41,167.6
"Wheeler, Zack",ST,breaking,50,3.22,2.21,2.55,0.334,0.56,173.6
"Kay, Anthony",ST,breaking,92,2.25,1.44,1.77,0.334,0.54,158.6
"Bassitt, Chris",CU,breaking,61,1.88,1.61,1.94,0.331,1.18,175.7
"Lee, Dylan",SL,breaking,146,3.2,2.35,2.68,0.328,0.38,37.6
"Hart, Kyle",ST,breaking,44,1.26,1.58,1.91,0.327,0.54,158.2
"Drohan, Shane",CU,breaking,45,2.52,1.39,1.72,0.324,0.79,174.9
"Burke, Brock",CH,offspeed,47,1.16,1.78,2.1,0.322,0.42,13.6
"Brubaker, JT",SL,breaking,61,2.05,1.45,1.77,0.32,0.2,36.4
"Wrobleski, Justin",SL,breaking,143,0.43,0.82,1.14,0.32,0.38,113
"Gordon, Tanner",SL,breaking,80,0.56,0.74,1.05,0.314,0.36,11.8
"Freeland, Kyle",ST,breaking,55,1,2.11,2.42,0.311,0.4,172
"Cantillo, Joey",CU,breaking,129,1.42,1.44,1.75,0.311,0.7,177
"Weathers, Ryan",ST,breaking,72,2.91,1.83,2.14,0.308,0.82,163.1
"Baz, Shane",CH,offspeed,49,0.47,1.26,1.57,0.305,0.36,19
"Montero, Keider",SL,breaking,82,0.95,1.37,1.67,0.298,0.36,127.7
"Herget, Jimmy",SL,breaking,58,1.19,0.53,0.82,0.297,0.28,39.1
"Romano, Jordan",SL,breaking,42,2.45,1.48,1.77,0.292,0.41,132
"De Los Santos, Enyel",SL,breaking,72,1.69,1.58,1.87,0.291,0.29,18.8
"McClanahan, Shane",SL,breaking,114,0.82,1.41,1.7,0.291,0.4,78
"Beeter, Clayton",SL,breaking,68,1.58,3.16,3.45,0.291,0.43,170.2
"Castillo, Luis",SL,breaking,128,1.14,1.65,1.94,0.289,0.32,106.6
"Richards, Trevor",CH,offspeed,49,4.02,2.33,2.62,0.287,0.66,61.3
"Gausman, Kevin",SL,breaking,59,2.1,1.94,2.23,0.282,0.36,52.8
"Phillips, Tyler",FS,offspeed,92,1.15,1.47,1.75,0.276,0.31,27.1
"Lopez, Jacob",CH,offspeed,41,0.78,0.84,1.12,0.276,0.26,21.2
"Ashcraft, Braxton",SL,breaking,145,1.1,1.09,1.37,0.275,0.25,39
"Arrighetti, Spencer",ST,breaking,55,1.23,2.06,2.34,0.274,0.51,156.4
"Giolito, Lucas",CH,offspeed,57,1.62,2.44,2.72,0.273,0.43,19.6
"Ryan, Joe",ST,breaking,86,1.91,2.11,2.38,0.27,0.75,160.5
"Mize, Casey",SL,breaking,101,0.56,0.93,1.2,0.269,0.27,41.5
"Avila, Luinder",CU,breaking,45,0.87,1.91,2.17,0.264,0.59,133.8
"Cole, Gerrit",CH,offspeed,48,0.77,1.56,1.82,0.263,0.45,21.2
"Dreyer, Jack",SL,breaking,84,0.57,1.01,1.27,0.263,0.26,21.4
"Bradish, Kyle",CU,breaking,118,2.84,1.25,1.51,0.262,0.3,154.2
"Smith, Cade",FS,offspeed,49,2.27,2.29,2.55,0.261,0.29,93.9
"Scott, Christian",ST,breaking,74,1.2,1.1,1.36,0.261,0.61,149.1
"Yamamoto, Yoshinobu",CU,breaking,60,1.59,2.01,2.27,0.261,1.2,176.9
"Leiter, Jack",SL,breaking,70,2.49,2.01,2.27,0.258,0.4,120.1
"Williams, Devin",CH,offspeed,96,1.29,1.67,1.93,0.253,0.37,47.3
"Macko, Adam",SL,breaking,50,2.88,1.5,1.75,0.252,0.49,35.3
"Phillips, Tyler",CU,breaking,62,3.03,2.27,2.52,0.249,0.59,176.2
"Schweitzer, Tyler",SL,breaking,45,0.45,0.79,1.04,0.247,0.3,39.2
"Yesavage, Trey",FS,offspeed,101,3.47,2.5,2.75,0.246,0.51,22.3
"Cruz, Fernando",FS,offspeed,99,5.09,5,5.24,0.245,0.69,35.9
"Garcia, Rico",CH,offspeed,54,2.9,1.4,1.65,0.245,0.39,17.1
"Quintana, Jose",CU,breaking,46,0.9,1.1,1.34,0.24,0.48,146
"Sasaki, Roki",SL,breaking,100,2.83,2.13,2.37,0.24,0.45,152.6
"Gray, Peyton",SL,breaking,47,0.72,0.98,1.21,0.234,0.29,57.3
"Manaea, Sean",ST,breaking,120,1.82,2.31,2.54,0.226,0.74,166.7
"Greene, Hunter",SL,breaking,43,3.13,1.8,2.02,0.226,0.51,76.7
"Sears, JP",CH,offspeed,40,0.27,0.71,0.94,0.223,0.39,28.3
"Phillips, Tyler",ST,breaking,80,2.03,1.77,1.99,0.221,0.51,151.9
"Vásquez, Randy",CU,breaking,51,0.36,0.81,1.04,0.22,0.38,132.6
"Luzardo, Jesús",ST,breaking,159,3.59,3.02,3.23,0.218,0.45,153.4
"Medina, Luis",SL,breaking,41,2.59,2.26,2.48,0.216,0.54,156.6
"Nunez, Anthony",ST,breaking,46,4.05,2.43,2.64,0.215,0.37,157.7
"Gore, MacKenzie",SL,breaking,61,0.47,1.97,2.19,0.214,0.31,126.7
"Cabrera, Edward",CH,offspeed,132,0.78,0.48,0.68,0.204,0.14,15.4
"Vesia, Alex",SL,breaking,55,2.45,1.37,1.58,0.204,0.3,49.1
"Banks, Tanner",SL,breaking,73,0.21,0.42,0.62,0.201,0.26,40.7
"Leasure, Jordan",SL,breaking,42,1.47,1.52,1.72,0.199,0.3,55.8
"Wacha, Michael",SL,breaking,52,1.55,1.16,1.35,0.196,0.34,37.5
"McDonald, Trevor",SL,breaking,67,2.34,3.5,3.7,0.196,0.35,149.5
"Hart, Kyle",SL,breaking,41,0.46,0.55,0.75,0.194,0.23,47.4
"Clarke, Taylor",SL,breaking,64,1.84,1.09,1.28,0.193,0.27,43.9
"Watson, Ryan",ST,breaking,42,1.75,1.44,1.63,0.193,0.42,122.1
"Civale, Aaron",CU,breaking,77,0.77,0.63,0.82,0.192,0.74,163.7
"Adam, Jason",SL,breaking,80,2.77,3.05,3.24,0.19,0.32,98.6
"Littell, Zack",SL,breaking,178,0.19,0.3,0.49,0.19,0.2,12.8
"Klein, Will",ST,breaking,57,0.94,3.03,3.21,0.187,0.39,172.3
"Lowder, Rhett",SL,breaking,112,1.57,2.56,2.75,0.186,0.35,162.1
"Pallante, Andre",KC,breaking,52,1.25,2.18,2.36,0.181,0.72,170.1
"Prielipp, Connor",CH,offspeed,53,0.76,1.6,1.78,0.181,0.38,9.4
"Leahy, Kyle",SL,breaking,114,0.37,0.68,0.86,0.179,0.25,51.7
"Henderson, Logan",CH,offspeed,64,2.11,1.57,1.75,0.179,0.39,37.2
"Kelly, Merrill",CH,offspeed,149,0.94,0.63,0.81,0.174,0.15,15.4
"Johnson, Pierce",CU,breaking,101,1.17,1.7,1.87,0.173,0.38,171.4
"Duran, Jhoan",FS,offspeed,118,0.44,0.36,0.53,0.17,0.13,5.6
"Rodriguez, Grayson",CH,offspeed,49,1.77,1.71,1.88,0.17,0.37,32.2
"Miles, Spencer",SL,breaking,47,0.57,1.81,1.98,0.17,0.33,122.1
"Uribe, Abner",SL,breaking,40,3.2,2.67,2.83,0.169,0.42,132.6
"Morillo, Juan",CH,offspeed,42,1.13,1.02,1.19,0.168,0.19,31.2
"Herrin, Tim",SL,breaking,49,3.34,1.49,1.65,0.166,0.36,108.6
"Abbott, Andrew",ST,breaking,104,1.77,1.89,2.06,0.165,0.52,147.5
"Mikolas, Miles",SL,breaking,116,0.3,0.51,0.67,0.164,0.25,25.9
"Cease, Dylan",SL,breaking,173,1.88,2.24,2.4,0.164,0.29,62.7
"Ryan, Joe",SL,breaking,45,1.12,1.1,1.26,0.164,0.28,53.2
"Bruihl, Justin",ST,breaking,67,0.63,1.96,2.13,0.164,0.69,173.4
"Sugano, Tomoyuki",ST,breaking,53,1,1.15,1.31,0.163,0.42,138.5
"Jax, Griffin",ST,breaking,91,1.37,2.2,2.36,0.163,0.36,162.6
"Jax, Griffin",CH,offspeed,105,1.41,1.03,1.19,0.159,0.18,15.9
"McLean, Nolan",ST,breaking,50,1.1,1.26,1.42,0.159,0.57,174.4
"Latz, Jacob",CH,offspeed,41,1.81,1.85,2.01,0.156,0.28,24
"Finnegan, Kyle",FS,offspeed,66,1.45,1.58,1.73,0.153,0.27,26.4
"Beeks, Jalen",CH,offspeed,42,1.25,0.83,0.98,0.153,0.3,21
"Singer, Brady",SL,breaking,166,1.61,1.31,1.46,0.152,0.37,120
"Corbin, Patrick",SL,breaking,92,2.06,1.99,2.14,0.151,0.52,153.9
"Leahy, Kyle",ST,breaking,55,1.85,1.83,1.98,0.149,0.47,139.4
"Kinley, Tyler",SL,breaking,122,1.63,1.46,1.61,0.148,0.32,54.3
"Abbott, Andrew",CH,offspeed,126,1.46,0.95,1.09,0.147,0.26,15.6
"Abreu, Bryan",SL,breaking,64,2.56,2.17,2.32,0.146,0.35,158
"Barlow, Scott",CU,breaking,55,2.76,1.12,1.27,0.144,0.98,153.9
"Nance, Tommy",SL,breaking,91,1.35,2.15,2.29,0.141,0.28,103.4
"Ray, Robbie",SL,breaking,157,1.25,1.02,1.16,0.137,0.25,17.4
"Peralta, Wandy",CH,offspeed,103,0.89,1.25,1.38,0.137,0.24,7.4
"Prielipp, Connor",SL,breaking,97,1.02,2.2,2.34,0.136,0.28,116.2
"Kittredge, Andrew",SL,breaking,58,0.84,1.09,1.22,0.132,0.21,66.2
"Loáisiga, Jonathan",CH,offspeed,54,1.06,0.96,1.09,0.132,0.27,19.6
"Skubal, Tarik",CH,offspeed,130,2.84,2.22,2.35,0.129,0.3,21.1
"Freeland, Kyle",CH,offspeed,90,0.69,0.64,0.77,0.125,0.22,16
"Varland, Gus",SL,breaking,66,1.04,1.35,1.47,0.122,0.35,92.8
"Cornelio, Riley",SL,breaking,50,6.09,2.9,3.02,0.119,0.56,63.9
"Scholtens, Jesse",SL,breaking,70,0.25,0.61,0.72,0.118,0.2,19
"Harrison, Kyle",SV,breaking,95,1.85,2.9,3.02,0.118,0.5,168.6
"Ureña, Walbert",ST,breaking,42,2.64,2.09,2.21,0.118,0.4,164.6
"Junk, Janson",SL,breaking,83,0.2,1.05,1.16,0.115,0.31,72.6
"Orze, Eric",FS,offspeed,95,0.83,1.5,1.62,0.115,0.31,28.5
"Misiorowski, Jacob",SL,breaking,65,1.44,2.2,2.31,0.114,0.36,76.4
"Matz, Steven",CH,offspeed,68,0.66,1.41,1.52,0.113,0.37,26.6
"Canning, Griffin",CH,offspeed,86,0.46,0.87,0.98,0.113,0.2,29.5
"Wells, Tyler",CH,offspeed,63,1.61,0.86,0.97,0.111,0.23,15.6
"Imanaga, Shota",FS,offspeed,213,2.39,1.34,1.45,0.11,0.29,17
"Ober, Bailey",SL,breaking,73,0.21,0.6,0.71,0.109,0.33,38.2
"Kremer, Dean",FS,offspeed,44,1.66,2,2.1,0.102,0.38,9.4
"King, Michael",ST,breaking,110,1.5,1.09,1.19,0.1,0.54,151.8
"Martin, Davis",SL,breaking,77,2.19,1.13,1.23,0.1,0.3,106.2
"Sale, Chris",CH,offspeed,96,1.03,0.99,1.09,0.099,0.31,16.2
"Suarez, Ranger",CH,offspeed,57,1.11,1.24,1.34,0.098,0.42,19.6
"Martin, Davis",CH,offspeed,78,0.19,0.6,0.7,0.098,0.17,25.2
"Cecconi, Slade",CU,breaking,48,1.89,1.47,1.57,0.098,0.84,176.8
"Leiter, Jack",CH,offspeed,59,1.17,1.33,1.43,0.098,0.27,10.3
"Young, Brandon",SL,breaking,58,2.51,1.61,1.7,0.098,0.35,44.2
"Meyer, Max",CH,offspeed,60,1.36,1.26,1.36,0.097,0.41,12.7
"Sugano, Tomoyuki",FS,offspeed,93,1.39,0.61,0.7,0.096,0.24,7.8
"Martin, Davis",CU,breaking,53,2.55,1.2,1.3,0.096,0.47,166.5
"Springs, Jeffrey",SL,breaking,133,0.67,0.78,0.87,0.095,0.43,79.5
"Valdez, Framber",CU,breaking,107,1.6,1.01,1.1,0.095,0.81,177.1
"Kay, Anthony",CH,offspeed,71,0.66,1.45,1.55,0.094,0.27,20.9
"Liberatore, Matthew",SL,breaking,91,1.48,1.8,1.9,0.094,0.37,93.6
"Kirby, George",KC,breaking,61,0.82,1.49,1.58,0.093,0.43,176.9
"Baker, Bryan",CH,offspeed,81,1.42,2.57,2.66,0.092,0.43,20.7
"Seymour, Ian",ST,breaking,89,0.65,1.26,1.35,0.09,0.54,100.1
"Rodriguez, Bradgley",CH,offspeed,100,1.86,1.64,1.73,0.09,0.29,22.1
"Kelly, Kevin",CH,offspeed,50,0.43,0.79,0.88,0.089,0.26,16.3
"Bird, Jake",ST,breaking,40,2.04,1.07,1.16,0.088,0.41,141
"Headrick, Brent",SL,breaking,84,4.09,1.96,2.05,0.088,0.42,27.6
"Blackburn, Paul",CH,offspeed,59,1.13,0.83,0.92,0.087,0.24,8.7
"Funderburk, Kody",FC,fastball,58,0.33,0.16,0.25,0.086,,12
"Williams, Gavin",CU,breaking,107,1.39,1.68,1.76,0.085,0.58,172.7
"Gasser, Robert",ST,breaking,54,1.45,1.43,1.52,0.085,0.61,138.8
"Domínguez, Seranthony",ST,breaking,52,3.26,2.32,2.4,0.083,0.56,139.4
"Nola, Aaron",CH,offspeed,94,1.06,0.82,0.9,0.082,0.27,22.7
"De Los Santos, Enyel",CH,offspeed,70,1.92,1.32,1.4,0.081,0.34,6.9
"Junk, Janson",ST,breaking,57,0.95,1.17,1.25,0.081,0.97,142.2
"Cameron, Noah",SL,breaking,61,1.64,1.3,1.38,0.081,0.29,64.4
"Cole, Gerrit",SL,breaking,73,0.89,1.23,1.31,0.08,0.27,68.8
"Svanson, Matt",ST,breaking,63,0.74,1.41,1.49,0.078,0.36,150.8
"Blubaugh, AJ",CH,offspeed,64,1.63,1.57,1.65,0.078,0.31,32.2
"Weaver, Luke",CH,offspeed,80,1.79,1.35,1.43,0.077,0.29,15.5
"Painter, Andrew",ST,breaking,43,2.53,1.4,1.47,0.077,0.6,131.7
"Skenes, Paul",FS,offspeed,99,0.3,0.46,0.54,0.077,0.12,12.7
"Junk, Janson",CH,offspeed,62,1,1.3,1.38,0.076,0.29,30
"Raley, Brooks",ST,breaking,68,0.72,1.03,1.1,0.074,0.42,156.2
"Iglesias, Raisel",CH,offspeed,74,1.76,0.93,1,0.074,0.25,16.1
"Zeferjahn, Ryan",ST,breaking,97,1.52,1.92,1.99,0.074,0.46,124.3
"Gore, MacKenzie",CU,breaking,79,2.31,2.07,2.14,0.073,0.48,176.2
