pitcher,season,fb_type
424144,2020,SI
425794,2020,FF
425794,2021,FF
425794,2022,FF
425794,2023,FF
425844,2020,FF
425844,2021,FF
425844,2022,FF
425844,2023,FF
429722,2021,FF
431148,2021,FF
433589,2020,FF
433589,2021,FF
434378,2022,FF
434378,2023,FF
434378,2024,FF
434378,2025,FF
434671,2020,FF
434671,2022,FF
444468,2020,FF
445213,2020,SI
445213,2021,SI
445276,2020,SI
445276,2021,SI
445276,2022,SI
445276,2023,SI
445276,2024,SI
445276,2025,SI
445276,2026,FC
445926,2020,SI
445926,2021,SI
445926,2022,SI
445926,2023,SI
445926,2024,SI
445926,2025,SI
446321,2020,FF
446321,2021,FF
446321,2022,FF
446372,2021,FF
446372,2022,SI
446372,2023,SI
448179,2020,FF
448179,2021,FF
448179,2022,FF
448179,2023,FF
448179,2025,FF
448281,2020,FF
448281,2021,FF
448855,2020,FF
448855,2021,FF
450203,2020,FF
450203,2021,FF
450203,2022,FF
450203,2023,FF
450203,2024,FF
450203,2025,FF
451584,2020,FF
451584,2021,FF
452027,2021,FF
452657,2020,FF
452657,2021,FF
453172,2020,SI
453178,2020,FF
453178,2021,FF
453178,2022,FF
453178,2023,FF
453192,2020,FF
453192,2021,FF
453265,2020,SI
453265,2021,FF
453268,2020,FF
453268,2021,FF
453268,2022,SI
453268,2023,FF
453281,2020,SI
453281,2021,FF
453284,2020,FF
453284,2021,FF
453286,2020,FF
453286,2021,FF
453286,2022,FF
453286,2023,FF
453286,2024,FF
453286,2025,FF
453286,2026,FF
453343,2020,FC
453343,2021,FC
453343,2022,FC
453562,2020,SI
453562,2021,SI
455119,2020,FF
455119,2021,FF
455119,2022,FF
455119,2023,FF
455119,2024,FF
455119,2025,FF
455119,2026,FF
456034,2021,FF
456034,2022,FF
456501,2020,FF
456501,2021,FF
456501,2022,FF
456501,2023,FF
456501,2024,SI
456701,2020,FF
456713,2022,FF
456713,2023,FF
457915,2020,FF
457915,2021,FF
457918,2020,FF
457918,2021,FF
458676,2020,FF
458676,2021,FF
458677,2020,FF
458677,2021,FF
458677,2024,FF
458677,2025,FF
458681,2020,FF
458681,2021,FF
458681,2022,FF
458681,2023,FF
458681,2024,FF
