player_name,pitch_type,grp,n,act_miss,base,aug,gain,path_ratio,axis_diff,eff_diff_k
"Peterson, David",CU,breaking,25,2.17,3.15,4.76,1.61,0.46,176.8,0.01
"Glasnow, Tyler",KC,breaking,26,1.91,1.59,2.84,1.247,0.72,171.6,0
"Holmes, Grant",CU,breaking,27,1.74,1.91,2.89,0.978,0.54,173.5,0.03
"Taylor, Grant",CU,breaking,39,2.72,2.79,3.55,0.759,0.58,176.5,0.01
"Taylor, Grant",SL,breaking,32,0.98,2.73,3.47,0.734,0.37,145.7,0.03
"Pérez, Cionel",SV,breaking,38,1.6,1.59,2.28,0.689,0.52,171.7,0.02
"Sasaki, Roki",FO,offspeed,34,0.6,1.79,2.48,0.687,0.5,81.2,0.03
"Cavalli, Cade",KC,breaking,95,1.63,0.86,1.5,0.645,0.44,175.5,0.01
"Bello, Brayan",ST,breaking,39,0.42,1.17,1.72,0.556,0.41,167.1,0.02
"Prielipp, Connor",CU,breaking,42,1.38,1.54,2.05,0.508,0.44,175.7,0.02
"Miller, Mason",SL,breaking,75,5.12,2.66,3.16,0.499,0.39,165.8,0.02
"Lugo, Seth",CU,breaking,59,0.47,0.68,1.17,0.487,1.12,171.6,0.01
"Phillips, Tyler",CU,breaking,39,2.5,1.49,1.97,0.485,0.59,175.5,0.02
"Ohtani, Shohei",ST,breaking,57,1.86,1.62,2.1,0.484,0.62,152.9,0.01
"Alvarez, Andrew",SL,breaking,27,1.26,2.57,3.04,0.471,0.35,167.9,0.03
"Domínguez, Seranthony",ST,breaking,26,0.5,1.34,1.81,0.469,0.56,143.7,0.02
"Soriano, José",KC,breaking,82,3.15,2.76,3.2,0.449,0.52,158.9,0.01
"Nunez, Anthony",ST,breaking,43,2.43,1.67,2.12,0.446,0.37,159.9,0.01
"Jump, Gage",CU,breaking,38,0.79,1.19,1.61,0.422,0.61,170,0.02
"Williams, Gavin",ST,breaking,113,1.89,1.62,2.04,0.415,0.34,168.6,0.03
"Hudson, Bryan",ST,breaking,27,0.18,1.47,1.87,0.408,0.6,176.6,0.01
"McClanahan, Shane",SL,breaking,43,0.51,1.04,1.43,0.395,0.4,100.4,0.05
"Corbin, Patrick",CH,offspeed,26,1.24,0.96,1.35,0.389,0.46,21,0.01
"Meyer, Max",SL,breaking,60,1.03,1.74,2.13,0.387,0.19,139.8,0.05
"Morejon, Adrian",SL,breaking,25,0.91,1.18,1.56,0.373,0.32,133.9,0.04
"Leahy, Kyle",CU,breaking,51,1.5,1.37,1.73,0.365,0.45,161.7,0.01
"Roupp, Landen",CU,breaking,88,0.99,0.53,0.89,0.359,0.93,176.9,0.01
"Misiorowski, Jacob",SL,breaking,33,1.23,1.78,2.13,0.358,0.36,89.9,0.04
"Drohan, Shane",CU,breaking,26,0.92,1.12,1.48,0.355,0.79,175,0.02
"Schultz, Noah",ST,breaking,29,1.27,1.14,1.49,0.345,0.46,162.2,0.01
"Cameron, Noah",CU,breaking,76,1.11,2.03,2.36,0.333,0.5,169.6,0.02
"Ramírez, Yohan",ST,breaking,71,1.77,1.52,1.85,0.324,0.61,166.6,0.01
"Doval, Camilo",SL,breaking,40,1.7,1.48,1.79,0.315,0.43,166.3,0.01
"Lorenzen, Michael",CU,breaking,29,0.98,1.53,1.84,0.312,0.34,160.5,0.02
"Lawrence, Justin",ST,breaking,50,2.63,1.13,1.44,0.311,0.72,171.7,0.01
"Gordon, Tanner",SL,breaking,33,0.38,0.55,0.86,0.31,0.36,24,0.05
"Sproat, Brandon",CU,breaking,41,0.83,0.5,0.81,0.308,0.55,174.1,0.01
"Senga, Kodai",FO,offspeed,39,2.57,1.63,1.92,0.296,0.51,39.1,0.02
"Kay, Anthony",ST,breaking,37,1.31,0.86,1.15,0.292,0.54,163.8,0.01
"Gore, MacKenzie",SL,breaking,34,0.86,1.25,1.54,0.292,0.31,137.8,0.04
"May, Dustin",ST,breaking,88,1.41,2.12,2.41,0.292,0.46,169.2,0.02
"Liberatore, Matthew",SL,breaking,103,1.38,0.97,1.26,0.287,0.37,104.1,0.05
"Fermin, José",SL,breaking,69,1.22,1.05,1.34,0.287,0.32,56.1,0.06
"Anderson, Drew",CU,breaking,26,0.74,0.61,0.89,0.284,0.62,175.6,0
"Pérez, Eury",SL,breaking,31,1.01,1.68,1.95,0.277,0.36,53.7,0.05
"Beeter, Clayton",SL,breaking,52,2.36,1.69,1.97,0.272,0.43,172.5,0.04
"Weathers, Ryan",ST,breaking,38,1.62,1.36,1.63,0.271,0.82,161.7,0.03
"Cabrera, Edward",CH,offspeed,62,0.69,0.41,0.68,0.269,0.14,14.8,0.02
"Hart, Kyle",ST,breaking,31,1.61,0.83,1.1,0.267,0.54,156.3,0.01
"Burke, Sean",KC,breaking,82,1.64,0.9,1.17,0.266,0.66,174.9,0.01
"Klein, Will",ST,breaking,34,1.6,2.86,3.13,0.266,0.39,170.6,0.02
"Romano, Jordan",SL,breaking,32,2.11,1.22,1.49,0.265,0.41,141.1,0.04
"Leiter, Jack",SL,breaking,40,1.45,1.36,1.63,0.263,0.4,130.9,0.05
"Gore, MacKenzie",CU,breaking,89,1.25,1.45,1.71,0.262,0.48,175.6,0.02
"Ginn, J.T.",SL,breaking,58,1.17,1.72,1.98,0.258,0.26,172.6,0.02
"Kirby, George",ST,breaking,115,1.27,1.96,2.22,0.255,0.36,175.6,0.02
"Hoppe, Alex",SL,breaking,35,1.71,1.15,1.4,0.253,0.3,136,0.03
"Gilbert, Logan",FS,offspeed,106,1.35,2.06,2.3,0.244,0.49,72.3,0.04
"Mize, Casey",SL,breaking,26,0.83,0.67,0.92,0.243,0.27,45.5,0.05
"Imai, Tatsuya",SL,breaking,108,1.03,0.98,1.23,0.242,0.3,34.8,0.05
"Alvarado, Elvis",SL,breaking,31,0.78,1.73,1.97,0.241,0.36,66.3,0.06
"Yesavage, Trey",FS,offspeed,90,1.89,1.16,1.4,0.241,0.51,23.5,0.01
"Pérez, Eury",ST,breaking,49,1.19,1.8,2.04,0.24,0.6,111.8,0.03
"Cano, Yennier",FS,offspeed,34,0.5,0.33,0.57,0.235,0.24,11.6,0.02
"Wrobleski, Justin",SL,breaking,80,0.46,0.46,0.69,0.229,0.38,140.9,0.04
"Watson, Ryan",CU,breaking,27,1.17,0.81,1.04,0.228,0.52,170.3,0
"Cavalli, Cade",ST,breaking,54,1.22,0.93,1.16,0.225,0.48,175.5,0.01
"Elder, Bryce",SL,breaking,79,1.2,1.27,1.5,0.223,0.35,166.3,0.04
"Painter, Andrew",CU,breaking,28,0.52,0.88,1.09,0.21,0.56,145.8,0.02
"Junis, Jakob",ST,breaking,46,0.67,0.63,0.84,0.207,0.61,158.2,0.01
"Yesavage, Trey",SL,breaking,51,0.81,0.86,1.07,0.206,0.27,15.5,0.05
"Leiter Jr., Mark",FS,offspeed,56,1.68,1.22,1.42,0.202,0.39,29.9,0.03
"Herrin, Tim",CU,breaking,32,1.72,1.34,1.54,0.201,0.84,172.7,0
"Cabrera, Edward",SL,breaking,27,0.43,0.88,1.08,0.2,0.28,31,0.06
"Griffin, Foster",FS,offspeed,59,1.39,0.77,0.97,0.199,0.37,80.8,0.04
"Mejia, Juan",ST,breaking,56,0.77,1.06,1.25,0.197,0.61,149,0.01
"Misiorowski, Jacob",CU,breaking,53,1.49,2.01,2.21,0.196,0.32,173.3,0.02
"De Los Santos, Enyel",SL,breaking,27,1.14,0.89,1.08,0.194,0.29,17,0.04
"Manaea, Sean",ST,breaking,103,1.72,1.18,1.37,0.192,0.74,168,0.03
"Miles, Spencer",CU,breaking,48,0.54,0.96,1.15,0.192,0.74,175.7,0.01
"Phillips, Connor",ST,breaking,36,1.96,1.17,1.36,0.189,0.63,158.3,0.01
"Montero, Keider",SL,breaking,52,1.09,0.99,1.18,0.186,0.36,131.9,0.04
"Ureña, Walbert",ST,breaking,41,1.16,1.21,1.4,0.184,0.4,169.8,0.03
"Junk, Janson",ST,breaking,30,0.37,0.73,0.92,0.183,0.97,144.6,0.02
"Cruz, Fernando",FS,offspeed,97,3.35,2.73,2.91,0.182,0.69,34.3,0.02
"Flaherty, Jack",KC,breaking,65,1.25,1.05,1.23,0.181,0.78,157.5,0.01
"Kelly, Merrill",CH,offspeed,86,0.42,0.58,0.76,0.179,0.15,15.6,0.01
"Barlow, Scott",CU,breaking,38,2.03,0.94,1.12,0.179,0.98,155.2,0.01
"Poulin, PJ",ST,breaking,37,0.67,0.67,0.85,0.179,0.49,142.9,0.03
"Kelly, Merrill",CU,breaking,25,0.22,0.73,0.9,0.177,0.4,172.5,0.02
"Funderburk, Kody",ST,breaking,31,0.68,1.06,1.24,0.176,0.55,166.9,0.01
"Kay, Anthony",SL,breaking,34,1.9,0.95,1.13,0.175,0.26,162.1,0.03
"O'Brien, Riley",ST,breaking,37,2.07,1.35,1.52,0.172,0.61,171,0.01
"Beeks, Jalen",CH,offspeed,30,1.16,0.58,0.75,0.17,0.3,22.7,0.01
"Martinez, Nick",CH,offspeed,94,1.69,0.66,0.83,0.169,0.51,44.8,0.01
"Peterson, David",SL,breaking,74,0.48,0.7,0.87,0.164,0.28,72.5,0.03
"Miles, Spencer",SL,breaking,34,0.44,1.41,1.58,0.164,0.33,146.8,0.04
"Springs, Jeffrey",CH,offspeed,70,1.45,1.06,1.22,0.162,0.49,19.6,0.01
"Matthews, Zebby",SL,breaking,59,1.39,0.83,1,0.162,0.36,79.1,0.05
"Cantillo, Joey",CH,offspeed,90,1.57,1.45,1.61,0.16,0.54,20.6,0.01
"Avila, Luinder",SL,breaking,35,2.23,1.52,1.68,0.159,0.38,115,0.02
"Palmquist, Carson",ST,breaking,38,1.18,1.19,1.35,0.159,1.02,157.4,0.02
"Cameron, Noah",SL,breaking,43,1.17,0.97,1.13,0.159,0.29,63.4,0.05
"Yamamoto, Yoshinobu",CU,breaking,33,0.5,1.14,1.29,0.155,1.2,176.5,0.01
"Phillips, Tyler",ST,breaking,34,1.58,1.21,1.36,0.154,0.51,156.7,0.02
"Brown, Hunter",KC,breaking,28,0.81,1.1,1.25,0.154,0.55,170.7,0.01
"Keller, Mitch",CU,breaking,26,1.41,0.77,0.93,0.153,0.69,176.5,0
"Sale, Chris",SL,breaking,181,2.17,2.43,2.59,0.152,0.71,164.8,0.02
"Hancock, Emerson",ST,breaking,61,1.75,1.22,1.36,0.149,0.74,170.8,0.01
"Cole, Gerrit",CH,offspeed,27,0.93,1.24,1.39,0.147,0.45,23,0
"Strahm, Matt",SL,breaking,28,0.78,0.97,1.12,0.144,0.53,141.6,0.04
"Lugo, Seth",ST,breaking,28,0.62,0.58,0.72,0.143,0.82,158.1,0.02
"Martin, Davis",CH,offspeed,53,0.23,0.61,0.76,0.143,0.17,24.2,0.01
"Ober, Bailey",ST,breaking,29,1.28,0.93,1.07,0.138,0.97,150.5,0.02
"Rangel, Alan",CH,offspeed,38,1.12,1.2,1.33,0.138,0.53,21.8,0.01
"Feltner, Ryan",CH,offspeed,43,1.51,0.87,1.01,0.138,0.41,5.3,0.01
"Kilian, Caleb",KC,breaking,30,1.85,0.61,0.75,0.136,0.59,167.1,0
"Santana, Dennis",SL,breaking,55,0.76,1.23,1.37,0.135,0.37,77.6,0.05
"Young, Brandon",SL,breaking,51,2.34,0.82,0.95,0.135,0.35,46.9,0.05
"Murphy, Chris",CU,breaking,26,0.57,0.7,0.83,0.133,0.91,163.6,0.01
"Junk, Janson",SL,breaking,34,0.26,0.83,0.97,0.132,0.31,74.8,0.05
"Gordon, Tanner",CH,offspeed,36,0.45,0.59,0.72,0.132,0.34,18.2,0.01
"Rogers, Tyler",SL,breaking,39,0.22,0.86,0.99,0.131,0.66,154.2,0.01
"Meyer, Max",ST,breaking,120,1.42,2.75,2.88,0.13,0.26,160.1,0.02
"Weiss, Ryan",ST,breaking,30,1.63,1.12,1.25,0.129,0.46,159.8,0.01
"McLean, Nolan",ST,breaking,25,1.01,1.2,1.32,0.128,0.57,173.4,0.02
"Gray, Sonny",ST,breaking,109,1.75,2.41,2.54,0.127,0.27,159.3,0.01
"Bruihl, Justin",ST,breaking,64,0.5,1.71,1.84,0.127,0.69,173.3,0.01
"Roberts, Ethan",ST,breaking,25,0.93,0.93,1.05,0.125,0.38,149,0.01
"Martin, Davis",SL,breaking,55,1.17,0.78,0.91,0.124,0.3,111.9,0.03
"Williams, Gavin",CU,breaking,94,0.6,1.28,1.4,0.124,0.58,173.4,0.01
"Eisert, Brandon",SL,breaking,29,1.07,0.75,0.87,0.124,0.26,98,0.04
"Ritchie, JR",CU,breaking,44,1.17,0.85,0.97,0.123,0.46,177.5,0
"Soroka, Michael",SV,breaking,96,1.42,1.33,1.45,0.121,0.54,170.9,0.01
"Loáisiga, Jonathan",CH,offspeed,47,1.01,0.72,0.84,0.119,0.27,20.8,0.02
"Miller, Bryce",FS,offspeed,62,0.89,1.42,1.54,0.119,0.41,21.2,0.02
"Lee, Dylan",SL,breaking,68,0.95,1.16,1.27,0.115,0.38,52.9,0.06
"Williams, Devin",CH,offspeed,73,0.85,1.15,1.26,0.113,0.37,48,0.01
"Teng, Kai-Wei",ST,breaking,64,1.67,1.2,1.32,0.113,0.48,171.9,0.01
"Bello, Brayan",CH,offspeed,40,0.98,0.61,0.72,0.112,0.28,20.9,0.02
"Wheeler, Zack",CU,breaking,32,1.79,1.47,1.58,0.111,0.45,175.6,0.01
"Fedde, Erick",CH,offspeed,31,0.36,0.43,0.54,0.111,0.16,21.6,0.01
"Jump, Gage",SL,breaking,29,0.41,1.02,1.14,0.111,0.33,95,0.04
"Gallen, Zac",CH,offspeed,38,0.56,0.68,0.79,0.11,0.28,16.3,0.01
"Collyer, Gavin",ST,breaking,25,0.36,1.04,1.15,0.109,0.39,166.7,0.02
"Canning, Griffin",CH,offspeed,39,0.24,0.67,0.78,0.107,0.2,29.7,0.02
"Lorenzen, Michael",SL,breaking,31,1,1.05,1.15,0.106,0.26,119.4,0.05
"Keller, Mitch",CH,offspeed,25,0.62,0.62,0.72,0.106,0.14,20.5,0.01
"Lynch IV, Daniel",SL,breaking,32,1.55,0.92,1.03,0.106,0.32,71.3,0.05
"Bibee, Tanner",CU,breaking,36,0.89,1.01,1.12,0.106,0.59,166.5,0.01
"Wheeler, Zack",ST,breaking,28,2.29,1.29,1.4,0.105,0.56,174.2,0.01
"Bender, Anthony",ST,breaking,61,1.41,0.95,1.05,0.105,0.83,169.4,0.01
"Rocker, Kumar",SL,breaking,149,1.92,1.64,1.75,0.105,0.41,164.6,0.04
"Burrows, Mike",SL,breaking,36,0.39,0.54,0.64,0.103,0.21,34.7,0.04
"Ober, Bailey",CH,offspeed,72,0.7,0.6,0.7,0.101,0.32,35.7,0.01
"Buehler, Walker",KC,breaking,42,0.74,0.67,0.77,0.1,0.58,167.9,0.01
"Woods Richardson, Simeon",SL,breaking,28,0.41,0.67,0.77,0.099,0.28,34.4,0.05
"Lodolo, Nick",CU,breaking,57,1.97,1.64,1.74,0.097,0.51,170,0.04
"Watson, Ryan",ST,breaking,43,1.3,0.78,0.88,0.097,0.42,120.4,0.02
"Gray, Peyton",CH,offspeed,59,1.2,0.99,1.09,0.097,0.44,24.9,0.01
"Nola, Aaron",CH,offspeed,32,0.91,0.74,0.84,0.096,0.27,23.9,0.01
"Valdez, Framber",CU,breaking,99,1.32,0.99,1.08,0.096,0.81,176.9,0.01
"Winn, Cole",SL,breaking,35,1.53,1.74,1.84,0.096,0.28,143.2,0.04
"Ashcraft, Braxton",CU,breaking,128,1.3,0.85,0.95,0.096,0.54,175.9,0.02
"Eovaldi, Nathan",CU,breaking,76,1.51,1.07,1.17,0.095,0.83,173.6,0.02
"Mlodzinski, Carmen",CU,breaking,30,0.69,1.64,1.73,0.095,0.4,174.6,0.02
"Seymour, Ian",ST,breaking,55,0.43,0.78,0.88,0.095,0.54,102.8,0.02
"Chandler, Bubba",SL,breaking,57,0.66,1.44,1.53,0.095,0.3,68.8,0.05
"Luzardo, Jesús",ST,breaking,141,2.07,2.33,2.43,0.094,0.45,155.9,0.03
"McLean, Nolan",CU,breaking,103,1,1.75,1.85,0.094,0.64,174.5,0.01
"Dreyer, Jack",SL,breaking,43,0.77,0.94,1.03,0.092,0.26,22.6,0.05
"Taillon, Jameson",ST,breaking,57,1.4,1.07,1.16,0.091,0.48,147.4,0.02
"Suarez, Ranger",CU,breaking,38,2.04,0.73,0.83,0.091,0.62,176.8,0.01
"Holmes, Grant",SL,breaking,123,1.57,1.71,1.8,0.091,0.3,167.2,0.04
"Yamamoto, Yoshinobu",FS,offspeed,106,0.72,0.81,0.9,0.091,0.17,23.9,0.02
"Castillo, Luis",CH,offspeed,37,0.15,0.61,0.7,0.09,0.28,27.6,0.01
"Gómez, Yoendrys",ST,breaking,38,0.62,1.06,1.15,0.09,0.51,132.7,0.02
"Varland, Gus",SL,breaking,36,0.61,1.01,1.1,0.09,0.35,103.4,0.06
"Kolek, Stephen",SL,breaking,36,1.37,1.11,1.2,0.089,0.31,138.7,0.04
"Adam, Jason",CH,offspeed,36,0.12,0.65,0.74,0.088,0.17,20,0.01
"Montero, Keider",CH,offspeed,33,0.51,0.66,0.75,0.086,0.3,12.2,0.01
"Kelly, Merrill",SL,breaking,38,1.36,0.6,0.68,0.082,0.24,67.5,0.04
"Feltner, Ryan",ST,breaking,26,0.76,1.14,1.22,0.082,0.49,152.7,0.01
"Scott, Christian",ST,breaking,51,0.88,0.87,0.96,0.082,0.61,147.7,0.05
"Yarbrough, Ryan",ST,breaking,25,0.56,1.48,1.56,0.081,1.17,147.9,0.03
"Waldron, Matt",KN,other,30,0.36,0.91,0.99,0.081,,106.5,0.09
"Svanson, Matt",ST,breaking,41,0.87,0.96,1.05,0.081,0.36,159,0.02
"Boyd, Matthew",CH,offspeed,57,1.11,0.61,0.69,0.079,0.5,13,0.01
"Ryan, Joe",KC,breaking,75,1.2,1.31,1.39,0.079,0.75,168.5,0.02
"Leiter, Jack",CH,offspeed,60,0.65,0.89,0.97,0.079,0.27,11.9,0.01
"Rodón, Carlos",CH,offspeed,26,0.92,0.98,1.06,0.078,0.3,8.3,0.02
"Buehler, Walker",ST,breaking,34,0.37,0.93,1.01,0.078,0.48,121.4,0.02
"Junk, Janson",CH,offspeed,30,0.65,0.97,1.05,0.078,0.29,31.6,0.02
"Valdez, Framber",SL,breaking,27,1.37,0.74,0.82,0.077,0.34,125.1,0.05
"Romero, JoJo",CH,offspeed,27,0.83,0.49,0.57,0.077,0.25,15.4,0.02
"Ginn, J.T.",CH,offspeed,49,0.57,0.6,0.67,0.076,0.16,13.4,0.02
"Fluharty, Mason",FC,fastball,50,0.13,0.32,0.39,0.076,,9.1,0
"Ashcraft, Braxton",SL,breaking,80,0.44,0.83,0.91,0.075,0.25,53.7,0.05
"Ribalta, Orlando",SL,breaking,34,0.42,1,1.08,0.075,0.29,33.2,0.05
"Skubal, Tarik",CH,offspeed,72,2.41,1.16,1.24,0.074,0.3,20.9,0.01
"Fisher, Braydon",SL,breaking,60,1.13,0.56,0.64,0.074,0.21,20.9,0.05
"Jones, Jared",SL,breaking,45,1.13,1.54,1.61,0.074,0.27,111.7,0.04
"Johnson, Ryan",FS,offspeed,32,0.59,0.6,0.67,0.074,0.35,22.4,0.01
"Lowder, Rhett",CH,offspeed,31,0.73,0.76,0.83,0.073,0.29,30,0.01
"Early, Connelly",CH,offspeed,49,0.43,0.8,0.87,0.073,0.41,37.6,0.01
"Okert, Steven",SL,breaking,111,1.15,0.87,0.94,0.072,0.48,128.8,0.03
"Gore, MacKenzie",CH,offspeed,50,1.63,0.95,1.02,0.072,0.29,28.4,0.01
"Skenes, Paul",ST,breaking,38,0.91,0.85,0.92,0.072,0.61,141.1,0.03
"Brazobán, Huascar",CH,offspeed,59,0.87,0.5,0.57,0.071,0.24,9.4,0.01
"Maton, Phil",FC,fastball,34,0.16,0.25,0.32,0.071,,29.5,0.02
"Webb, Jacob",CH,offspeed,64,1.04,0.77,0.84,0.07,0.3,22.5,0.01
"Luzardo, Jesús",CH,offspeed,55,1.15,0.95,1.02,0.069,0.41,7,0.01
"Strider, Spencer",SL,breaking,31,1.18,1.29,1.35,0.069,0.5,42,0.05
"Ryan, Joe",FS,offspeed,41,0.55,0.57,0.64,0.068,0.18,15.6,0.01
"Whitlock, Garrett",CH,offspeed,32,1.02,1.03,1.09,0.068,0.37,38.6,0.02
"Sasaki, Roki",SL,breaking,36,1.33,1.47,1.54,0.068,0.45,153.2,0.05
"Garcia, Rico",CH,offspeed,38,0.91,0.78,0.84,0.066,0.39,16.7,0.01
"Griffin, Foster",ST,breaking,53,0.79,0.57,0.64,0.065,0.6,155.3,0.01
"Pallante, Andre",SL,breaking,73,0.81,0.83,0.89,0.065,0.29,82.2,0.02
"Buehler, Walker",SL,breaking,28,0.84,0.87,0.94,0.064,0.32,81,0.04
"Sheehan, Emmet",SL,breaking,91,1.35,0.99,1.05,0.064,0.25,40.3,0.05
"Sánchez, Cristopher",CH,offspeed,157,1.3,0.91,0.97,0.062,0.33,15.4,0.01
"Cameron, Noah",CH,offspeed,47,1.3,1.02,1.08,0.061,0.61,22.9,0.01
"Jax, Griffin",ST,breaking,36,1.74,1.91,1.96,0.059,0.36,164.1,0.03
"Myers, Tobias",FS,offspeed,37,0.91,1.88,1.94,0.058,0.66,4.7,0.01
"Cease, Dylan",SL,breaking,94,1.5,1.49,1.54,0.057,0.29,74.6,0.06
"Valdez, Framber",CH,offspeed,58,0.13,0.39,0.44,0.057,0.2,13.6,0.01
"Burke, Sean",SL,breaking,45,1.86,1.09,1.14,0.056,0.29,47.2,0.04
"Lambert, Peter",SL,breaking,36,1.14,0.79,0.84,0.055,0.28,113.8,0.05
"Soriano, José",FS,offspeed,70,0.69,0.8,0.86,0.055,0.17,13.7,0.01
"Sugano, Tomoyuki",FS,offspeed,48,0.76,0.48,0.53,0.052,0.24,8.1,0.01
"Singer, Brady",SL,breaking,66,1.49,1.05,1.1,0.052,0.37,124.9,0.03
"McLean, Nolan",CH,offspeed,30,0.38,1.06,1.11,0.052,0.34,28.6,0.03
"Gausman, Kevin",FS,offspeed,136,1.24,1,1.05,0.051,0.36,19.3,0.01
"McGreevy, Michael",CH,offspeed,53,0.44,0.48,0.53,0.051,0.18,8.9,0.01
"Mikolas, Miles",SL,breaking,38,0.47,0.52,0.57,0.049,0.25,43.6,0.04
"Suarez, Ranger",CH,offspeed,42,0.62,0.8,0.85,0.049,0.42,21.9,0.02
"Sproat, Brandon",ST,breaking,35,1.54,1.27,1.32,0.049,0.35,159.1,0.01
"Rogers, Tyler",SI,fastball,75,0.13,0.08,0.13,0.048,,6.4,0.01
"Ritchie, JR",CH,offspeed,26,0.39,0.8,0.85,0.048,0.17,19.8,0.01
"Ashcraft, Graham",SL,breaking,46,2.93,1.36,1.4,0.047,0.25,153.7,0.01
"Rea, Colin",SL,breaking,46,0.81,0.76,0.81,0.046,0.26,119.9,0.04
"King, Michael",ST,breaking,42,0.55,0.99,1.04,0.044,0.54,153.4,0.02
"Holmes, Clay",CH,offspeed,41,0.87,0.63,0.67,0.043,0.22,28.9,0.03
"Buehler, Walker",CH,offspeed,25,0.66,0.74,0.78,0.043,0.17,35.2,0.02
"Alvarez, Andrew",CU,breaking,74,1.2,1.94,1.98,0.043,0.54,168.8,0.01
