player_name,pitch_type,grp,n,act,base,aug,gain,path_ratio,axis_diff,as_gap
"Young, Brandon",FS,offspeed,48,0.68,1.03,1.72,0.683,0.36,24.7,-0.287
"Griffin, Foster",FS,offspeed,59,1.39,0.84,1.52,0.682,0.37,80.8,-0.773
"Taylor, Grant",SL,breaking,32,0.98,2.73,3.4,0.672,0.37,145.7,-0.607
"Glasnow, Tyler",KC,breaking,26,1.91,1.22,1.87,0.652,0.72,171.6,0.057
"Richards, Trevor",CH,offspeed,43,3.03,0.85,1.49,0.64,0.66,60.9,-0.406
"McLean, Nolan",ST,breaking,25,1.01,1.14,1.75,0.609,0.57,173.4,-0.294
"Cruz, Fernando",FS,offspeed,97,3.35,2.53,3.1,0.563,0.69,34.3,-0.442
"Pérez, Eury",SL,breaking,31,1.01,1.44,1.95,0.507,0.36,53.7,-0.647
"Montgomery, Mason",CU,breaking,26,0.74,3.25,3.74,0.491,0.5,164.7,-0.534
"Mlodzinski, Carmen",FS,offspeed,86,0.63,0.91,1.37,0.467,0.33,24.7,-0.308
"Gilbert, Logan",CU,breaking,35,1.94,1.48,1.94,0.458,0.68,167.1,
"Cavalli, Cade",ST,breaking,54,1.22,0.97,1.43,0.458,0.48,175.5,-0.071
"May, Dustin",ST,breaking,88,1.41,2.03,2.45,0.423,0.46,169.2,-0.307
"Junk, Janson",ST,breaking,30,0.37,0.7,1.1,0.401,0.97,144.6,-0.401
"Senga, Kodai",FO,offspeed,39,2.57,1.6,1.99,0.394,0.51,39.1,
"Miller, Mason",SL,breaking,75,5.12,2.71,3.1,0.388,0.39,165.8,-0.252
"Avila, Luinder",SL,breaking,35,2.23,1.38,1.76,0.381,0.38,115,-0.325
"Nance, Tommy",CU,breaking,56,0.74,1.2,1.58,0.379,0.48,158.6,-0.095
"Klein, Will",ST,breaking,34,1.6,2.49,2.87,0.379,0.39,170.6,-0.502
"Kerkering, Orion",ST,breaking,53,1.12,1.16,1.52,0.355,0.49,169.5,-0.488
"Imai, Tatsuya",SL,breaking,108,1.03,0.83,1.18,0.353,0.3,34.8,-0.767
"Tolle, Payton",CU,breaking,37,2.21,1.38,1.72,0.331,0.56,156.5,-0.457
"Fried, Max",CH,offspeed,36,1.02,0.99,1.3,0.316,0.26,23.5,-0.079
"Fermin, José",SL,breaking,69,1.22,0.96,1.28,0.315,0.32,56.1,-0.763
"Hart, Kyle",FS,offspeed,29,0.66,0.81,1.11,0.306,0.27,59.9,-0.307
"Soriano, José",KC,breaking,82,3.15,2.48,2.78,0.306,0.52,158.9,-0.28
"Weathers, Ryan",CH,offspeed,88,1.19,0.87,1.17,0.306,0.35,20.9,-0.307
"Cavalli, Cade",KC,breaking,95,1.63,0.88,1.18,0.3,0.44,175.5,-0.041
"Leahy, Kyle",CU,breaking,51,1.5,1.21,1.5,0.297,0.45,161.7,-0.056
"Englert, Mason",CH,offspeed,45,0.88,0.77,1.06,0.285,0.21,23.5,-0.29
"Beeks, Jalen",CH,offspeed,30,1.16,0.53,0.8,0.269,0.3,22.7,-0.017
"Sale, Chris",SL,breaking,181,2.17,2.12,2.39,0.268,0.71,164.8,-0.276
"Watson, Ryan",CU,breaking,27,1.17,0.91,1.17,0.265,0.52,170.3,0.001
"Peterson, David",CU,breaking,25,2.17,2.71,2.96,0.254,0.46,176.8,0.006
"Nunez, Anthony",ST,breaking,43,2.43,1.63,1.89,0.254,0.37,159.9,-0.326
"Gordon, Tanner",SL,breaking,33,0.38,0.57,0.82,0.248,0.36,24,-0.496
"Farris, Mitch",CH,offspeed,36,1.99,0.66,0.91,0.247,0.43,50.3,0.007
"Santana, Dennis",SL,breaking,55,0.76,1.11,1.36,0.245,0.37,77.6,-0.761
"Whitlock, Garrett",SL,breaking,38,2.31,1.87,2.11,0.244,0.29,154,-0.761
"Gore, MacKenzie",CU,breaking,89,1.25,1.47,1.71,0.243,0.48,175.6,-0.217
"Drohan, Shane",CU,breaking,26,0.92,1.17,1.42,0.241,0.79,175,-0.239
"Taylor, Grant",CU,breaking,39,2.72,2.83,3.07,0.239,0.58,176.5,-0.049
"Alvarez, Andrew",CU,breaking,74,1.2,2.13,2.37,0.235,0.54,168.8,-0.072
"Cameron, Noah",CU,breaking,76,1.11,1.92,2.15,0.235,0.5,169.6,-0.233
"Márquez, Germán",KC,breaking,51,0.95,1.27,1.5,0.233,0.46,117,-0.834
"Hudson, Bryan",ST,breaking,27,0.18,1.47,1.71,0.233,0.6,176.6,-0.014
"Rogers, Tyler",SL,breaking,39,0.22,0.7,0.93,0.232,0.66,154.2,-0.098
"Jax, Griffin",ST,breaking,36,1.74,1.97,2.2,0.231,0.36,164.1,-0.487
"Lugo, Seth",CU,breaking,59,0.47,0.73,0.96,0.224,1.12,171.6,-0.059
"Bazardo, Eduard",ST,breaking,38,0.52,0.81,1.04,0.224,0.7,172.7,-0.326
"McClanahan, Shane",SL,breaking,43,0.51,1.16,1.38,0.224,0.4,100.4,-0.757
"Ober, Bailey",ST,breaking,29,1.28,1.02,1.23,0.21,0.97,150.5,-0.314
"De Los Santos, Enyel",SL,breaking,27,1.14,0.87,1.08,0.206,0.29,17,-0.58
"Sánchez, Cristopher",SL,breaking,60,1.25,0.97,1.18,0.205,0.44,166.7,-0.585
"Varland, Louis",KC,breaking,46,1.28,2.13,2.33,0.196,0.42,168.4,-0.337
"Teng, Kai-Wei",ST,breaking,64,1.67,1.11,1.3,0.195,0.48,171.9,-0.365
"Skubal, Tarik",CH,offspeed,72,2.41,1,1.19,0.192,0.3,20.9,-0.196
"Messick, Parker",CH,offspeed,101,0.85,0.85,1.04,0.191,0.33,29.4,-0.159
"Liberatore, Matthew",SL,breaking,103,1.38,1.05,1.24,0.188,0.37,104.1,-0.72
"Phillips, Tyler",ST,breaking,34,1.58,1.23,1.41,0.184,0.51,156.7,-0.544
"Parker, Mitchell",SL,breaking,56,1.37,1.71,1.89,0.184,0.66,151.8,-0.653
"Abbott, Andrew",CH,offspeed,38,1.43,0.67,0.86,0.182,0.26,15.8,-0.047
"Gore, MacKenzie",SL,breaking,34,0.86,1.26,1.44,0.18,0.31,137.8,-0.709
"Misiorowski, Jacob",SL,breaking,33,1.23,1.61,1.79,0.18,0.36,89.9,-0.53
"Rogers, Taylor",ST,breaking,59,0.17,0.94,1.12,0.174,0.72,161.2,-0.237
"Svanson, Matt",ST,breaking,41,0.87,0.85,1.03,0.174,0.36,159,-0.437
"King, Michael",ST,breaking,42,0.55,0.83,1,0.173,0.54,153.4,-0.314
"Garcia, Brandyn",ST,breaking,31,2.7,1.22,1.39,0.173,0.32,164.5,-0.27
"Cornelio, Riley",SL,breaking,37,1.67,1.44,1.61,0.172,0.56,75.4,-0.885
"Hancock, Emerson",ST,breaking,61,1.75,0.99,1.16,0.169,0.74,170.8,-0.18
"Phillips, Connor",ST,breaking,36,1.96,1.12,1.29,0.169,0.63,158.3,-0.381
"Imanaga, Shota",FS,offspeed,132,1.37,0.86,1.03,0.167,0.29,18.7,-0.056
"Cabrera, Edward",SL,breaking,27,0.43,0.87,1.04,0.164,0.28,31,-0.714
"Erceg, Lucas",SL,breaking,40,0.69,1.85,2.01,0.164,0.51,156.7,-0.683
"Morán, Jovani",CH,offspeed,39,2.31,0.9,1.06,0.163,0.42,29.1,0.023
"Brubaker, JT",SL,breaking,34,0.93,1.13,1.29,0.163,0.2,78.5,-0.748
"Matthews, Zebby",SL,breaking,59,1.39,0.87,1.03,0.162,0.36,79.1,-0.718
"Holmes, Clay",CH,offspeed,41,0.87,0.49,0.65,0.161,0.22,28.9,-0.04
"Bednar, David",FS,offspeed,72,1.1,0.77,0.93,0.159,0.17,6.6,-0.282
"Early, Connelly",CH,offspeed,49,0.43,0.82,0.98,0.158,0.41,37.6,-0.102
"Cabrera, Edward",CH,offspeed,62,0.69,0.38,0.54,0.155,0.14,14.8,-0.011
"Domínguez, Seranthony",ST,breaking,26,0.5,1.26,1.42,0.154,0.56,143.7,-0.423
"Montero, Keider",SL,breaking,52,1.09,1.05,1.2,0.154,0.36,131.9,-0.635
"Johnson, Pierce",CU,breaking,53,1.28,1.25,1.4,0.153,0.38,170.1,-0.555
"Griffin, Foster",CU,breaking,44,1.28,0.45,0.6,0.153,0.55,176.5,-0.122
"Rogers, Trevor",ST,breaking,68,0.93,0.98,1.13,0.153,0.75,138.8,-0.525
"Martinez, Nick",CH,offspeed,94,1.69,0.75,0.9,0.15,0.51,44.8,-0.084
"Orze, Eric",FS,offspeed,64,0.99,1.01,1.16,0.15,0.31,28.4,-0.242
"Sasaki, Roki",SL,breaking,36,1.33,1.57,1.72,0.15,0.45,153.2,-0.689
"Ryan, Joe",FS,offspeed,41,0.55,0.6,0.75,0.144,0.18,15.6,-0.092
"Civale, Aaron",CU,breaking,58,0.77,0.56,0.7,0.14,0.74,166.3,-0.21
"Kirby, George",ST,breaking,115,1.27,1.94,2.08,0.14,0.36,175.6,-0.395
"Matsui, Yuki",FS,offspeed,46,1.75,0.81,0.95,0.14,0.34,36.2,-0.237
"Chandler, Bubba",CH,offspeed,60,0.77,0.79,0.93,0.139,0.24,23.5,-0.004
"Peralta, Wandy",CH,offspeed,51,0.85,0.77,0.91,0.138,0.24,8.4,-0.111
"Jax, Griffin",CH,offspeed,63,1.15,0.79,0.93,0.136,0.18,16.7,-0.066
"Funderburk, Kody",ST,breaking,31,0.68,1.21,1.35,0.136,0.55,166.9,-0.116
"Aldegheri, Sam",CH,offspeed,31,0.86,0.83,0.97,0.136,0.42,54.1,-0.011
"Henderson, Logan",CH,offspeed,49,1.22,0.9,1.03,0.133,0.39,38.7,-0.052
"Williams, Gavin",ST,breaking,113,1.89,1.78,1.91,0.13,0.34,168.6,-0.4
"Arrighetti, Spencer",CU,breaking,74,1.34,1.32,1.45,0.13,0.73,168.8,-0.125
"Collyer, Gavin",ST,breaking,25,0.36,1.01,1.14,0.128,0.39,166.7,-0.355
"Mlodzinski, Carmen",CU,breaking,30,0.69,1.47,1.6,0.126,0.4,174.6,-0.279
"Yesavage, Trey",FS,offspeed,90,1.89,1.15,1.28,0.126,0.51,23.5,-0.111
"Anderson, Grant",ST,breaking,40,1.46,0.84,0.96,0.121,0.51,153.9,-0.19
"Rodón, Carlos",SL,breaking,52,1.47,1.25,1.37,0.12,0.38,139.7,-0.816
"Garcia, Julian",ST,breaking,32,1,1.81,1.93,0.12,0.53,142.3,-0.32
"Woo, Bryan",ST,breaking,62,1.92,1.12,1.24,0.119,0.45,159,-0.481
"Montero, Keider",KC,breaking,45,0.4,1.14,1.26,0.116,0.79,169.3,-0.283
"Cabrera, Edward",CU,breaking,28,1.76,1.58,1.69,0.115,0.42,168.6,-0.348
"Boyd, Matthew",SL,breaking,30,2.13,1.34,1.45,0.112,0.37,136.5,-0.767
"Valdez, Framber",CH,offspeed,58,0.13,0.4,0.51,0.112,0.2,13.6,-0.032
"Sánchez, Cristopher",CH,offspeed,157,1.3,0.83,0.94,0.111,0.33,15.4,-0.068
"Holton, Tyler",ST,breaking,28,0.78,0.88,0.99,0.111,0.7,151.4,-0.177
"Ramírez, Yohan",ST,breaking,71,1.77,1.58,1.69,0.111,0.61,166.6,-0.281
"Holmes, Grant",CU,breaking,27,1.74,1.8,1.91,0.11,0.54,173.5,-0.429
"Ginn, J.T.",CH,offspeed,49,0.57,0.6,0.71,0.11,0.16,13.4,-0.101
"Rodriguez, Bradgley",CH,offspeed,68,0.65,0.93,1.04,0.11,0.29,23.4,0.065
"Bubic, Kris",CH,offspeed,29,0.5,0.84,0.95,0.108,0.21,40.5,-0.109
"Lodolo, Nick",CU,breaking,57,1.97,1.48,1.59,0.108,0.51,170,-0.513
"Lugo, Seth",ST,breaking,28,0.62,0.59,0.7,0.107,0.82,158.1,-0.299
"Irvin, Jake",CU,breaking,37,1.16,0.89,0.99,0.107,0.73,160.4,-0.042
"Seymour, Ian",CH,offspeed,82,0.93,0.78,0.89,0.107,0.29,23.7,0.015
"Thielbar, Caleb",CU,breaking,29,1.14,0.62,0.73,0.106,0.78,164.7,-0.174
"Lee, Dylan",SL,breaking,68,0.95,1.09,1.19,0.104,0.38,52.9,-0.796
"Scott, Christian",CU,breaking,29,0.87,1.37,1.47,0.099,0.44,151.8,-0.327
"Alcantara, Sandy",CH,offspeed,88,0.5,0.68,0.78,0.098,0.2,10.3,-0.065
"Canning, Griffin",CH,offspeed,39,0.24,0.67,0.77,0.098,0.2,29.7,-0.037
"Sproat, Brandon",CU,breaking,41,0.83,0.71,0.81,0.098,0.55,174.1,-0.078
"Phillips, Tyler",CU,breaking,39,2.5,1.62,1.71,0.097,0.59,175.5,-0.247
