player_name,pitch_type,grp,n,act,base,aug,gain,path_ratio,axis_diff,as_gap
"Wacha, Michael",CU,breaking,60,0.48,0.34,1.3,0.956,1.07,172.1,-0.171
"May, Dustin",ST,breaking,152,1.14,2.38,3.21,0.834,0.46,169.1,-0.307
"Lawrence, Justin",ST,breaking,96,3.25,1.08,1.89,0.817,0.72,171.2,-0.202
"Taylor, Grant",SL,breaking,61,1.58,3.52,4.33,0.81,0.37,143,-0.607
"Houser, Adrian",SL,breaking,69,0.3,1.16,1.93,0.771,0.37,60.6,-0.583
"Alvarez, Andrew",CU,breaking,134,1.76,1.95,2.72,0.769,0.54,168.5,-0.072
"Mlodzinski, Carmen",FS,offspeed,203,0.87,1.15,1.9,0.748,0.33,26.3,-0.308
"Bradish, Kyle",CU,breaking,193,2.7,0.95,1.65,0.7,0.3,154.8,0.042
"Bazardo, Eduard",ST,breaking,109,1,1.03,1.71,0.684,0.7,172.6,-0.326
"Sasaki, Roki",SL,breaking,157,2.14,1.68,2.36,0.679,0.45,153.2,-0.689
"McLean, Nolan",ST,breaking,81,1.02,0.76,1.41,0.649,0.57,174.1,-0.294
"Hancock, Emerson",ST,breaking,104,1.91,1.13,1.77,0.643,0.74,171.3,-0.18
"Griffin, Foster",FS,offspeed,65,1.99,1.24,1.87,0.634,0.37,77.6,-0.773
"Nance, Tommy",CU,breaking,93,1.23,1.24,1.87,0.633,0.48,159,-0.095
"Varland, Louis",KC,breaking,125,1.81,2.07,2.7,0.632,0.42,168,-0.337
"Parker, Mitchell",SL,breaking,172,1.47,1.85,2.45,0.596,0.66,152,-0.653
"Young, Brandon",FS,offspeed,147,0.9,1.38,1.96,0.579,0.36,24.8,-0.287
"Skubal, Tarik",CH,offspeed,217,2.63,1.72,2.28,0.565,0.3,21,-0.196
"Lugo, Seth",CU,breaking,125,0.59,0.62,1.17,0.549,1.12,170.6,-0.059
"Burke, Brock",SL,breaking,94,1.97,1.91,2.43,0.52,0.45,16.3,-0.565
"Harrison, Kyle",CH,offspeed,62,0.6,1.25,1.77,0.516,0.33,43.3,-0.103
"Chivilli, Angel",SL,breaking,41,2.02,0.53,1.03,0.504,0.19,,-0.699
"Morgan, Eli",CH,offspeed,57,0.7,1.25,1.74,0.496,0.57,48.8,-0.126
"Macko, Adam",SL,breaking,82,1.93,1.36,1.85,0.486,0.49,45.9,-0.678
"Cabrera, Edward",SL,breaking,67,1.95,1.32,1.8,0.485,0.28,31.7,-0.714
"De Los Santos, Enyel",SL,breaking,102,1.5,1.41,1.89,0.481,0.29,18.5,-0.58
"Erceg, Lucas",SL,breaking,99,1.52,2.35,2.82,0.472,0.51,159.2,-0.683
"Rucker, Michael",CU,breaking,48,1.6,1.46,1.92,0.459,0.53,170.9,-0.015
"Messick, Parker",CH,offspeed,243,1.23,1.09,1.54,0.453,0.33,29.2,-0.159
"Murphy, Chris",CU,breaking,43,1.06,1.09,1.54,0.448,0.91,163.3,0.029
"Nunez, Anthony",CH,offspeed,76,1.87,1.38,1.82,0.447,0.25,65.3,-0.17
"Garcia, Rico",SL,breaking,68,1.08,1.14,1.58,0.44,0.28,14.7,-0.651
"Arrighetti, Spencer",ST,breaking,84,1.27,1.74,2.17,0.43,0.51,156.5,-0.354
"De Jesus, Enmanuel",CH,offspeed,48,1.07,0.97,1.4,0.426,0.19,13,-0.077
"Ashcraft, Braxton",CU,breaking,245,1.7,1.21,1.63,0.423,0.54,176,-0.281
"Yamamoto, Yoshinobu",CU,breaking,101,1.14,1.75,2.16,0.417,1.2,176.8,0.005
"Peterson, David",CU,breaking,60,2.14,2.74,3.15,0.412,0.46,175.7,0.006
"Senga, Kodai",FO,offspeed,83,2.74,2.67,3.08,0.407,0.51,38.7,
"Ahlstrom, Robby",SL,breaking,42,0.94,1.23,1.64,0.407,0.38,73.7,-0.709
"Kilian, Caleb",SL,breaking,51,1.86,1.32,1.73,0.406,0.36,99.1,-0.488
"Avila, Luinder",SL,breaking,102,1.37,1.49,1.88,0.398,0.38,107.5,-0.325
"Kikuchi, Yusei",SL,breaking,69,0.73,1.09,1.49,0.397,0.39,99.8,-0.676
"Imai, Tatsuya",SL,breaking,269,1.47,1.45,1.85,0.397,0.3,34.4,-0.767
"Martinez, Nick",CH,offspeed,220,2.15,1.53,1.93,0.396,0.51,43.1,-0.084
"Herget, Jimmy",SL,breaking,81,1.18,0.55,0.95,0.396,0.28,38.7,-0.492
"Farris, Mitch",CH,offspeed,81,3.47,1.17,1.56,0.389,0.43,50.7,0.007
"Strider, Spencer",SL,breaking,92,2.25,1.85,2.23,0.382,0.5,38.8,-0.64
"Warren, Austin",ST,breaking,117,1.2,1.41,1.78,0.373,0.46,175,-0.418
"Miller, Erik",SL,breaking,110,2.83,3.71,4.08,0.369,0.48,148.8,-0.778
"Márquez, Germán",SL,breaking,52,1.22,1.43,1.8,0.362,0.3,29.1,-0.721
"Strahm, Matt",SL,breaking,75,1.52,1.29,1.65,0.358,0.53,130.8,-0.759
"Weissert, Greg",ST,breaking,44,1.33,0.8,1.16,0.358,0.73,154.6,-0.148
"Matthews, Zebby",SL,breaking,142,1.28,1.08,1.44,0.358,0.36,71.8,-0.718
"Maton, Phil",CU,breaking,79,1.35,1.21,1.56,0.354,0.68,157.6,0.248
"Wilcox, Cole",ST,breaking,48,0.99,1.86,2.21,0.346,0.41,157.2,-0.435
"Pérez, Eury",SL,breaking,120,1.69,2.42,2.76,0.345,0.36,56.2,-0.647
"Misiorowski, Jacob",SL,breaking,105,1.29,2.1,2.44,0.343,0.36,81.8,-0.53
"Rogers, Trevor",ST,breaking,115,1.46,0.95,1.29,0.342,0.75,138,-0.525
"Whitlock, Garrett",SL,breaking,89,2.6,2.12,2.46,0.337,0.29,142.1,-0.761
"Barnett, Mason",SL,breaking,56,1.01,0.88,1.21,0.337,0.37,115.6,-0.493
"Kirby, George",ST,breaking,267,1.08,2.06,2.4,0.332,0.36,175.4,-0.395
"Holmes, Grant",CU,breaking,57,2.11,2.64,2.98,0.331,0.54,172.9,-0.429
"Sproat, Brandon",CU,breaking,72,1.33,0.86,1.19,0.331,0.55,174.1,-0.078
"Garcia, Brandyn",ST,breaking,50,3.09,1.49,1.82,0.331,0.32,164.8,-0.27
"Peralta, Freddy",ST,breaking,62,1.06,1,1.33,0.329,0.7,131.6,-0.491
