player_name,pitch_type,n,act,base,aug,gain,axis_diff,as_gap
"Weathers, Ryan",CH,146,1.56,1.45,2.23,0.779,19.4,-0.307
"Englert, Mason",CH,41,0.98,1.08,1.74,0.661,23.7,-0.29
"Skubal, Tarik",CH,130,2.84,2.17,2.81,0.635,21.1,-0.196
"Mlodzinski, Carmen",FS,104,1.08,1.34,1.88,0.545,27.2,-0.308
"Orze, Eric",FS,95,0.83,1.43,1.97,0.544,28.5,-0.242
"Abbott, Andrew",CH,126,1.46,0.96,1.45,0.489,15.6,-0.047
"Yesavage, Trey",FS,101,3.47,2.44,2.91,0.465,22.3,-0.111
"Young, Brandon",FS,94,0.92,1.65,2.1,0.453,24.6,-0.287
"Messick, Parker",CH,120,1.56,1.3,1.75,0.449,28.8,-0.159
"Suarez, Ranger",CH,57,1.11,1.29,1.66,0.368,19.6,-0.094
"Martinez, Nick",CH,116,2.63,2.16,2.52,0.355,41.9,-0.084
"Wells, Tyler",CH,63,1.61,0.84,1.19,0.348,15.6,0.026
"Ober, Bailey",CH,145,1.01,0.82,1.16,0.343,34.8,0.13
"Woods Richardson, Simeon",FS,58,0.58,1.08,1.41,0.327,23.1,-0.048
"Bubic, Kris",CH,45,1.32,1,1.31,0.312,36.9,-0.109
"Rodriguez, Grayson",CH,49,1.77,1.53,1.82,0.298,32.2,-0.128
"Morillo, Juan",CH,42,1.13,1,1.29,0.288,31.2,0.066
"Taillon, Jameson",CH,69,1.03,1.11,1.4,0.283,24,-0.05
"Kelly, Kevin",CH,50,0.43,0.71,0.99,0.275,16.3,-0.064
"Valdez, Framber",CH,112,0.48,0.65,0.92,0.273,12.5,-0.032
"Matz, Steven",CH,68,0.66,1.41,1.68,0.262,26.6,-0.159
"Fedde, Erick",CH,40,0.34,0.58,0.83,0.257,22.1,-0.135
"Beeks, Jalen",CH,42,1.25,0.81,1.05,0.231,21,-0.017
"Bednar, David",FS,87,0.97,0.85,1.08,0.231,5.8,-0.282
"Peralta, Wandy",CH,103,0.89,1.21,1.43,0.221,7.4,-0.111
"Liberatore, Matthew",CH,108,0.49,0.9,1.12,0.217,19.8,-0.007
"Sulser, Cole",CH,83,1.36,1.33,1.54,0.216,22,-0.184
"Cabrera, Edward",CH,132,0.78,0.49,0.7,0.211,15.4,-0.011
"Elder, Bryce",CH,48,1.14,0.98,1.19,0.21,28.6,-0.12
"Weaver, Luke",CH,80,1.79,1.39,1.59,0.203,15.5,-0.159
"Martin, Davis",CH,78,0.19,0.57,0.77,0.193,25.2,-0.131
"Junk, Janson",CH,62,1,1.41,1.6,0.19,30,-0.067
"Yamamoto, Yoshinobu",FS,149,0.95,0.96,1.14,0.184,21.2,-0.124
"Silseth, Chase",FS,50,1.81,1.48,1.66,0.181,35.9,-0.159
"Ashby, Aaron",CH,45,1.42,1.01,1.18,0.173,18.8,-0.056
"Henderson, Logan",CH,64,2.11,1.66,1.83,0.171,37.2,-0.052
"Cavalli, Cade",CH,44,0.6,1.28,1.44,0.167,25.8,0.125
"Alexander, Tyler",CH,55,0.44,1.06,1.22,0.162,18.9,-0.082
"Skenes, Paul",FS,99,0.3,0.47,0.63,0.16,12.7,-0.069
"Smith, Cade",FS,49,2.27,2.63,2.79,0.158,93.9,-0.093
"Chandler, Bubba",CH,68,0.69,1.38,1.54,0.158,24.2,-0.004
"Jax, Griffin",CH,105,1.41,1.07,1.22,0.154,15.9,-0.066
"Ray, Robbie",CH,118,0.92,1.09,1.24,0.15,7.4,-0.021
"Blubaugh, AJ",CH,64,1.63,1.72,1.87,0.149,32.2,-0.22
"Sánchez, Cristopher",CH,261,1.95,1.36,1.51,0.147,14.4,-0.068
"Marinaccio, Ron",CH,67,1.79,1.42,1.57,0.145,39.6,-0.029
"Wheeler, Zack",FS,78,2.32,1.04,1.18,0.138,14,0.056
"Kelly, Merrill",CH,149,0.94,0.62,0.76,0.137,15.4,-0.058
"Leahy, Kyle",CH,63,1.26,0.91,1.04,0.137,23.4,-0.141
"Buehler, Walker",CH,50,0.6,0.88,1.02,0.136,33.5,0.015
"Canning, Griffin",CH,86,0.46,0.9,1.03,0.136,29.5,-0.037
"Ginn, J.T.",CH,120,1.58,0.77,0.91,0.136,12.5,-0.101
"Leiter, Jack",CH,59,1.17,1.35,1.48,0.131,10.3,-0.193
"Kay, Anthony",CH,71,0.66,1.46,1.58,0.129,20.9,-0.032
"Garcia, Rico",CH,54,2.9,1.36,1.47,0.118,17.1,-0.011
"McGreevy, Michael",CH,106,0.95,0.61,0.72,0.116,13.1,-0.132
"Boyd, Matthew",CH,95,1.95,1.49,1.6,0.108,11.3,-0.019
"Duran, Jhoan",FS,118,0.44,0.34,0.45,0.108,5.6,-0.092
"Woodruff, Brandon",CH,40,1.63,1.4,1.49,0.095,22.7,-0.019
"Brazobán, Huascar",CH,80,1.59,0.82,0.91,0.092,8.3,-0.074
"Rasmussen, Drew",CH,47,0.83,1.31,1.4,0.092,40.5,-0.188
"Suarez, José",CH,73,2.1,1.37,1.46,0.091,18.2,-0.08
"Clarke, Taylor",CH,60,0.57,0.71,0.8,0.089,26.2,0.019
"Lodolo, Nick",CH,96,1.08,0.79,0.87,0.086,7.5,-0.017
"Nunez, Anthony",CH,40,1.56,1.7,1.78,0.079,65.2,-0.17
"Quintana, Jose",CH,43,0.81,0.67,0.74,0.073,28,0.109
"Rodriguez, Eduardo",CH,173,0.65,0.96,1.04,0.071,21.8,0.033
"Perkins, Jack",CH,57,1.64,1.23,1.29,0.066,29.1,-0.005
"Sugano, Tomoyuki",FS,93,1.39,0.6,0.67,0.065,7.8,-0.074
"Rea, Colin",CH,95,0.93,0.92,0.98,0.064,32.8,-0.019
"Varland, Louis",CH,44,1.07,1.17,1.23,0.06,18,-0.163
"Rangel, Alan",CH,45,2.36,3.03,3.09,0.056,21,-0.053
"Suarez, Robert",CH,45,1.62,1.56,1.61,0.056,27,0.028
"Finnegan, Kyle",FS,66,1.45,1.52,1.57,0.054,26.4,-0.059
"Matsui, Yuki",FS,45,3.16,1.52,1.57,0.054,38.5,-0.237
"Lange, Alex",CH,40,0.87,0.8,0.86,0.053,22.9,0.023
"Adam, Jason",CH,47,0.94,0.99,1.04,0.051,20.9,-0.056
"Cole, Gerrit",CH,48,0.77,1.53,1.58,0.05,21.2,0.028
"Bradley, Taj",FS,116,1.15,1.09,1.14,0.05,14.7,-0.162
"Walker, Taijuan",FS,41,0.61,0.53,0.58,0.048,9.9,-0.143
"Latz, Jacob",CH,41,1.81,1.84,1.88,0.047,24,-0.007
"King, Michael",CH,205,0.91,1.08,1.13,0.046,28.5,0.147
"Paredes, Mike",CH,46,0.7,0.75,0.79,0.043,30.6,-0.017
"Yarbrough, Ryan",CH,55,2.71,1.14,1.18,0.042,30.7,-0.053
"Keller, Mitch",CH,49,0.59,0.68,0.72,0.039,18.9,-0.011
"Ryan, Joe",FS,73,0.76,0.76,0.79,0.037,16,-0.092
"Myers, Tobias",FS,44,2.19,2.86,2.89,0.03,5.1,-0.24
"Burke, Brock",CH,47,1.16,1.8,1.83,0.028,13.6,-0.121
"Montero, Keider",CH,67,1.21,0.97,1,0.026,13.6,0.033
"Roupp, Landen",CH,121,1.09,0.77,0.8,0.025,26.6,0.018
"Early, Connelly",CH,92,0.54,1.63,1.66,0.025,36.4,-0.102
"Kochanowicz, Jack",CH,89,0.92,0.98,1,0.017,9.6,-0.197
"Giolito, Lucas",CH,57,1.62,2.42,2.44,0.015,19.6,0.001
"Bennett, Jake",CH,78,1.98,1.48,1.5,0.015,15.4,-0.036
"Johnson, Ryan",FS,63,2.42,1.01,1.03,0.015,21.2,-0.097
"Blackburn, Paul",CH,59,1.13,0.83,0.85,0.012,8.7,-0.02
"Skenes, Paul",CH,61,2,1.29,1.3,0.011,25.4,0.002
"Phillips, Tyler",FS,92,1.15,1.48,1.49,0.01,27.1,0.02
"Soriano, George",CH,58,1.53,1.11,1.11,0.008,30.3,-0.101
"Seymour, Ian",CH,102,1.6,1.29,1.3,0.008,21.5,0.015
"Iglesias, Raisel",CH,74,1.76,0.93,0.94,0.007,16.1,-0.008
"Soriano, José",FS,102,1.23,0.79,0.8,0.005,9.5,-0.003
"Houser, Adrian",CH,72,1.77,1.54,1.54,0.004,15.3,-0.091
"Williams, Devin",CH,96,1.29,1.59,1.59,0.004,47.3,-0.019
"Mize, Casey",FS,93,1.09,0.9,0.91,0.003,21,-0.05
