Feature,Gain,Cover,Frequency,stand,spec
speed_diff,0.157693643798271,0.0742241424520863,0.0787675606641124,L,B0
az,0.14270488998914,0.128956354903108,0.0974936143039591,L,B0
pfx_z,0.131004841579038,0.146108179005605,0.0859195402298851,L,B0
release_speed,0.0971385668275675,0.0838699161591936,0.0920657726692209,L,B0
pitcher_q,0.0659930042998509,0.0352069069149409,0.0786877394636015,L,B0
pfx_z_diff,0.0582286387567092,0.107980642237879,0.0664910600255428,L,B0
ax,0.0486799798744657,0.0163758260210519,0.0641602809706258,L,B0
az_diff,0.0465984296806265,0.0963268135615387,0.0646871008939974,L,B0
cax,0.0447494347269021,0.0591703184450417,0.0549010217113665,L,B0
pfx_x,0.0413623371464174,0.0233945927671307,0.060823754789272,L,B0
release_spin_rate,0.0403250118594724,0.0353859758607204,0.0659642401021711,L,B0
axis_diff,0.0352570371187943,0.0314022771552575,0.0530970625798212,L,B0
pfx_x_diff,0.0324324326843143,0.0712611424992842,0.0471583652618135,L,B0
ax_diff,0.0312457092548734,0.0642534722975538,0.0478288633461047,L,B0
sax,0.0265860424035573,0.0260834397196081,0.0419540229885058,L,B0
speed_diff,0.153556240784833,0.0629328277576119,0.0666291713535808,L,B1
az,0.140386830536765,0.155022783970581,0.0977315335583052,L,B1
pfx_z,0.136102834742012,0.172625548476206,0.0871953505811774,L,B1
release_speed,0.0845771929462545,0.066718832196559,0.0771278590176228,L,B1
pitcher_q,0.0493353210876156,0.0236447337324727,0.0523809523809524,L,B1
pfx_z_diff,0.0478967942750844,0.0886353322324676,0.0523434570678665,L,B1
cax,0.0393892691517803,0.0533400896766405,0.0456130483689539,L,B1
ax,0.038129093970569,0.0143122556374313,0.0511811023622047,L,B1
az_diff,0.037417316072765,0.0757443799977829,0.0496062992125984,L,B1
release_pos_z,0.0338852493539599,0.0348162725667975,0.0527184101987252,L,B1
release_spin_rate,0.0335571605591046,0.0305921310729789,0.0522872140982377,L,B1
axis_diff,0.0307349363420219,0.0294745933892448,0.0394263217097863,L,B1
release_pos_x,0.0305191268336573,0.0165494905164828,0.0489313835770529,L,B1
arm_angle,0.02985745764907,0.0131913747142648,0.0489876265466817,L,B1
pfx_x,0.0278776932320458,0.0185867190094988,0.0442819647544057,L,B1
pfx_x_diff,0.0263680245485676,0.0556069924444892,0.0360892388451444,L,B1
release_extension,0.0215328346505209,0.00890640956685764,0.0307274090738658,L,B1
ax_diff,0.0202718396938363,0.0581207577413752,0.0358455193100862,L,B1
sax,0.0186047835695366,0.0211784753002582,0.0308961379827522,L,B1
speed_diff,0.124242333422699,0.0650742787703489,0.0656287605294826,L,B2h
haa,0.102645702301555,0.0952884913044796,0.0768802647412756,L,B2h
az,0.101780250521203,0.128320564203944,0.0808513838748496,L,B2h
pfx_z,0.0950131440090718,0.146433905989142,0.0711642599277978,L,B2h
release_speed,0.0783963024863772,0.0594578186933307,0.0679151624548736,L,B2h
release_pos_x,0.0662231264700734,0.0223897139496509,0.055294825511432,L,B2h
ax,0.0510773551777819,0.011233984177522,0.0439981949458484,L,B2h
pitcher_q,0.0457432199476297,0.027094839640929,0.0502557160048135,L,B2h
pfx_z_diff,0.044138772165219,0.091058841286025,0.0482250300842359,L,B2h
pfx_x,0.037069839654809,0.014578857895743,0.038748495788207,L,B2h
