stand,spec,label,n_feat,best_iter,rmse,r2,spearman,n
L,B0,shape + pitcher,15,2088,1.87204113823152,0.224617503172594,0.270594730595629,109971
L,B1,+ release,19,1778,1.86054745275642,0.234109435857735,0.277048876670197,109971
L,B2h,+ HAA only (no VAA),20,2216,1.81177911234207,0.273733999072153,0.294112546773691,109971
L,B2,+ approach angles (HAA+VAA),21,724,1.6776657550646,0.377275294019725,0.36176960771866,109971
L,B3,+ rubber position,22,570,1.68048173923964,0.375183036228529,0.361072994738352,109971
L,NP,no pitcher term (leakage probe),20,854,1.67973255253744,0.375740019628288,0.36251447794802,109971
R,B0,shape + pitcher,15,2790,2.08896763428352,0.265141756446477,0.303837458647075,115907
R,B1,+ release,19,2669,2.0650865348574,0.281847531150326,0.310101249620535,115907
R,B2h,+ HAA only (no VAA),20,1986,1.99137214820049,0.332202167172953,0.329310912383484,115907
R,B2,+ approach angles (HAA+VAA),21,1221,1.87378446922995,0.408738748982306,0.384934647203333,115907
R,B3,+ rubber position,22,911,1.87644102114607,0.407061043062484,0.384736083738974,115907
R,NP,no pitcher term (leakage probe),20,1211,1.87620472196184,0.407210370612031,0.386430043891339,115907
