cnt,n_soft,n_miss,rv_soft,rv_miss,wh_soft,wh_miss,xw_soft,xw_miss,diff,se,z,aim
0-0,6160,8386,0.0315,0.0202,41.2,58.4,0.279,0.34,0.0114,0.0035,3.26,SOFT CONTACT
0-1,6208,4363,0.0359,0.0368,39.5,66.9,0.272,0.33,-9e-04,0.004,-0.24,either (tie)
0-2,4150,1678,0.0434,0.066,37.7,58.3,0.266,0.336,-0.0226,0.0079,-2.85,SWING-AND-MISS
1-0,2633,4376,0.0524,0.0329,42.8,56.5,0.28,0.333,0.0196,0.0051,3.84,SOFT CONTACT
1-1,4804,3941,0.0434,0.0439,38.5,62.8,0.284,0.338,-5e-04,0.0045,-0.1,either (tie)
1-2,6154,2980,0.0565,0.0828,36.6,58.7,0.253,0.336,-0.0264,0.006,-4.42,SWING-AND-MISS
2-0,605,1657,0.0659,0.0605,48.8,43,0.265,0.323,0.0054,0.0087,0.62,either (tie)
2-1,2001,2342,0.0701,0.0482,41.8,53.1,0.274,0.335,0.022,0.0067,3.26,SOFT CONTACT
2-2,5095,3025,0.0819,0.0907,36.6,53.2,0.26,0.351,-0.0088,0.0065,-1.35,either (tie)
3-1,430,1247,0.0819,0.0622,43.5,35.4,0.254,0.397,0.0197,0.0131,1.51,either (tie)
3-2,2353,2665,0.1355,0.1264,36.6,39,0.262,0.334,0.0091,0.0082,1.12,either (tie)
