bin,n,swing_pct,whiff,foul,inplay,gb,weak_gb,barrel,ev_con,xwobacon,outs_sw,pit_rv
<-12 (very late),40608,7.2,39,38.8,22.1,17.1,8.3,0.1,82.7,0.268,0.317,0.0553
-12..-9,31041,5.5,26.9,40.4,32.7,20.4,8.4,0.2,86.5,0.317,0.334,0.0368
-9..-6,49275,8.7,23.1,40.7,36.2,20.1,7.9,0.5,87.6,0.342,0.345,0.0313
-6..-3,69500,12.3,20.5,40.9,38.6,18.7,7.1,0.7,88.4,0.361,0.348,0.0226
-3..0 (~on time),85163,15.1,19.1,40.1,40.8,17.1,6.4,1,89,0.375,0.359,0.02
0..3 (~on time),86558,15.4,18.7,39.4,41.9,15.2,5.9,1.2,89.4,0.376,0.366,0.018
3..6,75047,13.3,20.3,38.4,41.3,13.3,5.3,1.5,89.9,0.386,0.367,0.015
6..9,54622,9.7,25.2,36.7,38.1,11.3,5.4,1.4,89.8,0.386,0.354,0.0137
9..12,34642,6.2,32.9,34.8,32.3,9.8,5.5,1.2,89,0.378,0.334,0.0219
12+ (very early),36806,6.5,55.9,25.2,18.9,6.6,4.7,0.6,85.2,0.34,0.28,0.0519
