bin,cs,n,whiff,bip,soft_gb,outs_sw,rv_swing
<-9 very late,0-1 strikes,40832,0.351905368338558,0.255485893416928,0.0762637147335423,0.176748628526646,0.0385657572492163
-9..-6 late,0-1 strikes,28827,0.237936656606653,0.357130467964061,0.0759357546744372,0.24914142990946,0.0321124640094356
-6..-3 bit late,0-1 strikes,41530,0.208186852877438,0.386467613773176,0.0693715386467614,0.266891403804479,0.0235560077052734
-3..0 on time,0-1 strikes,51829,0.190704045997415,0.412973431862471,0.0610854926778445,0.286403364911536,0.0209338787165487
0..3 on time,0-1 strikes,54179,0.1840565532771,0.422026984625039,0.0565532770999834,0.295631148600011,0.0196058989645435
3..6 bit early,0-1 strikes,47723,0.200448421096746,0.421411059656769,0.0531190411332062,0.295957923852231,0.0138591454854054
6..9 early,0-1 strikes,35699,0.24807417574722,0.385585030393008,0.0548194627300485,0.266618112552172,0.00866629317347817
9+ very early,0-1 strikes,49818,0.457926853747641,0.24782207234333,0.0503633224938777,0.172146613673773,0.0248241398691236
<-9 very late,2 strikes,30817,0.319077132751403,0.282603757666223,0.0925787714573125,0.51925885063439,0.0588810072362657
-9..-6 late,2 strikes,20448,0.220706181533646,0.370060641627543,0.0826486697965571,0.479068857589984,0.0301625586854459
-6..-3 bit late,2 strikes,27970,0.200679299249196,0.386127994279585,0.0734000715051841,0.468859492313193,0.0212795137647479
-3..0 on time,2 strikes,33334,0.19142617147657,0.399682006359873,0.0679786404271915,0.471590568188636,0.0184678106437869
0..3 on time,2 strikes,32379,0.190987986040335,0.414466166342382,0.0617993143704253,0.48287470273943,0.0154133234503848
3..6 bit early,2 strikes,27324,0.207619675010979,0.39884350753916,0.0536890645586298,0.490081979212414,0.0169322939540332
6..9 early,2 strikes,18923,0.25857422184643,0.371981186915394,0.0515245996934947,0.518311050044919,0.0233319241135125
9+ very early,2 strikes,21630,0.423023578363384,0.268053629218678,0.0511326860841424,0.61373092926491,0.0663630605640315
