cnt,<-15,-15..-12,-12..-9,-9..-6,-6..-3,-3..0,0..3,3..6,6..9,9..12,12..15,>15
0-0,0.258712055462134,0.294786516155962,0.329339354459321,0.352882249048901,0.388072046610196,0.393444402357193,0.394177257641589,0.403347437277713,0.388011955518526,0.380683545842233,0.352490881096836,0.317261917404763
0-1,0.240481177818919,0.2949793675161,0.331156428369691,0.335847646324515,0.352528479320181,0.372867801666673,0.366188323955387,0.373450724628527,0.359624491435171,0.350745661855969,0.332466001465484,
0-2,0.245639449828071,0.281915812675696,0.306045914003604,0.336878584188328,0.328926607122721,0.343077779309595,0.333846239749994,0.350948665483893,0.337039387306141,0.295416268879382,,
1-0,,0.296259291133395,0.32581305875011,0.366932697430437,0.381285769818521,0.392149655977423,0.392087621414581,0.39672722075282,0.402558827093267,0.416800547639199,0.343227962552743,0.313717500177962
1-1,0.252002832415421,0.306584152564364,0.327024353076095,0.355861893644898,0.372367611422944,0.389437463818852,0.367084845046038,0.383454848558857,0.378091735601262,0.355807286476397,0.339331892696261,
1-2,0.235202049780381,0.267978194016172,0.313764609507522,0.326694049356926,0.335138540594489,0.346064716383948,0.348786610851528,0.348778952250087,0.349111716510219,0.370754070149649,0.359813161034952,
2-0,,,,0.361354772755995,0.384778895751804,0.397219520699948,0.418939516756363,0.43293661642758,0.435768336853076,0.403217484092321,0.343829145307329,
2-1,,,0.315995486858335,0.362797799031802,0.384317591751576,0.396963603621746,0.394211407161909,0.391878686264265,0.410290214770457,0.37535104031008,0.354978601235715,
2-2,0.23106344020972,0.283755163702117,0.303776434982211,0.326208185878869,0.347724147343231,0.354460669578751,0.363106158540832,0.365727125663491,0.376971632321566,0.344757430937438,0.346468288783779,
3-0,,,,,,,,,,,,
3-1,,,,,0.385743898233893,0.375642901925273,0.436024154992569,0.439783213779899,0.426611298090446,0.411678975736771,,
3-2,,0.287442803638309,0.290448830574852,0.337166205601939,0.350491472902907,0.372128472187284,0.376487525572984,0.398657151412446,0.404425064633325,0.427854457258286,0.355561881793669,
