player_name,pitch_type,n,whiff,exp_whiff,wresid,axis,as_gap,ivb_gap,spin_sim
"Medina, Luis",CH,58,0.586,0.321,0.265,13.4,-0.175,-11.8,0.042
"Farris, Mitch",CH,81,0.457,0.232,0.224,50.7,0.007,-15.8,0.283
"Vesia, Alex",CH,46,0.543,0.322,0.221,31.8,0.009,-5.6,0.602
"Ashby, Aaron",CH,61,0.508,0.291,0.217,19.2,-0.056,-4.3,0.619
"Matsui, Yuki",FS,94,0.479,0.297,0.182,37.4,-0.237,-15.3,0.002
"Morán, Jovani",CH,114,0.509,0.334,0.175,29.4,0.023,-5.7,0.617
"Garcia, Rico",CH,101,0.465,0.294,0.172,16.8,-0.011,-4.1,0.855
"Wheeler, Zack",FS,142,0.472,0.301,0.171,14.4,0.056,-9.4,0.656
"Cease, Dylan",CH,81,0.519,0.348,0.17,4.7,0.004,-2.1,0.983
"Richards, Trevor",CH,94,0.479,0.312,0.167,61,-0.406,-20.6,0
"Chivilli, Angel",CH,57,0.351,0.187,0.163,,-0.072,-3.9,
"Lee, Dylan",CH,51,0.471,0.312,0.159,16.6,-0.002,-6.9,0.869
"Whisenhunt, Carson",CH,57,0.474,0.317,0.157,30.1,0.026,-9.4,0.597
"McCullers Jr., Lance",CH,46,0.37,0.22,0.149,28.4,0.092,-6,0.287
"Feltner, Ryan",CH,93,0.462,0.314,0.148,5.8,-0.123,-5.3,0.214
"Cano, Yennier",FS,74,0.324,0.186,0.138,11.8,0.067,-3.4,0.589
"Webb, Jacob",CH,177,0.412,0.298,0.115,22.1,0.108,-7.3,0.244
"Skubal, Tarik",CH,217,0.512,0.399,0.112,21,-0.196,-10.9,0.017
"Wells, Tyler",CH,111,0.324,0.217,0.107,15.5,0.026,-1.1,0.827
"Leiter Jr., Mark",FS,101,0.436,0.33,0.106,29.4,-0.148,-9.4,0.073
"Lambert, Peter",CH,208,0.351,0.245,0.106,18.9,0.023,-7.3,0.792
"Perkins, Jack",CH,111,0.441,0.335,0.106,29.1,-0.005,-12.7,0.655
"Iglesias, Raisel",CH,130,0.377,0.272,0.105,16.5,-0.008,-8.2,0.861
